,Ana,Eth,Glu,Nit
FLC2,0.0,22.652401129943502,14.440366972477065,0.0
YAT1,6.183006535947712,37.1764705882353,17.636363636363637,4.041095890410959
ACS1,0.0,22.652401129943502,14.440366972477065,0.0
MRS3,2.0104712041884816,3.375,0.0,0.0
ASF1,0.0,2.875,0.0,0.0
SIP4,5.301204819277108,12.436974789915967,13.23076923076923,4.102564102564103
RNR2,2.1787709497206706,4.875,4.814814814814815,2.4489795918367343
MPS3,0.0,2.855855855855856,0.0,0.0
RPL43B,4.8119266055045875,34.40321201758671,39.03614457831325,5.126213592233009
SFC1,4.8119266055045875,34.40321201758671,39.03614457831325,5.126213592233009
YJR115W,0.0,2.3255813953488373,0.0,0.0
BAT2,2.0125786163522013,16.463414634146343,2.815533980582524,0.0
INO1,0.0,5.3619047619047615,2.970873786407767,0.0
SNA3,0.0,5.3619047619047615,2.970873786407767,0.0
DPI8,2.0104712041884816,3.375,0.0,0.0
URA2,0.0,0.0,0.0,2.5301204819277108
NCA3,0.0,2.875,0.0,0.0
YJL107C,0.0,5.0,3.902439024390244,2.307692307692308
BBC1,0.0,2.855855855855856,0.0,0.0
RSM7,0.0,2.3255813953488373,0.0,0.0
JEN1,3.331325301204819,13.097560975609754,11.1864406779661,0.0
AVT3,0.0,4.186046511627907,3.1192660550458715,0.0
HAP4,0.0,6.166106789250354,4.444444444444445,0.0
CWP2,0.0,0.0,2.0342465753424657,0.0
YKR041W,0.0,4.632352941176471,2.761194029850746,0.0
PCK1,18.742331288343554,58.82758620689656,47.914857530529176,7.4125
FAT3,0.0,4.532374100719425,3.1097560975609757,0.0
SDH1,0.0,4.186046511627907,3.1192660550458715,0.0
FBA1,0.0,0.0,0.0,2.5806451612903225
TPO1,0.0,4.216867469879518,2.8333333333333335,0.0
ISA1,0.0,3.3333333333333335,2.3308270676691727,0.0
YLR112W,0.0,2.149532710280374,0.0,0.0
HOG1,0.0,2.149532710280374,0.0,0.0
IDP2,0.0,6.322222222222222,4.794871794871796,2.277108433734939
YLR297W,0.0,2.840336134453781,2.5655737704918034,0.0
EXG1,0.0,2.625,0.0,0.0
CDA2,3.132911392405063,51.38709677419355,26.18471494102228,3.7
MRPL15,0.0,4.9375,0.0,0.0
CAR2,0.0,2.048076923076923,0.0,0.0
KNS1,0.0,9.753086419753087,5.673758865248227,0.0
COX19,0.0,9.753086419753087,5.673758865248227,0.0
CCW12,0.0,2.149532710280374,0.0,0.0
YLR152C,0.0,3.915094339622642,0.0,2.217948717948718
ACS2,0.0,12.369369369369371,11.055045871559633,2.6410256410256414
RNH203,0.0,12.369369369369371,11.055045871559633,2.6410256410256414
ACO1,0.0,3.0,2.436974789915966,0.0
YLR307C-A,3.132911392405063,51.38709677419355,26.18471494102228,3.7
ATG39,0.0,4.9375,0.0,0.0
FBP1,6.8022598870056505,52.22222222222222,31.594202898550723,7.564102564102564
ECM30,0.0,2.048076923076923,0.0,0.0
DIF1,0.0,2.048076923076923,0.0,0.0
CAT2,0.0,15.292117338577514,6.665995345506623,0.0
HOR7,0.0,3.10989010989011,2.095652173913044,0.0
UBP15,0.0,8.653846153846153,3.389830508474576,0.0
HMG1,0.0,2.426829268292683,0.0,0.0
RRN11,0.0,15.292117338577514,6.665995345506623,0.0
MSN2,0.0,2.823529411764706,0.0,0.0
NDE1,0.0,5.161290322580645,3.3333333333333335,0.0
ADH2,0.0,8.653846153846153,3.389830508474576,0.0
MLS1,11.420118343195266,45.564516129032256,61.72932330827067,6.744186046511628
MET4,0.0,5.897435897435898,0.0,0.0
AQR1,0.0,0.0,2.2772277227722775,0.0
PBI2,0.0,2.4096385542168672,2.376237623762376,0.0
PDR16,0.0,2.269230769230769,0.0,0.0
RHO5,0.0,4.137931034482759,2.5757575757575757,0.0
DCP2,11.420118343195266,45.564516129032256,61.72932330827067,6.744186046511628
LEU4,0.0,5.897435897435898,0.0,0.0
POR1,2.103896103896104,0.0,0.0,0.0
TRM13,7.239766081871344,64.8993288590604,41.245810055865924,6.48314606741573
PLB3,0.0,2.4831460674157304,2.2522522522522523,0.0
RAS1,0.0,8.393617021276595,4.8558558558558556,2.2658227848101262
YTM1,0.0,3.333333333333333,0.0,0.0
CPA1,0.0,2.619047619047619,0.0,0.0
ALD4,0.0,3.007874015748032,0.0,0.0
MDH2,7.239766081871344,64.8993288590604,41.245810055865924,6.48314606741573
DDR2,0.0,0.0,2.1652173913043478,0.0
HTZ1,0.0,2.4831460674157304,2.2522522522522523,0.0
RKI1,2.841530054644809,15.595238095238095,12.61437908496732,2.347826086956522
CRC1,0.0,8.393617021276595,4.8558558558558556,2.2658227848101262
GAC1,0.0,2.7083333333333335,2.6666666666666665,0.0
FSF1,0.0,3.333333333333333,0.0,0.0
YOR342C,0.0,5.357142857142857,2.2764227642276422,0.0
PYK2,0.0,2.0952380952380953,0.0,2.4128440366972477
PUT4,2.6037735849056602,8.740384615384615,5.507142857142857,0.0
GDH1,0.0,2.5217391304347827,0.0,0.0
CAR1,0.0,2.7767857142857144,0.0,0.0
ALD6,5.154185022026432,22.857142857142858,14.526315789473685,4.504504504504505
LEE1,0.0,5.466666666666666,0.0,0.0
