,Ana,Eth,Glu,Nit
FLC2,2.2476190476190476,0.0,0.0,0.0
ACS1,2.2476190476190476,0.0,0.0,0.0
CYC3,2.0789473684210527,0.0,0.0,0.0
MRS3,2.5864661654135337,0.0,0.0,0.0
ASF1,2.456896551724138,0.0,0.0,0.0
NET1,2.608695652173913,0.0,0.0,0.0
YMR1,4.439024390243902,0.0,0.0,0.0
IMA5,5.504347826086956,0.0,4.882591093117409,0.0
DPI8,2.5864661654135337,0.0,0.0,0.0
NCA3,2.456896551724138,0.0,0.0,0.0
PRY3,2.608695652173913,0.0,0.0,0.0
CPA2,4.439024390243902,0.0,0.0,0.0
DAN1,2.1714285714285713,0.0,0.0,0.0
URA1,2.0258064516129033,0.0,0.0,0.0
HAP4,6.528807166430929,0.0,0.0,0.0
CWP2,2.4078947368421053,0.0,0.0,0.0
MSN4,2.289473684210526,0.0,0.0,0.0
SFK1,5.730263157894737,0.0,0.0,0.0
MMO1,4.846153846153846,0.0,0.0,0.0
PHD1,4.846153846153846,0.0,0.0,0.0
TFA1,19.697142857142858,4.833537331701346,15.081699346405228,0.0
YKR041W,3.2580645161290325,0.0,0.0,0.0
PTR2,2.842105263157895,0.0,0.0,0.0
PCK1,82.57790811339197,44.2503993596264,69.07503313961986,7.5098814229249005
MNN4,3.868263473053892,0.0,0.0,0.0
FAT3,3.1962025316455693,0.0,0.0,0.0
YKL063C,2.289473684210526,0.0,0.0,0.0
ASK1,5.730263157894737,0.0,0.0,0.0
IXR1,2.217105263157895,0.0,0.0,0.0
MAE1,19.697142857142858,4.833537331701346,15.081699346405228,0.0
SRP40,2.842105263157895,0.0,0.0,0.0
TPO1,8.708661417322835,2.6252983293556085,4.156015037593985,0.0
ISA1,2.0071942446043165,0.0,0.0,0.0
ERG3,4.418439716312057,0.0,2.667315175097276,0.0
YLR112W,2.159090909090909,0.0,0.0,0.0
HOG1,2.159090909090909,0.0,0.0,0.0
PUT1,3.256944444444444,0.0,0.0,0.0
HAP1,4.92741935483871,0.0,0.0,0.0
MRPL15,2.078125,0.0,0.0,0.0
NMA1,2.416666666666667,0.0,0.0,0.0
NUP2,2.16260162601626,0.0,0.0,0.0
FKS1,5.0,0.0,0.0,0.0
SFP1,3.089430894308943,0.0,0.0,0.0
