,Ana,Eth,Glu,Nit
CDC19,44.876401203924516,93.14929787038294,86.91962396368992,37.06525464415966
YAT1,0.0,2.121212121212121,0.0,0.0
CLN3,0.0,2.560150375939849,0.0,0.0
CDC6,0.0,2.64,0.0,0.0
NET1,0.0,2.64,2.0091743119266052,0.0
TDH1,2.047138047138047,7.794285714285714,36.6498835790711,4.398361998361999
RNR2,2.1135646687697163,11.6,13.711790393013102,2.2093023255813953
MET3,4.6875,7.376175548589343,5.91238670694864,4.720744680851063
ELO1,0.0,2.64,0.0,0.0
PRY3,0.0,2.64,2.0091743119266052,0.0
VPS53,2.1135646687697163,11.6,13.711790393013102,2.2093023255813953
TDH2,20.27202076892055,63.240466317975645,66.99573449457252,19.788718222106425
BNA1,2.9345454545454546,7.101694915254238,2.1605504587155964,0.0
CWP2,0.0,2.7049180327868854,4.124087591240876,0.0
PCK1,0.0,2.9360730593607305,0.0,0.0
MNN4,0.0,2.624548736462094,0.0,0.0
PTK1,0.0,0.0,4.861660079051383,0.0
GPM1,29.826443100008674,61.38561954415613,47.16858930278583,28.11003165894074
FBA1,27.89817741971796,124.54823490325352,103.8562245714251,27.23639531095025
IXR1,0.0,2.303206997084548,3.4387351778656123,0.0
YCT1,0.0,4.257425742574258,4.107142857142858,0.0
FPS1,0.0,2.843434343434343,2.846153846153846,0.0
TPO1,0.0,2.7956989247311825,0.0,0.0
YLR112W,0.0,16.945702184393422,11.291507633587784,0.0
HOG1,0.0,16.945702184393422,11.291507633587784,0.0
YLR283W,0.0,6.642857142857142,4.070175438596491,0.0
YLR297W,0.0,2.101190476190476,0.0,0.0
EXG1,0.0,2.7738095238095237,9.064528770165241,0.0
CDA2,0.0,2.0564102564102567,0.0,0.0
CAR2,0.0,0.0,2.1052631578947367,0.0
IZH3,0.0,2.5277777777777777,0.0,0.0
TRX1,0.0,2.9181818181818184,2.1496350364963503,0.0
PDC1,14.86302933177933,63.07587533666795,60.46496360782075,18.626428510107516
CCW12,0.0,16.945702184393422,11.291507633587784,0.0
YPS3,0.0,0.0,3.270742358078603,0.0
ADY4,5.545787545787546,14.928571428571429,5.397129186602871,0.0
YLR278C,0.0,6.642857142857142,4.070175438596491,0.0
RSO55,0.0,6.642857142857142,4.070175438596491,0.0
ATP14,0.0,2.017857142857143,0.0,0.0
YLR307C-A,0.0,2.0564102564102567,0.0,0.0
TAL1,0.0,0.0,5.311826119158512,0.0
ECM30,0.0,0.0,2.1052631578947367,0.0
DIF1,0.0,0.0,2.1052631578947367,0.0
ADI1,0.0,3.016759776536313,4.754098360655738,0.0
GAT2,0.0,2.0670391061452515,0.0,0.0
