,Ana,Eth,Glu,Nit
CDC19,3,3,4,3
YAT1,0,1,0,0
CLN3,0,1,0,0
CDC6,0,1,0,0
NET1,0,1,1,0
TDH1,1,2,3,2
RNR2,1,1,1,1
MET3,1,1,1,1
ELO1,0,1,0,0
PRY3,0,1,1,0
VPS53,1,1,1,1
TDH2,4,4,4,4
BNA1,1,1,1,0
CWP2,0,1,1,0
PCK1,0,1,0,0
MNN4,0,1,0,0
PTK1,0,0,2,0
GPM1,2,2,2,2
FBA1,3,4,4,4
IXR1,0,1,1,0
YCT1,0,1,1,0
FPS1,0,1,1,0
TPO1,0,1,0,0
YLR112W,0,3,2,0
HOG1,0,3,2,0
YLR283W,0,1,1,0
YLR297W,0,1,0,0
EXG1,0,1,2,0
CDA2,0,1,0,0
CAR2,0,0,1,0
IZH3,0,1,0,0
TRX1,0,1,1,0
PDC1,2,2,2,2
CCW12,0,3,2,0
YPS3,0,0,1,0
ADY4,1,1,1,0
YLR278C,0,1,1,0
RSO55,0,1,1,0
ATP14,0,1,0,0
YLR307C-A,0,1,0,0
TAL1,0,0,2,0
ECM30,0,0,1,0
DIF1,0,0,1,0
ADI1,0,1,1,0
GAT2,0,1,0,0
ICY1,0,0,1,0
YMR196W,0,0,1,0
YMR206W,2,2,2,2
TDA1,0,0,2,0
HMG1,0,0,1,0
PLB1,0,1,1,0
GID8,0,1,0,0
PFK2,2,2,2,2
HAS1,0,0,2,0
SUN4,0,1,1,0
PBI2,0,1,1,0
POR1,1,2,1,0
ZEO1,0,0,0,1
PHM7,1,1,1,1
GPD2,1,2,2,2
PEX27,0,1,1,0
PAC1,0,0,1,0
CPA1,0,2,2,0
HSH49,0,1,1,1
ADH1,2,2,2,2
MAM3,1,2,2,2
HMS1,0,1,2,0
GAC1,0,1,1,0
HRK1,0,0,1,0
GDH1,0,1,0,0
USV1,0,1,0,0
GCR1,2,2,2,2
ALD6,0,2,1,0
PMA2,0,1,1,0
RMI1,0,0,1,0
HAA1,0,1,1,0
GPH1,0,1,1,0
AQY1,0,1,1,0
EGD1,0,1,1,0
SKS1,0,0,1,0
TPO3,0,1,0,0
UTP20,0,0,1,0
YBR071W,0,0,1,0
HSP26,0,0,1,0
MCM7,1,1,1,0
COS111,0,1,0,0
ERV15,1,2,1,1
PGI1,2,2,2,2
YBR197C,2,2,2,2
MIN7,1,1,1,0
GLK1,0,2,2,0
PGK1,3,3,3,3
PDI1,0,2,2,0
ADP1,3,3,3,3
CWH43,1,1,1,1
RHB1,2,2,2,2
YDL124W,0,1,0,0
USO1,0,1,0,0
SIT4,0,1,1,0
GPD1,2,2,2,2
GPM2,0,1,1,0
RSM10,0,1,0,0
RPA14,0,1,0,0
VHS1,0,1,1,0
YDR262W,2,2,1,0
SNA2,0,1,0,0
FMP45,0,0,1,0
HNT1,0,1,0,0
RAD59,0,1,0,0
KNH1,0,2,2,0
STP4,0,1,1,0
TPI1,2,2,2,2
CPR1,0,1,0,0
PMP3,0,1,1,0
HXT6,0,1,0,0
ESF1,1,1,1,0
YDR524C-B,0,1,0,0
IES6,0,1,0,0
TIM9,0,1,1,0
MIT1,0,1,0,0
BMH1,2,2,2,2
GLY1,0,1,0,0
YER053C-A,0,0,1,0
YER158C,0,1,1,0
GAT1,0,1,1,0
HSP12,1,1,1,1
FRS2,0,1,1,0
MDJ1,1,1,1,1
HXK1,0,1,1,0
MTC3,1,2,1,1
ARO8,0,0,0,1
MPT5,0,0,1,0
SCS3,0,1,1,0
MET13,0,1,1,0
OLE1,0,1,0,0
KSS1,1,1,0,0
FMP48,0,1,0,0
CTT1,0,0,1,0
ASK10,2,2,2,2
YHB1,0,2,0,0
MPC3,0,1,1,0
ENO1,3,3,3,3
TNA1,0,1,1,0
OST5,1,2,1,1
TOS3,0,0,1,0
SOH1,0,1,1,0
SDS23,0,1,0,0
RPS25A,1,1,1,1
PIL1,0,1,1,0
TDH3,3,3,3,3
PHO81,0,1,0,0
PFK1,2,2,2,2
YAP1802,0,1,1,0
ENO2,2,2,2,2
ROF1,0,1,0,0
HXT1,0,1,0,0
HXT5,0,1,0,0
VHR1,0,2,1,0
GPP1,2,2,2,2
TIR3,0,1,1,0
RPR2,0,0,1,0
YIR016W,0,0,1,0
YAP5,0,0,2,0
RGI2,0,2,1,0
YIL055C,2,2,2,2
YIL029C,0,0,1,0
PDR11,0,1,1,0
MET28,0,0,2,0
