,Ana,Eth,Glu,Nit
ACS1,0,1,0,0
AIM2,0,0,1,0
CLN3,1,1,2,0
CYC3,1,1,2,1
YJL213W,1,0,0,0
YJL118W,0,0,1,0
PHO86,0,0,1,0
ASF1,2,2,2,0
MDV1,1,1,1,0
SET4,0,0,1,0
LSB6,2,1,1,1
SIP4,0,1,0,0
NET1,1,1,1,0
RNR2,1,1,1,0
CYC1,1,1,1,1
BNA2,1,1,1,0
RPL43B,0,1,2,0
SFC1,0,1,2,0
ADO1,1,1,1,1
YJR115W,1,1,2,0
HMS2,0,1,0,0
RPE1,0,0,1,0
NCA3,2,2,2,0
YJL107C,0,0,1,0
GSH1,2,1,1,1
PRY1,0,1,1,0
PRY3,1,1,1,0
UBX6,1,1,1,1
YJL047C-A,1,1,1,1
VPS53,1,1,1,0
MDE1,1,0,1,0
BNA1,1,0,1,0
ANB1,1,1,1,1
MIR1,1,1,1,0
SOD1,1,1,1,1
RSM7,1,1,2,0
RPS4A,0,1,0,0
JEN1,1,1,1,1
MIA40,1,1,1,0
FAS1,1,1,1,1
PIR3,0,0,1,0
MCR1,1,1,1,0
AVT3,0,0,1,0
OAC1,1,1,0,0
HAP4,1,1,2,1
CWP2,1,3,3,1
CWP1,0,1,1,0
YJU3,1,1,1,1
MBR1,1,1,1,1
SRX1,0,0,1,0
MDH1,0,0,1,0
MSN4,0,0,1,0
SFK1,1,1,2,1
RGT1,1,1,1,0
RAM2,1,0,1,0
YKR041W,3,3,2,0
UTH1,2,2,1,0
AIM29,0,1,0,0
ECM4,1,1,2,0
PTR2,1,1,1,0
PCK1,0,1,1,0
MNN4,0,2,2,0
YKT6,1,1,1,0
FAT3,0,2,2,0
MTR2,0,1,1,0
PIR1,1,1,2,0
NNR2,1,1,1,0
SDH1,0,0,1,0
KTI12,0,0,1,0
ASK1,1,1,2,1
MAE1,0,1,0,0
SPT23,1,0,1,0
PLN1,1,1,1,1
SIS2,0,1,0,0
YKR075C,2,1,2,0
OMA1,1,0,1,0
YLL058W,1,1,1,1
YCT1,0,1,1,0
TPO1,1,2,2,0
ISA1,1,1,0,0
YEH1,1,1,1,0
ERG3,1,1,2,1
MIM2,1,0,2,0
ERG27,1,0,2,0
AHP1,1,1,1,0
YLR112W,2,2,2,0
HOG1,2,2,2,0
RRN5,1,1,1,1
PUT1,2,2,2,1
IDP2,0,1,1,0
SAM1,1,0,0,0
ENT2,1,2,1,1
FRE1,1,2,1,0
UCC1,0,0,1,0
HAP1,1,1,3,1
YLR283W,0,0,1,0
YLR297W,1,1,1,0
EXG1,1,1,1,0
MRPL15,0,1,1,0
YLR326W,1,1,1,0
NMA1,1,1,1,0
MID2,0,0,1,0
NUP2,1,1,1,0
FKS1,2,2,2,0
ATG33,0,1,1,0
CTR3,0,0,1,0
VPS36,1,1,1,0
CAR2,0,1,1,0
KNS1,0,1,1,0
COX19,0,1,1,0
PUF3,1,1,1,0
IZH3,2,0,1,0
COX12,1,1,1,0
TRX1,0,0,1,0
PDC1,0,0,1,2
YLR053C,0,0,1,0
SPT8,1,1,2,1
SHM2,0,1,0,0
ICT1,1,0,2,0
YLR108C,1,1,1,0
CCW12,2,2,2,0
SLS1,1,1,1,1
ACS2,3,3,2,1
RNH203,3,3,2,1
UPS2,0,0,1,0
APS1,0,0,1,0
YLR179C,1,0,0,0
HMX1,1,2,1,1
CRR1,1,2,1,0
IFH1,0,0,1,0
ECM22,1,1,1,0
NDL1,1,1,3,1
YLR278C,0,0,1,0
RSO55,0,0,1,0
ATG39,0,1,1,0
RPL38,1,1,1,0
TMA10,1,1,1,0
RPS25B,1,1,1,0
ILV5,0,1,1,0
FBP1,0,1,1,0
COX8,0,1,2,0
BDF1,0,0,1,0
PUN1,1,1,1,0
ECM30,0,1,1,0
DIF1,0,1,1,0
RPS1A,1,1,1,0
UFO1,1,2,2,0
HUG1,0,1,1,0
SML1,0,1,2,0
CMP2,0,1,2,0
SUR7,1,1,1,0
TSA1,1,1,1,1
YAP1,2,1,2,1
MIX17,0,0,1,0
AIM34,0,0,1,0
ADI1,1,1,2,1
ANY1,1,1,1,1
HOF1,0,1,1,0
FET3,1,1,1,1
NAT4,1,2,2,1
MOT3,1,2,2,1
SEG1,1,0,1,0
ERG29,1,1,1,0
GAT2,2,2,2,0
ICY1,0,1,1,0
ERG2,1,1,1,1
ERG12,1,0,1,0
FAA4,1,1,1,1
HOR7,1,1,1,1
RSN1,1,1,1,0
DIA1,0,0,1,0
ERG13,1,1,2,0
PGA3,0,0,1,0
RPM2,1,2,2,0
HMG1,1,1,1,1
TCB3,0,0,1,0
NTE1,0,1,1,0
CYB2,2,1,2,1
YML053C,1,1,1,0
ERG6,2,1,2,1
CDC5,0,0,1,0
PLB1,0,1,2,0
ERG5,2,2,2,2
SOK2,1,1,2,0
EIS1,0,1,1,0
MSN2,1,1,1,0
CCS1,1,1,1,0
AAC1,1,1,1,1
GID8,2,2,2,0
NDE1,1,1,1,1
PAH1,0,0,1,0
CMC4,0,1,1,0
RAD14,1,1,1,1
HFA1,1,0,1,0
COA6,1,1,1,1
COX7,1,1,1,0
YMR265C,1,1,1,0
SCS7,1,1,1,0
AEP2,1,1,1,0
YME2,1,2,1,1
ADH2,0,1,0,0
SCW10,0,1,0,0
PRM1,0,0,1,0
YNL193W,0,0,1,0
YNL190W,0,0,1,0
UBP10,0,0,1,1
RPS3,0,1,0,0
APC1,1,1,1,0
RPL42A,0,1,1,0
YGP1,0,0,1,0
CUZ1,1,1,1,0
LSM7,0,1,1,0
MET4,0,1,0,0
AVT4,1,1,1,1
MIC27,0,0,1,0
SUN4,1,0,1,0
AQR1,0,1,1,0
COX5A,1,1,1,1
NCE103,1,0,1,0
PBI2,0,0,1,0
TIM23,1,1,1,0
RCF2,3,3,2,1
ARE2,2,2,1,1
MVD1,1,1,1,0
ERG24,0,0,1,0
BNI1,0,0,1,0
ZWF1,0,1,1,0
PDR16,2,1,1,1
YNL194C,0,0,1,0
RHO5,0,1,2,0
MDG1,1,1,1,0
NSG2,1,1,1,0
PGA2,0,1,1,0
ALF1,0,1,1,0
YNL144C,0,1,1,0
YNL134C,0,0,1,0
FYV6,0,0,1,0
CYB5,1,1,1,0
NOP15,1,1,1,0
LEU4,0,1,0,0
RAS2,0,1,1,0
EOS1,0,0,1,0
POR1,0,1,1,0
IDH1,1,0,1,0
ATO2,0,1,2,0
ACC1,1,1,1,0
COQ2,1,1,1,0
RPL25,0,1,2,0
TRM13,0,0,1,0
SKM1,1,1,1,0
SHR5,2,2,2,0
ZEO1,2,2,2,0
PKH2,0,0,1,0
PHM7,1,1,2,1
IRA2,0,0,1,0
GPD2,0,2,1,0
RPP2A,0,0,1,0
SIN3,0,0,1,0
ROD1,1,0,1,0
IRC23,0,0,1,0
CYT1,1,1,2,2
WHI5,0,1,1,0
LPX1,0,1,1,0
YVC1,0,0,1,0
RPS7A,0,1,1,0
RAS1,0,0,1,0
RGS2,0,2,1,0
PDR5,1,1,1,0
WTM1,0,0,1,0
PAC1,0,0,1,0
MOD5,0,0,2,0
CPA1,1,1,1,0
FAA1,1,2,2,1
MYO2,0,0,1,0
CIR2,1,0,1,0
FIT2,0,0,1,0
YGK3,0,1,2,0
MDH2,0,0,1,0
PTH4,1,1,1,0
MDY2,2,2,2,0
IZH4,0,0,1,0
ADH1,0,0,1,0
MAM3,0,2,1,0
DDR2,0,1,2,0
RPS15,0,0,1,0
YAP7,1,0,0,0
SLG1,0,0,1,0
CIN5,1,0,1,0
HMS1,1,1,2,1
TMC1,0,0,1,0
YNG1,1,1,1,1
GYP1,1,0,1,0
TCB1,0,0,1,0
RKI1,0,2,1,0
CRC1,0,0,1,0
ATG40,1,1,2,0
GAC1,0,1,1,0
HRK1,0,0,1,0
TPO4,0,0,2,0
FRT1,0,0,1,0
YOR342C,1,1,2,0
TYE7,1,1,1,0
PUT4,2,3,3,2
GDH1,0,1,0,0
DIP5,1,0,1,0
BBP1,0,1,1,0
FAS2,0,0,1,0
USV1,1,2,2,0
SAR1,1,1,1,0
DAP1,1,1,1,0
ISU1,1,1,1,0
HOS3,1,0,1,0
CAR1,1,1,1,0
YDC1,0,0,1,0
ALD6,1,1,1,0
