,Ana,Eth,Glu,Nit
BDH1,1,0,0,0
FLC2,1,1,1,0
EFB1,2,2,2,0
PHO11,0,0,1,0
ACS1,1,1,1,0
SSA1,2,2,2,0
PEX2,0,0,1,0
CBP1,0,0,1,0
RPL39,1,0,1,0
RPL17B,1,0,1,1
ERG20,1,1,1,1
DAS1,1,0,0,0
IDS2,1,0,1,1
RPB4,1,1,1,1
YJL118W,1,0,1,1
PHO86,1,0,1,1
ASF1,1,1,1,0
LSB6,1,0,1,1
NET1,0,0,1,0
LOG1,0,0,1,0
TDH1,1,0,2,0
CHM7,1,0,1,0
MHO1,0,0,2,0
GPI14,0,0,1,0
CYC1,1,1,1,0
PTK2,1,0,1,0
MOG1,2,1,2,2
HOC1,2,1,2,2
BNA2,0,0,1,0
URA8,1,0,1,1
ADO1,1,1,1,1
YJR115W,0,1,2,1
TDA4,0,0,1,0
ATP2,1,1,1,0
IBA57,1,0,1,0
XPT1,1,0,1,1
IML1,1,0,1,0
HMS2,1,0,1,1
BAT2,0,1,0,0
RPS22A,1,0,1,0
ATG27,1,0,1,1
SET2,1,1,1,1
CIS3,1,1,1,0
INO1,3,2,2,2
SNA3,3,2,2,2
MRX5,1,0,1,1
YAK1,1,1,1,1
NCA3,1,1,2,0
GSH1,1,0,1,1
GWT1,1,0,1,0
PRY3,0,0,1,0
ZAP1,0,0,1,0
UBX6,1,1,1,1
YJL047C-A,1,1,1,1
CTK2,0,0,0,1
TDH2,0,0,1,0
YJR011C,0,0,1,0
YJR012C,0,0,1,0
ESS1,0,0,1,0
TES1,0,0,2,0
ANB1,1,1,1,0
APS2,1,0,1,0
NPA3,2,1,2,2
OPI3,2,1,2,2
MIR1,0,0,1,0
VPS25,1,0,1,1
SOD1,1,1,1,1
RSM7,0,1,2,1
RSF2,1,1,1,1
MET5,1,0,1,0
HOM6,1,0,1,0
RPS4A,1,0,1,1
DAN1,1,0,0,0
LOT5,1,0,1,0
FAS1,4,3,4,3
RPL17A,0,0,1,0
OAC1,1,0,1,0
CWP2,1,1,2,1
CWP1,1,1,1,0
SRX1,0,1,0,0
MDH1,0,1,0,0
TEF4,1,0,0,0
YKL068W-A,2,1,2,2
MMO1,1,1,1,1
RGT1,1,0,1,0
TCD2,1,0,1,0
AUR1,0,1,1,0
PRY2,0,0,1,0
AIM29,0,0,1,0
PTR2,0,0,1,0
PCC1,1,0,1,0
ESL2,1,0,1,0
MNN4,0,2,2,0
PTK1,0,0,1,0
PIR1,0,0,1,1
GPM1,0,0,1,0
PMU1,1,0,0,0
KTI12,1,0,1,0
RRP14,1,0,0,0
FBA1,1,1,1,0
NUP120,0,0,1,0
TMA19,0,0,1,0
URB1,1,0,1,1
ARC19,1,0,1,1
BYE1,0,1,1,0
MET14,1,0,0,0
YKR011C,0,0,1,0
MRS4,0,0,1,0
SIS2,0,0,1,0
YLL058W,1,0,2,0
TPO1,1,1,1,1
HSP104,0,0,1,0
PAU17,0,0,1,0
SOF1,1,0,1,0
LOT6,1,0,0,0
PSR2,1,0,1,0
GEP5,2,1,1,0
SUL2,2,1,1,0
AHP1,0,0,1,0
CKI1,2,2,2,2
YLR173W,0,0,1,0
IDP2,0,0,1,0
PEX13,1,0,1,0
ENT2,0,0,1,1
THI7,1,2,2,1
YEF3,1,1,1,0
MCP2,1,0,1,0
YLR257W,0,0,1,0
GSY2,1,0,1,0
BOP2,0,0,1,0
YLR283W,1,2,2,1
YLR297W,0,0,1,0
ECM38,0,0,1,1
EXG1,1,1,1,0
HRI1,0,0,1,0
MET17,1,1,1,0
NMA1,1,1,1,0
NUP2,1,1,1,0
ORM2,0,0,1,0
LUG1,2,2,2,2
ATG33,0,1,1,0
ROM2,1,1,1,0
CSR1,2,2,2,0
RPS29A,0,0,1,0
SFP1,1,1,1,0
VPS36,1,0,1,0
CAR2,1,1,2,0
RPL6B,2,2,2,0
GTT2,0,0,1,0
UBI4,1,1,1,0
TEN1,1,0,0,0
POM34,1,0,1,0
IZH3,1,1,1,1
SMF3,1,1,1,1
PDC1,1,1,1,0
MEF1,1,1,1,0
NYV1,1,0,0,0
YLR108C,0,0,1,0
USB1,2,2,2,2
ACS2,1,0,1,1
RNH203,1,0,1,1
UPS2,1,1,1,1
APS1,1,1,1,1
DPH5,0,0,1,0
HMX1,0,0,1,1
ADY4,0,1,1,0
YLR278C,1,2,2,1
RSO55,1,2,2,1
YHC1,0,0,1,1
TMA10,1,1,1,0
RPS25B,1,1,1,0
CIS1,0,0,1,0
KAP95,1,1,1,0
DIC1,0,0,1,0
NIT3,1,1,1,1
ILV5,0,1,1,0
ARC18,1,1,1,0
FBP1,0,0,1,0
SEC61,2,2,2,0
REH1,0,0,1,0
DUS3,1,1,1,0
PUN1,1,0,1,0
ECM30,0,0,1,0
DIF1,1,1,2,0
VMA6,2,2,2,0
YLR460C,1,0,1,0
GTR1,1,0,1,0
YML119W,0,0,1,0
URA5,0,0,1,0
CAC2,1,0,1,0
TSL1,1,1,1,0
UFO1,1,1,1,0
TSA1,1,1,1,0
YOX1,1,1,1,0
RPS17A,0,1,1,0
PSP2,1,0,1,0
SPT5,0,1,0,0
YPT7,1,0,0,0
ADI1,1,0,2,0
ANY1,1,0,1,0
MRPL3,1,0,0,0
RSF1,1,1,1,1
ARG80,0,1,1,1
MCM1,0,1,2,1
NAT4,2,2,2,2
MOT3,2,2,2,2
RCO1,1,0,1,0
SEC14,1,0,0,0
ADH3,1,2,2,1
SPG4,0,1,2,0
ILV2,0,0,1,0
PKR1,1,0,1,0
GAT2,1,1,1,1
DDR48,0,0,1,0
HSC82,1,1,1,1
GCV2,0,0,1,0
SPG5,0,0,1,0
ICY1,2,2,2,1
ERG2,0,0,1,0
YHM2,1,1,1,0
FAA4,2,1,2,1
GFD1,1,0,0,0
SAP30,0,0,1,0
CUE1,0,0,1,0
RSN1,0,0,1,0
GAS1,1,1,1,1
PHO84,1,0,1,0
NDI1,0,0,1,0
PML39,0,0,1,0
NUP188,1,0,1,0
CUE4,1,1,1,0
RPM2,1,1,1,0
HMG1,1,1,1,1
CYB2,1,1,1,1
YML6,0,1,1,0
YML018C,1,0,1,0
RAD33,0,1,0,0
MRPL39,1,1,1,0
GIS4,1,0,1,1
PLB1,1,1,1,1
SEC59,0,0,0,1
ERG5,1,2,2,0
MSS1,1,0,0,0
FAR8,1,1,1,1
MSN2,0,0,1,0
CCS1,0,0,1,0
IRC21,1,0,1,0
SDD2,1,0,1,0
CTF18,1,0,0,0
ISF1,1,1,1,0
GID8,1,1,1,1
NDE1,0,2,2,0
MRPS17,0,0,1,0
SGS1,0,0,1,0
CMC4,2,2,2,1
RAD14,0,0,1,0
RNT1,0,0,1,0
CUS1,1,1,1,0
COA6,1,1,1,1
YMR253C,1,0,0,0
YMR265C,0,0,1,0
AEP2,1,0,1,1
RIT1,0,0,1,0
ATM1,1,0,1,0
FET4,0,0,1,0
MRPS18,1,1,1,0
PCL1,1,1,1,1
POP3,0,0,1,0
MET2,1,0,2,1
FOL1,0,0,1,0
VPS75,1,1,1,0
LAP3,0,0,1,0
ADE12,1,0,1,0
YNL208W,0,0,1,0
YNL193W,0,0,1,0
CHS1,1,0,1,0
UBP10,0,0,1,0
RPS3,1,1,1,1
YGP1,0,0,1,0
CUZ1,0,0,1,0
LSM7,1,2,2,0
MFA2,1,0,1,1
KRE33,1,0,1,1
NRK1,1,1,1,1
MET4,2,1,2,1
AVT4,1,1,1,1
RHO2,1,0,1,0
AQR1,0,0,1,0
COX5A,0,0,1,0
YIP3,2,1,2,1
NCE103,1,1,1,0
PBI2,1,1,1,1
YNL010W,0,0,1,0
TIM23,2,2,2,1
MCK1,1,1,1,0
