,Ana,Eth,Glu,Nit
MRX12,0,1,0,0
ILV3,0,2,3,0
ESS1,0,2,3,0
OAC1,1,2,2,0
TFA1,0,1,0,0
PCC1,0,1,0,0
ESL2,0,1,0,0
MAE1,0,1,0,0
TPO1,0,1,1,0
ORM2,0,1,0,0
ATG33,1,1,1,0
CAR2,0,1,1,0
ACS2,0,2,0,0
RNH203,0,2,0,0
DIC1,0,1,0,0
ILV5,1,1,1,0
ECM30,0,1,1,0
DIF1,0,1,1,0
YPT7,0,1,1,0
SPG4,1,1,1,1
ILV2,1,1,1,1
TDA1,1,1,1,0
MSN2,0,1,1,0
CCS1,0,1,1,0
TVP18,0,1,0,0
HAS1,1,1,1,0
MLS1,0,1,0,0
MET4,1,2,2,0
LAT1,0,1,0,0
ZWF1,0,1,1,0
DCP2,0,1,0,0
LEU4,1,2,2,0
HER1,1,1,1,0
YTM1,1,1,1,0
DDR2,0,1,1,0
RPB8,1,1,1,0
ISU2,1,1,1,0
FSF1,1,1,1,0
GDH1,1,1,1,1
CDC60,1,2,2,0
RMI1,0,1,0,0
CUP9,0,1,1,0
BEM4,1,2,2,0
SKS1,0,1,0,0
YBL029W,0,1,1,0
YBL029C-A,0,1,1,0
BAP2,1,1,1,0
SNA2,0,1,1,0
RBA50,0,1,1,0
YDR524C-B,0,1,1,0
MIT1,0,1,1,0
VTC1,1,1,1,0
ALD5,1,1,1,0
IES5,0,1,1,0
MET6,0,1,1,0
GAT1,1,1,1,0
HSP12,0,0,1,0
FRS2,1,1,1,0
MDJ1,0,0,1,0
QCR6,0,1,1,0
PHO4,0,1,1,0
SCS3,0,1,1,0
MET13,0,2,2,0
SOH1,0,1,1,0
LEU1,1,1,1,0
PMA1,0,1,1,0
YGR067C,0,1,0,0
ECL1,0,1,0,0
BAT1,1,2,2,0
SET5,1,2,2,0
RHO3,0,1,1,0
VHR1,0,1,0,0
PCL7,0,1,1,0
RGI2,0,1,0,0
MMF1,0,1,1,0
