,Ana,Eth,Glu,Nit
CYC3,1,1,1,0
CDC6,0,1,1,0
DAS1,1,1,1,0
NET1,0,0,1,0
ELO1,0,1,1,0
INO1,1,1,1,0
SNA3,1,1,1,0
PRY3,0,0,1,0
NNK1,0,1,1,0
HAP4,0,1,1,0
SFK1,0,1,1,0
PTR2,0,1,1,0
MNN4,0,2,1,0
PXA2,0,0,1,0
MCD4,0,0,1,0
ASK1,0,1,1,0
FOX2,1,1,1,1
TPO1,0,1,1,0
HSP104,0,1,0,0
YLR112W,0,0,1,0
HOG1,0,0,1,0
RRN5,1,1,1,1
PUT1,1,1,1,1
HAP1,0,0,1,0
SFP1,1,1,1,0
CCW12,0,0,1,0
SLS1,1,1,1,1
YLR152C,0,1,1,0
DUS3,1,1,1,0
CAT2,1,1,1,0
PEX9,0,1,1,0
NAT4,0,1,0,0
MOT3,0,1,0,0
GAT2,0,1,1,0
MGL2,0,0,1,1
GUA1,0,1,2,0
DIA1,0,1,1,1
RRN11,1,1,1,0
MSN2,0,1,1,0
GID8,0,1,1,0
YMR209C,0,0,1,1
SKY1,0,1,2,0
SPS19,0,1,1,1
YNL010W,1,1,1,1
IDP3,1,1,1,1
ZWF1,0,1,1,0
PDR16,1,1,1,0
MRPL19,0,1,0,0
YNL144C,1,1,1,1
CIT1,0,1,1,0
PSF3,0,1,1,0
TRM13,0,1,1,0
PHM7,0,1,1,0
PEX15,0,0,1,0
PRE6,0,1,0,0
YOL036W,0,1,0,0
UTP23,1,0,0,0
WHI5,0,1,1,1
LPX1,0,1,1,1
RAS1,1,1,1,0
RGS2,0,1,1,0
LAS17,0,1,1,0
MOD5,1,1,2,1
HSH49,0,1,1,1
PEX11,0,1,1,0
MDH2,0,1,1,0
DDR2,0,0,1,0
IZH2,1,1,1,0
CRC1,1,1,1,0
DCI1,0,1,1,0
TPO4,1,1,2,1
PIP2,0,1,1,0
ISU1,0,0,1,0
ROX1,0,1,2,0
SCD6,0,0,1,1
NCE102,0,1,1,0
QCR2,0,1,0,0
YPR196W,0,1,0,0
GIP3,0,0,1,0
EEB1,1,1,1,1
SVL3,0,0,1,0
CMR3,0,1,1,0
YPR063C,0,1,2,0
ANT1,0,0,1,1
YPR148C,0,1,1,0
RPC82,0,1,0,0
KIP1,0,0,1,0
HSP26,0,1,0,0
YBR137W,0,1,1,0
IFA38,0,1,1,0
PRX1,0,0,1,0
PMP1,0,1,1,0
UGA3,1,1,1,1
SNQ2,0,0,1,0
SNF11,1,1,1,0
ADR1,0,0,1,0
PEX5,0,1,1,1
VHS1,1,1,1,1
SUR2,0,1,1,0
PDR15,1,1,1,0
IZH1,0,1,1,0
SMT3,0,0,1,0
GLT1,1,1,1,1
RRP42,1,2,2,1
TMA17,1,2,2,1
MDH3,0,1,1,1
TGL2,0,0,1,0
UBC5,0,0,1,0
IPT1,1,1,1,0
PRP28,0,1,1,1
CTA1,0,1,1,0
PMP3,0,1,0,0
PKH1,0,1,1,0
GNP1,0,0,1,0
PCM1,0,1,1,0
FAA2,0,1,1,1
RPN3,0,1,0,0
SRB4,0,1,0,0
SPO73,0,1,1,0
RPS26B,0,1,1,0
PRB1,0,1,1,0
SOM1,0,1,1,0
ICL1,0,1,1,0
COM2,0,1,1,0
YER137C,0,0,1,0
IRC7,1,1,1,1
HXK2,0,1,1,0
POX1,0,1,1,1
TOS8,0,0,1,0
OLE1,0,1,1,0
FMP48,0,1,1,0
ERG25,0,1,1,0
MPC3,0,1,1,0
CHC1,0,1,1,1
SDS23,0,1,1,0
YGR035C,1,1,1,1
ERG1,0,1,1,0
YAP1802,0,1,1,0
RIM101,0,1,1,0
YHR033W,0,1,0,0
RTC3,0,0,1,0
ERG11,0,0,1,0
BNR1,1,1,1,1
POG1,0,1,1,0
VHR1,2,2,2,1
POT1,1,1,1,1
RGI2,2,2,2,1
