,Ana,Eth,Glu,Nit
FLC2,0.0,7.690710382513662,3.910891089108911,0.0
YAT1,0.0,8.947368421052632,7.792207792207792,0.0
ACS1,0.0,7.690710382513662,3.910891089108911,0.0
MRS3,2.235294117647059,21.03191489361702,7.904204491161014,2.1097560975609757
DPI8,2.235294117647059,21.03191489361702,7.904204491161014,2.1097560975609757
FAT3,0.0,3.1775700934579443,3.6904761904761902,0.0
MTR2,0.0,3.1775700934579443,3.6904761904761902,0.0
COY1,0.0,2.278350515463918,0.0,0.0
ACO1,2.5461538461538464,6.2980769230769225,6.125,0.0
ADH3,0.0,2.2063492063492065,0.0,0.0
SPG4,0.0,12.73529411764706,13.684782608695654,0.0
YHM2,0.0,2.3833333333333333,0.0,0.0
CUS1,0.0,2.3833333333333333,0.0,0.0
RPS3,0.0,4.296875,3.4693877551020407,0.0
CIT1,0.0,5.928571428571429,4.722222222222222,0.0
RAS1,0.0,2.265306122448979,0.0,0.0
CPA1,0.0,2.2772277227722775,0.0,0.0
FAA1,0.0,4.145299145299146,7.7804878048780495,0.0
CRC1,0.0,2.265306122448979,0.0,0.0
GDH1,0.0,6.041666666666666,2.1818181818181817,0.0
GLN1,0.0,3.760683760683761,0.0,2.3488372093023258
SPO24,14.307018528916338,24.248575985418093,20.15024154589372,2.225
ACH1,0.0,2.5118110236220472,0.0,0.0
CIT2,2.464088397790055,9.98040864757732,4.325501253132832,0.0
YCR006C,2.464088397790055,9.98040864757732,4.325501253132832,0.0
ADY2,0.0,2.984732824427481,2.781609195402299,0.0
ADR1,0.0,2.3423423423423424,0.0,0.0
BSC2,0.0,3.6259541984732824,2.561797752808989,0.0
DLD3,7.8196933010492335,17.016,13.047619047619047,0.0
YAT2,0.0,2.2777777777777777,0.0,0.0
PYC1,0.0,2.6168224299065423,2.375,0.0
YGR161W-C,0.0,2.4731182795698925,0.0,0.0
RTS3,0.0,2.4731182795698925,0.0,0.0
MPC2,2.296,7.140000000000001,3.531645569620253,0.0
YAP1801,2.296,7.140000000000001,3.531645569620253,0.0
VHR1,0.0,3.605504587155963,0.0,0.0
RGI2,0.0,3.605504587155963,0.0,0.0
