,Ana,Eth,Glu,Nit
FLC2,0,2,1,0
YAT1,0,1,1,0
ACS1,0,2,1,0
MRS3,1,2,1,0
DPI8,1,2,1,0
FAT3,0,1,1,0
MTR2,0,1,1,0
COY1,0,1,0,0
ACO1,1,1,1,0
ADH3,0,1,0,0
SPG4,0,1,1,0
YHM2,0,1,0,0
CUS1,0,1,0,0
RPS3,0,1,1,0
CIT1,0,1,1,0
RAS1,0,1,0,0
CPA1,0,1,0,0
FAA1,0,1,1,0
CRC1,0,1,0,0
GDH1,0,1,0,0
GLN1,0,1,0,0
SPO24,2,2,2,0
ACH1,0,1,0,0
CIT2,1,3,1,0
YCR006C,1,3,1,0
ADY2,0,1,1,0
ADR1,0,1,0,0
BSC2,0,1,1,0
DLD3,2,2,2,0
YAT2,0,1,0,0
PYC1,0,1,0,0
YGR161W-C,0,1,0,0
RTS3,0,1,0,0
MPC2,1,1,1,0
YAP1801,1,1,1,0
VHR1,0,1,0,0
RGI2,0,1,0,0
