,Ana,Eth,Glu,Nit
FLC2,0,1,1,0
YAT1,0,1,2,0
ACS1,0,1,1,0
SIP4,0,1,1,0
MPS3,0,1,0,0
RPL43B,0,2,2,0
SFC1,0,2,2,0
BAT2,0,1,0,0
BBC1,0,1,0,0
UBA1,0,0,1,0
PTM1,0,0,1,0
RPS21A,0,1,0,0
GLG1,0,1,0,0
PCK1,1,2,2,0
TRP3,0,0,1,0
NFU1,0,0,1,0
YLR297W,0,1,0,0
CDA2,0,2,2,0
KNS1,0,1,1,0
COX19,0,1,1,0
ACS2,0,2,2,0
RNH203,0,2,2,0
YLR307C-A,0,2,2,0
FBP1,0,1,1,0
CAT2,0,1,2,0
TRM12,0,1,1,0
RRN11,0,1,2,0
MLS1,1,2,2,0
DCP2,1,2,2,0
TRM13,0,2,2,0
LAG2,0,1,1,0
RAS1,0,1,1,0
WTM1,0,1,0,0
MDH2,0,2,2,0
MIM1,0,1,1,0
RKI1,0,1,1,0
CRC1,0,1,1,0
ALD6,0,1,1,0
YPL034W,0,1,1,0
SUT2,0,1,0,0
GLN1,0,1,0,0
ACH1,0,1,1,0
BEM1,0,1,1,0
REG2,0,1,1,0
RFS1,0,1,1,0
CIT2,0,3,1,0
YCR006C,0,3,1,0
ADY2,0,0,1,0
FEN2,0,1,1,0
RIM1,0,1,1,0
SRF1,0,1,1,0
SCC2,0,1,1,0
PPH21,0,1,1,0
HYP2,0,1,0,0
ICL1,0,1,1,0
AGP3,0,2,2,0
BUD27,0,1,1,0
EPL1,0,1,1,0
ERG25,0,1,0,0
TIM13,0,0,1,0
YGR067C,0,1,1,0
RNR4,0,0,1,0
ZUO1,0,1,1,0
HXT1,0,1,1,0
