,Ana,Eth,Glu,Nit
BDH1,2.236842105263158,0.0,0.0,0.0
FLC2,2.4242424242424243,0.0,2.1333333333333333,0.0
ACS1,2.4242424242424243,0.0,2.1333333333333333,0.0
RPL39,2.7272727272727275,0.0,0.0,0.0
SET4,9.354838709677418,2.533333333333333,3.7634408602150535,0.0
SIP4,4.0540540540540535,0.0,2.2727272727272725,0.0
YJL045W,3.230769230769231,0.0,0.0,0.0
MHP1,3.5384615384615383,0.0,0.0,0.0
RNR2,3.142857142857143,0.0,2.0930232558139537,0.0
TAH11,2.5757575757575757,0.0,0.0,0.0
RPS22A,2.7272727272727275,0.0,0.0,0.0
YJL107C,6.225207163859931,0.0,2.5047619047619047,0.0
VPS53,3.142857142857143,0.0,2.0930232558139537,0.0
SSC1,2.5757575757575757,0.0,0.0,0.0
RSF2,3.5076923076923077,0.0,0.0,0.0
DAN1,2.757142857142857,0.0,0.0,0.0
JEN1,2.888888888888889,0.0,0.0,0.0
URA1,2.9577464788732395,0.0,2.604166666666667,0.0
OAC1,2.873239436619718,0.0,0.0,0.0
HAP4,8.472222222222221,2.676056338028169,5.083333333333333,2.167832167832168
CWP2,4.453125,0.0,2.0869565217391304,0.0
YKR041W,12.099281214415814,3.0253164556962022,2.8415841584158414,0.0
UTH1,5.120481927710843,3.0253164556962022,2.8415841584158414,0.0
AIM29,6.056338028169014,3.9682539682539684,3.6470588235294117,0.0
ECM4,3.9014084507042255,0.0,2.3703703703703702,0.0
PTR2,15.633802816901408,6.984126984126984,6.395061728395062,2.4714285714285715
PCK1,8.169014084507042,2.6984126984126986,3.5802469135802473,0.0
MNN4,7.496884960880904,3.348484848484849,3.831578947368421,0.0
PXA2,2.682926829268293,0.0,0.0,0.0
IXR1,3.23943661971831,0.0,0.0,0.0
FOX2,3.802816901408451,0.0,0.0,0.0
SIS2,6.056338028169014,3.9682539682539684,3.6470588235294117,0.0
YKR075C,3.9014084507042255,0.0,2.3703703703703702,0.0
TPO1,6.962025316455696,0.0,3.75,0.0
ISA1,4.730769230769231,0.0,0.0,0.0
AHP1,2.815533980582524,2.7160493827160495,3.203125,0.0
RRN5,4.029850746268656,2.4615384615384617,2.1875,0.0
PUT1,4.029850746268656,2.4615384615384617,2.1875,0.0
MRPL15,5.015384615384615,0.0,2.2151898734177213,0.0
NMA1,3.4210526315789473,0.0,0.0,0.0
MID2,4.769230769230769,0.0,2.298850574712644,0.0
FKS1,7.631578947368421,0.0,3.5802469135802473,0.0
SFP1,2.7384615384615385,0.0,0.0,0.0
AQY2,4.630769230769231,2.3934426229508197,0.0,0.0
FRE6,2.923076923076923,0.0,0.0,0.0
COF1,2.923076923076923,0.0,0.0,0.0
YLR108C,2.815533980582524,2.7160493827160495,3.203125,0.0
SLS1,4.029850746268656,2.4615384615384617,2.1875,0.0
ACO1,3.2615384615384615,2.9508196721311477,2.17,0.0
ATG39,5.015384615384615,0.0,2.2151898734177213,0.0
FBP1,8.76923076923077,2.361111111111111,3.048780487804878,0.0
DUS3,2.7384615384615385,0.0,0.0,0.0
CAT2,2.185714285714286,0.0,0.0,0.0
YAP1,5.895238095238096,0.0,0.0,0.0
HXT2,4.5673076923076925,3.3066666666666666,0.0,0.0
PEX9,3.203125,0.0,0.0,0.0
FET3,3.3714285714285714,0.0,2.432098765432099,0.0
NAT4,15.152777777777779,0.0,4.209876543209877,0.0
MOT3,15.152777777777779,0.0,4.209876543209877,0.0
SPG4,7.571428571428571,0.0,2.804878048780488,0.0
ILV2,4.428571428571429,0.0,2.804878048780488,0.0
PKR1,3.0263157894736845,0.0,2.1176470588235294,0.0
GAT2,14.086021505376344,2.263888888888889,7.205421562564419,0.0
DDR48,3.057142857142857,0.0,0.0,0.0
ERG2,3.7142857142857144,2.380952380952381,2.7160493827160495,0.0
TOM40,3.7142857142857144,2.380952380952381,2.7160493827160495,0.0
YMR244W,5.1456310679611645,0.0,0.0,0.0
FAA4,2.097826086956522,0.0,0.0,0.0
HOR7,8.857142857142858,0.0,3.1818181818181817,0.0
GPI12,2.6666666666666665,0.0,2.087912087912088,0.0
RRN11,2.185714285714286,0.0,0.0,0.0
MRPL39,2.5714285714285716,0.0,0.0,0.0
ERG6,5.895238095238096,0.0,0.0,0.0
MSN2,15.379800853485065,3.3333333333333335,5.716049382716049,0.0
AAC1,3.3714285714285714,0.0,2.432098765432099,0.0
ISF1,0.0,2.0634920634920637,2.0238095238095237,0.0
GID8,14.086021505376344,2.263888888888889,7.205421562564419,0.0
NDE1,4.771428571428571,0.0,2.539325842696629,0.0
RGM1,3.4259259259259256,0.0,2.588235294117647,0.0
ZRC1,5.1456310679611645,0.0,0.0,0.0
