,Ana,Eth,Glu,Nit
BDH1,1,0,0,0
FLC2,1,0,0,0
ACS1,1,0,0,0
RPL39,1,0,0,0
SET4,1,1,1,0
SIP4,1,0,1,0
YJL045W,1,0,0,0
MHP1,1,0,0,0
RNR2,1,0,0,0
TAH11,1,0,0,0
RPS22A,1,0,0,0
YJL107C,2,0,1,0
VPS53,1,0,0,0
SSC1,1,0,0,0
RSF2,1,0,0,0
DAN1,1,0,0,0
JEN1,1,0,0,0
URA1,1,0,1,0
OAC1,1,0,0,0
HAP4,1,1,1,1
CWP2,1,0,1,0
YKR041W,3,1,1,0
UTH1,1,1,1,0
AIM29,1,1,1,0
ECM4,1,0,1,0
PTR2,2,1,1,1
PCK1,1,1,1,0
MNN4,2,1,1,0
PXA2,1,0,0,0
IXR1,1,0,0,0
FOX2,1,0,0,0
SIS2,1,1,1,0
YKR075C,1,0,1,0
TPO1,1,0,1,0
ISA1,1,0,0,0
AHP1,1,1,1,0
RRN5,1,0,1,0
PUT1,1,0,1,0
MRPL15,1,0,1,0
NMA1,1,0,0,0
MID2,1,0,1,0
FKS1,1,0,1,0
SFP1,1,0,0,0
AQY2,1,0,0,0
FRE6,1,0,0,0
COF1,1,0,0,0
YLR108C,1,1,1,0
SLS1,1,0,1,0
ACO1,1,1,1,0
ATG39,1,0,1,0
FBP1,1,0,1,0
DUS3,1,0,0,0
CAT2,1,0,0,0
YAP1,2,0,0,0
HXT2,1,1,0,0
PEX9,1,0,0,0
FET3,1,0,1,0
NAT4,2,0,1,0
MOT3,2,0,1,0
SPG4,2,0,1,0
ILV2,1,0,1,0
PKR1,1,0,0,0
GAT2,2,0,2,0
DDR48,1,0,0,0
ERG2,1,0,1,0
TOM40,1,0,1,0
YMR244W,1,0,0,0
FAA4,1,0,0,0
HOR7,1,0,1,0
GPI12,1,0,0,0
RRN11,1,0,0,0
MRPL39,1,0,0,0
ERG6,2,0,0,0
MSN2,2,1,1,0
AAC1,1,0,1,0
GID8,2,0,2,0
NDE1,1,0,1,0
RGM1,1,0,1,0
ZRC1,1,0,0,0
COA6,1,0,0,0
BSC4,1,0,0,0
LYP1,1,0,0,0
LAP3,1,0,0,0
UBP10,1,0,0,0
MSK1,1,0,0,0
YNR014W,2,0,1,0
ALP1,1,0,0,0
ZWF1,1,0,0,0
NAR1,1,0,0,0
PDR16,1,0,0,0
RHO5,1,0,1,0
MLF3,1,0,0,0
ATO2,1,0,0,0
PHO91,2,0,1,0
TRM13,1,0,1,0
PHM7,2,1,2,0
TIR4,1,0,0,0
TMA46,1,0,0,0
ECM3,1,0,0,0
KTR1,1,0,0,0
RGS2,2,1,2,0
IDH2,1,0,1,0
PDR5,1,0,1,0
MSB1,1,0,0,0
STE4,1,0,0,0
WTM1,0,0,1,0
SRL1,1,0,0,0
MOD5,1,0,0,0
HSH49,1,0,1,0
MDH2,1,0,1,0
SMF1,1,0,0,0
RPS19A,1,0,0,0
SLG1,1,0,0,0
CIN5,1,1,1,0
HMS1,1,1,1,0
NRT1,1,0,0,0
NUP1,1,0,0,0
ATG40,1,0,1,0
PNS1,1,0,0,0
GAC1,1,0,1,0
MGM1,1,0,0,0
ENV9,1,0,0,0
TPO4,1,0,0,0
YOR342C,1,0,0,0
PUT4,2,0,1,0
GDH1,1,0,1,0
DIP5,1,0,0,0
CBP3,1,0,0,0
ISU1,1,0,0,0
CAR1,1,0,0,0
YPL088W,1,0,0,0
ALD6,1,0,1,0
SUT2,1,0,0,0
NCE102,1,0,1,0
AQY1,2,1,1,0
CUP9,1,1,1,0
GIP3,1,0,0,0
PEX25,1,0,0,0
RLM1,1,0,0,0
PDR12,0,0,1,0
CMR3,1,0,0,0
YPR148C,1,0,1,0
KIP1,1,0,0,0
TOD6,1,0,0,0
ECM13,2,1,1,1
YBL029W,2,1,2,0
TEC1,1,0,0,0
PBY1,1,0,0,0
AMN1,1,0,1,0
YPC1,2,0,0,0
PRX1,1,0,0,0
YBL055C,1,0,0,0
COR1,2,1,1,1
YBL029C-A,2,1,2,0
BAP2,1,0,1,0
TAT1,1,0,0,0
ICS2,1,0,0,0
KCC4,1,0,1,0
SAT4,1,0,0,0
SNT1,1,0,0,0
AGP1,1,0,1,0
LYS20,1,0,0,0
RGT2,1,0,1,0
NDE2,1,0,1,0
SIT4,2,0,1,0
RSM10,1,1,1,0
YDR061W,1,0,0,0
SNF11,1,0,0,0
SED1,1,0,1,0
GIS1,1,0,1,0
ADR1,2,1,2,1
YDR222W,1,0,0,0
VHS1,1,0,0,0
EFT2,1,1,1,0
PDR15,1,0,0,0
SMT3,1,1,1,0
STL1,1,0,1,0
FMP45,1,0,0,0
PRR2,2,0,1,0
NOP6,1,0,1,0
