,Ana,Eth,Glu,Nit
FLC2,3.3661971830985915,4.750000000000001,4.576470588235294,0.0
CDC19,25.774647887323944,83.31967213114754,42.41176470588235,5.862383876554873
EFB1,2.1126760563380285,0.0,2.735294117647059,0.0
YAT1,0.0,14.508196721311478,0.0,0.0
ACS1,3.3661971830985915,4.750000000000001,4.576470588235294,0.0
CLN3,2.4722222222222223,21.270491803278688,3.605882352941176,0.0
CYC3,0.0,2.1188524590163937,0.0,0.0
SSA1,2.1126760563380285,0.0,2.735294117647059,0.0
CDC6,3.7291666666666665,5.7664974619289335,5.788571428571428,0.0
DAS1,6.0540540540540535,3.396039603960396,3.6500000000000004,0.0
LCB3,0.0,0.0,2.1144578313253013,0.0
MRS3,5.0344827586206895,3.7766497461928936,4.518072289156626,0.0
ASF1,0.0,9.898477157360407,4.674053356282272,0.0
LSB6,2.611111111111111,0.0,0.0,0.0
TDH1,10.04054054054054,49.913759213759214,23.555948344275304,4.0108303249097474
MHP1,0.0,2.9441624365482233,0.0,0.0
RNR2,2.469135802469136,17.183769220049243,6.445783132530121,0.0
MHO1,0.0,4.084507042253521,2.6453488372093026,0.0
LSM8,0.0,6.0152284263959395,0.0,0.0
PTK2,0.0,0.0,2.4277108433734935,0.0
ADO1,0.0,2.0862944162436547,0.0,0.0
YJR115W,2.3783783783783785,5.69377990430622,2.919047619047619,0.0
ATP2,2.0108695652173916,0.0,2.1323529411764706,0.0
IML1,3.6458333333333335,2.370558375634518,3.3294797687861273,0.0
ELO1,3.7291666666666665,5.7664974619289335,5.788571428571428,0.0
CIS3,2.4189189189189184,0.0,0.0,0.0
SNA3,6.0540540540540535,3.396039603960396,3.6500000000000004,0.0
RPS21B,0.0,0.0,2.1144578313253013,0.0
DPI8,5.0344827586206895,3.7766497461928936,4.518072289156626,0.0
NCA3,0.0,9.898477157360407,4.674053356282272,0.0
GSH1,2.611111111111111,0.0,0.0,0.0
PRY1,0.0,4.50253807106599,0.0,0.0
UBX6,0.0,2.203045685279188,0.0,0.0
YJL047C-A,0.0,2.203045685279188,0.0,0.0
VPS53,0.0,7.135922330097087,2.228915662650602,0.0
APS3,2.08,0.0,2.174698795180723,0.0
TDH2,14.75,89.33193069306931,27.098298555377205,7.077731918238994
TES1,0.0,9.492385786802032,0.0,0.0
REC107,0.0,9.492385786802032,0.0,0.0
MDE1,0.0,2.0812182741116754,0.0,0.0
BNA1,0.0,2.0812182741116754,0.0,0.0
APS2,0.0,0.0,2.4277108433734935,0.0
SOD1,0.0,2.0862944162436547,0.0,0.0
RSM7,2.3783783783783785,5.69377990430622,2.919047619047619,0.0
MET5,3.6458333333333335,2.370558375634518,3.3294797687861273,0.0
JEN1,2.2531645569620253,3.9263565891472867,2.0396039603960396,0.0
EAP1,0.0,0.0,2.385474860335196,0.0
LOT5,0.0,6.700421940928271,2.512562814070352,0.0
FAS1,0.0,6.700421940928271,2.512562814070352,0.0
MCR1,0.0,4.578059071729958,2.815642458100559,0.0
CWP2,0.0,6.603375527426161,0.0,0.0
CWP1,0.0,4.4303797468354436,0.0,0.0
SRX1,0.0,0.0,2.206703910614525,0.0
MDH1,0.0,0.0,2.206703910614525,0.0
VMA5,3.3707865168539324,0.0,2.659217877094972,0.0
YKL068W-A,0.0,5.9493670886075956,2.1195652173913047,0.0
MMO1,3.329113924050633,4.472573839662447,2.1564245810055866,0.0
PHD1,3.329113924050633,2.2447257383966246,0.0,0.0
UGP1,0.0,0.0,2.134078212290503,0.0
TFA1,11.120000000000001,17.025316455696203,6.732323232323233,0.0
YKR041W,0.0,8.89451476793249,0.0,0.0
UTH1,0.0,4.7257383966244735,0.0,0.0
MNN4,0.0,5.766504628515506,0.0,0.0
PTK1,0.0,2.5822784810126582,3.4245810055865924,0.0
FAT3,0.0,4.9451476793248945,0.0,0.0
MTR2,0.0,2.6160337552742616,0.0,0.0
GPM1,14.8921568627451,54.835443037974684,32.62569832402235,4.147540983606557
NNR2,0.0,4.578059071729958,2.815642458100559,0.0
FBA1,20.29213483146067,160.95358649789029,63.56593406593407,4.7607052896725435
IXR1,4.346153846153846,21.855595667870038,8.871508379888269,0.0
MAE1,11.120000000000001,20.50636601837842,6.732323232323233,0.0
YCT1,0.0,12.295918367346939,2.9696969696969697,0.0
