,Ana,Eth,Glu,Nit
FLC2,0,2,1,0
YAT1,1,2,1,1
ACS1,0,2,1,0
MRS3,1,1,0,0
ASF1,0,1,0,0
SIP4,1,1,1,1
RNR2,1,1,1,1
MPS3,0,1,0,0
RPL43B,1,2,2,1
SFC1,1,2,2,1
YJR115W,0,1,0,0
BAT2,1,1,1,0
INO1,0,1,1,0
SNA3,0,1,1,0
DPI8,1,1,0,0
URA2,0,0,0,1
NCA3,0,1,0,0
YJL107C,0,1,1,0
BBC1,0,1,0,0
RSM7,0,1,0,0
JEN1,1,1,1,0
AVT3,0,1,1,0
HAP4,0,2,2,0
CWP2,0,0,1,0
YKR041W,0,1,1,0
PCK1,2,2,2,1
FAT3,0,1,1,0
SDH1,0,1,1,0
FBA1,0,0,0,1
TPO1,0,1,1,0
ISA1,0,1,1,0
YLR112W,0,1,0,0
HOG1,0,1,0,0
IDP2,0,1,1,0
YLR297W,0,1,1,0
EXG1,0,1,0,0
CDA2,1,2,2,1
MRPL15,0,1,0,0
CAR2,0,1,0,0
KNS1,0,1,1,0
COX19,0,1,1,0
CCW12,0,1,0,0
YLR152C,0,1,0,0
ACS2,0,1,1,1
RNH203,0,1,1,1
ACO1,0,1,1,0
YLR307C-A,1,2,2,1
ATG39,0,1,0,0
FBP1,1,2,2,1
ECM30,0,1,0,0
DIF1,0,1,0,0
CAT2,0,2,2,0
HOR7,0,1,1,0
UBP15,0,1,1,0
HMG1,0,1,0,0
RRN11,0,2,2,0
MSN2,0,1,0,0
NDE1,0,1,1,0
ADH2,0,1,1,0
MLS1,1,1,1,1
MET4,0,1,0,0
AQR1,0,0,1,0
PBI2,0,1,1,0
PDR16,0,1,0,0
RHO5,0,1,1,0
DCP2,1,1,1,1
LEU4,0,1,0,0
POR1,1,0,0,0
TRM13,1,1,1,1
PLB3,0,1,1,0
RAS1,0,1,1,0
YTM1,0,1,0,0
CPA1,0,1,0,0
ALD4,0,1,0,0
MDH2,1,1,1,1
DDR2,0,0,1,0
HTZ1,0,1,1,0
RKI1,1,1,1,1
CRC1,0,1,1,0
GAC1,0,1,1,0
FSF1,0,1,0,0
YOR342C,0,1,1,0
PYK2,0,0,0,1
PUT4,1,1,1,0
GDH1,0,1,0,0
CAR1,0,1,0,0
ALD6,1,1,1,1
LEE1,0,1,0,0
CSR2,1,1,1,1
GLN1,0,2,2,1
SPO24,2,3,2,2
AQY1,0,1,1,0
RPL36B,0,1,0,0
CUP9,0,1,0,0
PRM4,1,1,1,1
ODC1,0,1,0,0
RPS6A,0,1,1,0
LGE1,0,1,0,0
APL4,1,1,1,1
ACH1,1,1,1,0
TEC1,0,1,1,0
ERV15,0,1,0,0
COQ21,1,1,1,1
REG2,1,1,1,1
RFS1,1,1,1,1
TIP1,0,1,0,0
ROT2,1,1,1,1
OM14,1,1,1,1
PHO89,0,1,0,0
CIT2,2,2,2,0
YCR006C,2,2,2,0
ADY2,1,2,2,1
LYS20,0,1,1,0
YDL086W,0,1,0,0
SIT4,0,1,1,0
GAL3,0,1,1,0
SNQ2,0,1,1,0
PST1,0,1,0,0
SNF11,0,1,1,0
GIS1,0,1,0,0
SCC2,0,1,1,0
CCT6,1,1,1,0
ADR1,1,1,1,0
BSC2,0,1,1,0
EFT2,0,2,2,1
SNA2,0,1,0,0
RBA50,0,1,0,0
STL1,1,1,1,0
GDH2,0,1,1,0
PRR2,0,1,0,0
NOP6,0,1,0,0
YDL183C,0,1,1,0
LUC7,0,1,0,0
YDL085C-A,0,1,0,0
STP4,0,1,1,0
CDC34,0,1,0,0
IPT1,0,1,1,0
SND1,1,1,1,0
CTA1,0,1,1,0
MTH1,0,1,1,0
ATO3,0,2,2,1
YDR524C-B,0,1,0,0
DLD3,0,1,0,0
PCM1,0,1,1,0
TIM9,0,0,0,1
PRO3,0,1,1,0
YAT2,0,1,1,0
PRB1,0,1,1,0
SOM1,0,1,1,0
ICL1,1,2,2,1
YER137C,1,1,1,0
YER158C,0,2,0,0
BUR6,0,1,0,0
BUD27,0,1,1,0
HSP12,0,1,1,0
EPL1,0,1,1,0
MDJ1,0,1,1,0
MTC3,1,0,0,1
PYC1,0,1,1,0
OLE1,0,1,0,0
CBF2,0,1,1,0
SKN1,1,0,1,0
MPC3,0,1,0,0
OST5,1,0,0,1
SDS23,0,1,0,0
PMA1,0,1,1,0
YGR067C,2,2,2,1
PIL1,0,2,1,0
YAP1802,0,1,0,0
RIE1,0,1,1,0
ZUO1,0,1,0,0
RPL27A,0,1,1,0
TDA3,0,1,1,0
HXT5,0,2,1,0
OM45,0,1,1,0
KGD1,0,1,1,0
VHR1,0,1,1,0
TMA108,0,1,1,0
RGI2,0,1,1,0
