,Ana,Eth,Glu,Nit
FLC2,1,0,0,0
ACS1,1,0,0,0
CYC3,1,0,0,0
MRS3,1,0,0,0
ASF1,1,0,0,0
NET1,1,0,0,0
YMR1,1,0,0,0
IMA5,1,0,1,0
DPI8,1,0,0,0
NCA3,1,0,0,0
PRY3,1,0,0,0
CPA2,1,0,0,0
DAN1,1,0,0,0
URA1,1,0,0,0
HAP4,2,0,0,0
CWP2,1,0,0,0
MSN4,1,0,0,0
SFK1,1,0,0,0
MMO1,1,0,0,0
PHD1,1,0,0,0
TFA1,1,1,1,0
YKR041W,1,0,0,0
PTR2,1,0,0,0
PCK1,2,2,2,1
MNN4,1,0,0,0
FAT3,1,0,0,0
YKL063C,1,0,0,0
ASK1,1,0,0,0
IXR1,1,0,0,0
MAE1,1,1,1,0
SRP40,1,0,0,0
TPO1,1,1,1,0
ISA1,1,0,0,0
ERG3,1,0,1,0
YLR112W,1,0,0,0
HOG1,1,0,0,0
PUT1,1,0,0,0
HAP1,1,0,0,0
MRPL15,1,0,0,0
NMA1,1,0,0,0
NUP2,1,0,0,0
FKS1,1,0,0,0
SFP1,1,0,0,0
PDC1,1,1,1,0
SPT8,1,0,1,0
CHA4,1,0,0,0
CCW12,1,0,0,0
SLS1,1,0,0,0
ECM22,1,0,0,0
NDL1,1,0,0,0
ATG39,1,0,0,0
RPS25B,1,0,0,0
FBP1,1,0,0,0
DUS3,1,0,0,0
GTR1,1,0,0,0
UFO1,2,1,1,0
YAP1,1,0,0,0
ADI1,1,0,0,0
MOT3,1,0,0,0
GAT2,1,0,0,0
ICY1,1,1,1,0
HOR7,1,0,0,0
PHO84,1,0,0,0
RPM2,2,1,1,0
ERG6,1,0,0,0
PLB1,1,0,0,0
ERG5,1,0,0,0
SOK2,1,0,0,0
GID8,1,0,0,0
NDE1,1,0,0,0
CMC4,1,1,1,0
SCS7,1,0,0,0
FET4,1,0,0,0
MET2,1,0,0,0
RPS3,1,0,0,0
MLS1,0,0,1,0
AQR1,1,1,1,0
NCE103,1,0,0,0
TIM23,1,0,0,0
ARE2,1,0,0,0
EGO4,1,0,0,0
PDR16,1,0,0,0
RHO5,1,0,0,0
ESBP6,1,0,0,0
DCP2,0,0,1,0
POR1,1,0,0,0
IDH1,1,0,0,0
CIT1,1,0,0,0
ATO2,1,0,1,0
ACC1,1,0,0,0
TRM13,0,1,1,0
SHR5,1,0,0,0
ZEO1,2,0,0,1
PHM7,1,0,0,0
ARG1,1,0,0,0
PLB3,1,0,0,0
RGS2,1,0,0,0
BAG7,1,0,0,0
PDR5,1,0,0,0
CPA1,1,0,0,0
FAA1,2,0,0,0
FIT2,1,0,0,0
MDH2,0,1,1,0
MDY2,1,0,0,0
INO4,1,0,0,0
DDR2,1,0,0,0
HTZ1,1,0,0,0
CIN5,1,0,0,0
HMS1,1,0,0,0
TMC1,1,0,0,0
ATG40,1,0,0,0
COT1,1,0,0,0
