,Ana,Eth,Glu,Nit
CDC19,9.356321839080461,6.75,30.290000000000003,3.441176470588235
TDH1,2.588235294117647,0.0,10.476190476190476,0.0
RNR2,0.0,2.666666666666667,2.310810810810811,0.0
VPS53,0.0,2.666666666666667,2.310810810810811,0.0
RPC17,0.0,0.0,2.5,0.0
TDH2,3.7411764705882353,2.5217391304347827,12.964705882352941,2.8095238095238098
MCR1,0.0,0.0,2.2,0.0
GPM1,5.841584158415841,4.042553191489362,19.603960396039604,3.2142857142857144
NNR2,0.0,0.0,2.2,0.0
FBA1,8.032608695652176,11.5,33.827160493827165,3.4090909090909087
YLR112W,0.0,0.0,4.264705882352941,0.0
HOG1,0.0,0.0,4.264705882352941,0.0
YLR283W,0.0,0.0,2.6984126984126986,0.0
EXG1,0.0,0.0,3.432835820895522,0.0
PDC1,3.6697247706422016,6.829268292682928,16.86046511627907,0.0
CCW12,0.0,0.0,4.264705882352941,0.0
YLR278C,0.0,0.0,2.6984126984126986,0.0
RSO55,0.0,0.0,2.6984126984126986,0.0
YMR206W,5.056818181818182,8.529411764705882,19.86253521126761,0.0
PFK2,5.056818181818182,8.529411764705882,19.86253521126761,0.0
PHM7,0.0,2.972972972972973,3.3333333333333335,0.0
GPD2,3.4683544303797467,2.6666666666666665,7.555555555555556,0.0
ADH1,8.141334730957373,3.7142857142857144,10.0,7.692307692307692
MAM3,3.4683544303797467,2.6666666666666665,7.555555555555556,0.0
GAC1,0.0,2.162162162162162,3.194444444444444,0.0
PYK2,2.817391304347826,0.0,3.7304347826086954,3.4799999999999995
FMP40,0.0,0.0,2.522388059701492,0.0
GCR1,4.190476190476191,0.0,8.484848484848484,0.0
HAA1,0.0,3.611111111111111,0.0,0.0
GPH1,0.0,0.0,2.5945945945945943,0.0
GRE1,0.0,0.0,2.522388059701492,0.0
TPO3,0.0,3.5294117647058822,0.0,0.0
MUD1,0.0,0.0,2.7419354838709675,0.0
PGI1,2.3238095238095235,8.431818181818182,6.480392156862745,2.3225806451612905
YBR197C,0.0,2.954545454545454,3.789473684210526,0.0
GLK1,0.0,2.5806451612903225,4.090909090909091,0.0
PGK1,7.708333333333334,7.115384615384615,30.140845070422536,2.413793103448276
PDI1,0.0,2.5806451612903225,4.090909090909091,0.0
ADP1,7.708333333333334,7.115384615384615,30.140845070422536,2.413793103448276
SNQ2,0.0,0.0,2.769230769230769,0.0
TRS23,0.0,0.0,2.4923076923076923,0.0
VHS1,0.0,0.0,2.4923076923076923,0.0
KNH1,0.0,0.0,3.3870967741935485,0.0
TPI1,5.469135802469136,7.902439024390244,18.12857142857143,0.0
FCF1,0.0,3.6363636363636367,2.258064516129032,0.0
RPN3,0.0,0.0,2.65625,0.0
BMH1,0.0,6.3337765957446805,10.760869565217394,2.4
HSP12,0.0,2.0454545454545454,2.345679012345679,0.0
MDJ1,0.0,2.0454545454545454,2.345679012345679,0.0
HXK1,0.0,0.0,3.225806451612903,2.0833333333333335
ASK10,0.0,0.0,2.469135802469136,0.0
ENO1,4.133333333333334,5.405405405405405,14.414414414414415,0.0
TDH3,3.571428571428571,10.391666666666666,32.43589743589744,3.8095238095238093
PFK1,0.0,3.0277777777777777,10.54245709123758,2.121212121212121
ENO2,6.055045871559633,5.853658536585367,16.785714285714285,0.0
ICE2,0.0,0.0,2.6333333333333333,0.0
VHR1,0.0,2.5,4.242424242424242,0.0
GPP1,3.4588235294117644,5.277777777777778,12.629166666666666,4.166666666666667
UTP25,0.0,0.0,2.6333333333333333,0.0
RGI2,0.0,2.5,4.242424242424242,0.0
YIL055C,3.4588235294117644,5.277777777777778,12.629166666666666,4.166666666666667
