,Ana,Eth,Glu,Nit
CDC19,1,1,2,0
TDH1,1,0,1,0
RNR2,0,0,1,0
VPS53,0,0,1,0
RPC17,0,0,1,0
TDH2,1,0,2,0
MCR1,0,0,1,0
GPM1,1,1,1,0
NNR2,0,0,1,0
FBA1,1,1,1,0
YLR112W,0,0,1,0
HOG1,0,0,1,0
YLR283W,0,0,1,0
EXG1,0,0,1,0
PDC1,1,1,1,0
CCW12,0,0,1,0
YLR278C,0,0,1,0
RSO55,0,0,1,0
YMR206W,1,1,2,0
PFK2,1,1,2,0
PHM7,0,0,1,0
GPD2,1,0,1,0
ADH1,2,1,2,1
MAM3,1,0,1,0
GAC1,0,0,1,0
PYK2,1,0,1,0
FMP40,0,0,1,0
GCR1,1,0,1,0
HAA1,0,1,0,0
GPH1,0,0,1,0
GRE1,0,0,1,0
TPO3,0,1,0,0
MUD1,0,0,1,0
PGI1,1,1,1,0
YBR197C,0,0,1,0
GLK1,0,0,1,0
PGK1,1,1,1,0
PDI1,0,0,1,0
ADP1,1,1,1,0
SNQ2,0,0,1,0
TRS23,0,0,1,0
VHS1,0,0,1,0
KNH1,0,0,1,0
TPI1,1,1,1,0
FCF1,0,1,0,0
RPN3,0,0,1,0
BMH1,0,1,2,0
HSP12,0,0,1,0
MDJ1,0,0,1,0
HXK1,0,0,1,0
ASK10,0,0,1,0
ENO1,1,1,1,0
TDH3,1,1,2,0
PFK1,0,0,2,0
ENO2,1,1,1,0
ICE2,0,0,1,0
VHR1,0,0,1,0
GPP1,1,1,2,0
UTP25,0,0,1,0
RGI2,0,0,1,0
YIL055C,1,1,2,0
