,Ana,Eth,Glu,Nit
MRX12,0.0,2.5490196078431375,0.0,0.0
ILV3,0.0,11.492063492063492,10.877952755905511,0.0
ESS1,0.0,11.492063492063492,10.877952755905511,0.0
OAC1,4.531468531468531,37.62134330316149,17.246188617218,0.0
TFA1,0.0,3.1836734693877546,0.0,0.0
PCC1,0.0,4.310924369747899,0.0,0.0
ESL2,0.0,4.310924369747899,0.0,0.0
MAE1,0.0,3.1836734693877546,0.0,0.0
TPO1,0.0,3.0210526315789474,2.1297071129707112,0.0
ORM2,0.0,6.327102803738319,0.0,0.0
ATG33,4.077669902912621,13.606557377049182,9.961538461538462,0.0
CAR2,0.0,2.7473684210526317,3.112449799196787,0.0
ACS2,0.0,5.4,0.0,0.0
RNH203,0.0,5.4,0.0,0.0
DIC1,0.0,6.327102803738319,0.0,0.0
ILV5,4.077669902912621,13.606557377049182,9.961538461538462,0.0
ECM30,0.0,2.7473684210526317,3.112449799196787,0.0
DIF1,0.0,2.7473684210526317,3.112449799196787,0.0
YPT7,0.0,3.030612244897959,2.217021276595745,0.0
SPG4,4.884892086330936,21.524193548387096,19.31578947368421,3.8840579710144927
ILV2,4.884892086330936,21.524193548387096,19.31578947368421,3.8840579710144927
TDA1,3.0000000000000004,2.6915887850467293,5.426470588235294,0.0
MSN2,0.0,3.0252100840336134,2.735042735042735,0.0
CCS1,0.0,3.0252100840336134,2.735042735042735,0.0
TVP18,0.0,3.5,0.0,0.0
HAS1,3.0000000000000004,2.6915887850467293,5.426470588235294,0.0
MLS1,0.0,2.520408163265306,0.0,0.0
MET4,5.965217391304347,33.69260106788711,19.81645901639344,2.6617647058823533
LAT1,0.0,2.3473684210526318,0.0,0.0
ZWF1,0.0,4.136842105263158,4.315068493150685,0.0
DCP2,0.0,2.520408163265306,0.0,0.0
LEU4,5.965217391304347,33.69260106788711,19.81645901639344,2.6617647058823533
HER1,2.6346153846153846,5.750000000000001,6.727969348659003,0.0
YTM1,2.375,6.0606060606060606,4.285714285714286,0.0
DDR2,0.0,4.5504587155963305,3.867219917012448,0.0
RPB8,2.6346153846153846,5.750000000000001,6.727969348659003,0.0
ISU2,2.6346153846153846,5.750000000000001,6.727969348659003,0.0
FSF1,2.375,6.0606060606060606,4.285714285714286,0.0
GDH1,10.027272727272727,26.024,18.524904214559385,5.52808988764045
CDC60,2.685185185185185,6.259225650332729,5.339366515837104,2.444444444444444
RMI1,0.0,2.7083333333333335,0.0,0.0
CUP9,0.0,3.223404255319149,3.7601809954751126,0.0
BEM4,2.685185185185185,6.259225650332729,5.339366515837104,2.444444444444444
SKS1,0.0,2.7083333333333335,0.0,0.0
YBL029W,0.0,7.450819672131148,6.684426229508197,0.0
EDS1,0.0,2.095744680851064,0.0,0.0
YBL029C-A,0.0,7.450819672131148,6.684426229508197,0.0
BAP2,2.3529411764705883,9.702702702702704,10.626229508196722,0.0
SNA2,0.0,3.4380952380952383,2.0251046025104604,0.0
RBA50,0.0,3.4380952380952383,2.0251046025104604,0.0
YDR524C-B,0.0,3.4380952380952383,2.0251046025104604,0.0
MIT1,0.0,3.540322580645161,3.0424710424710426,0.0
VTC1,2.646153846153846,3.4528301886792456,5.415686274509803,0.0
ALD5,2.646153846153846,3.4528301886792456,5.415686274509803,0.0
IES5,0.0,2.8,2.8744939271255063,0.0
MET6,0.0,2.8,2.8744939271255063,0.0
GAT1,2.3000000000000003,8.076190476190476,4.407239819004525,0.0
HSP12,0.0,0.0,3.3291139240506333,0.0
FRS2,2.3000000000000003,8.076190476190476,4.407239819004525,0.0
MDJ1,0.0,0.0,3.3291139240506333,0.0
QCR6,0.0,3.0152671755725193,3.425339366515837,0.0
PHO4,0.0,3.0152671755725193,3.425339366515837,0.0
SCS3,0.0,7.96969696969697,2.439655172413793,0.0
MET13,0.0,11.252715837621498,7.309024541783163,0.0
SOH1,0.0,7.96969696969697,2.439655172413793,0.0
LEU1,4.883211678832118,11.262500000000001,8.309477756286267,2.0628571428571427
PMA1,0.0,3.3688524590163937,2.11787072243346,0.0
YGR067C,0.0,2.544642857142857,0.0,0.0
ECL1,0.0,3.666666666666667,0.0,0.0
BAT1,2.9194630872483223,6.8490603758496595,5.838709677419355,0.0
SET5,2.9194630872483223,6.8490603758496595,5.838709677419355,0.0
RHO3,0.0,2.8333333333333335,3.2102803738317762,0.0
VHR1,0.0,2.2792792792792795,0.0,0.0
PCL7,0.0,3.068181818181818,2.1074380165289255,0.0
RGI2,0.0,2.2792792792792795,0.0,0.0
MMF1,0.0,3.068181818181818,2.1074380165289255,0.0
