,Ana,Eth,Glu,Nit
FLC2,1,0,0,0
ACS1,1,0,0,0
CYC3,1,1,1,1
CDC6,1,1,1,1
RPL39,0,2,0,0
DAS1,1,1,1,1
ASF1,0,1,1,0
NET1,0,1,0,0
MHP1,0,1,1,0
RNR2,0,1,1,0
ADO1,0,1,1,0
YJR115W,0,1,1,0
ELO1,1,1,1,1
RPS22A,0,2,0,0
INO1,1,2,1,1
SNA3,1,2,1,1
NCA3,0,1,1,0
PRY1,1,0,0,1
PRY3,0,1,0,0
UBX6,0,1,0,1
YJL047C-A,0,1,0,1
VPS53,0,1,1,0
TES1,1,1,1,1
SOD1,0,1,1,0
RSM7,0,1,1,0
FAS1,1,1,1,1
NNK1,1,1,1,1
OAC1,1,1,0,0
HAP4,2,2,2,2
CWP2,1,2,2,1
SRX1,0,1,0,0
MDH1,0,1,0,0
MSN4,1,1,1,0
SFK1,1,1,1,1
MMO1,0,0,0,1
PHD1,0,0,0,1
PTR2,1,1,1,1
MNN4,2,1,2,2
FAT3,0,1,1,0
YKL063C,1,1,1,0
ASK1,1,1,1,1
FOX2,2,1,1,1
TPO1,2,2,2,2
ERG3,1,1,1,0
YLR112W,1,1,1,1
HOG1,1,1,1,1
RRN5,1,1,1,1
PUT1,1,1,1,1
IDP2,0,1,1,0
THI7,0,0,1,0
HAP1,1,1,1,0
MRPL15,0,1,1,0
NMA1,0,1,2,0
MID2,0,0,1,0
SFP1,1,1,1,1
VPS36,0,0,1,0
CAR2,1,1,0,0
UBI4,0,1,0,0
ENT4,0,1,0,0
KNS1,0,1,1,0
COX19,0,1,1,0
SPT8,1,1,1,0
CCW12,1,1,1,1
SLS1,1,1,1,1
YLR152C,1,1,1,1
ACS2,1,0,0,1
RNH203,1,0,0,1
NDL1,1,1,1,0
ACO1,1,0,0,0
ATG39,0,1,1,0
TMA10,0,1,2,0
FBP1,1,1,1,0
DUS3,1,1,1,1
PUN1,0,0,1,0
ECM30,1,0,0,0
DIF1,1,1,0,0
TSL1,0,1,1,0
UFO1,1,1,1,1
RPS1B,1,1,0,0
HUG1,0,1,0,0
SML1,0,1,0,0
CMP2,0,1,0,0
CAT2,1,1,1,1
YAP1,0,1,1,0
PEX9,0,1,0,1
ARG80,1,1,1,1
MCM1,1,1,1,1
NAT4,1,2,2,1
MOT3,1,2,2,1
GAT2,1,1,1,1
RPS16A,0,1,1,1
MGL2,1,1,0,1
GUA1,1,1,1,1
ERG8,1,0,0,0
FAA4,0,1,1,0
RSN1,1,1,1,0
DSK2,0,0,1,0
FCP1,0,0,1,0
DIA1,1,1,1,1
CUE4,0,1,1,0
RPM2,1,1,1,1
RPL6A,0,0,1,0
TEM1,1,1,0,0
NTE1,0,1,0,0
RRN11,1,1,1,1
ERG6,0,1,1,0
GIS4,0,1,0,0
PLB1,0,1,1,0
MSN2,0,1,1,0
GID8,1,1,1,1
RPL13B,0,1,1,1
NDE1,1,1,1,1
