,Ana,Eth,Glu,Nit
CYC3,2.5510204081632653,4.901960784313726,4.954128440366972,0.0
CDC6,0.0,4.195121951219512,3.788888888888889,2.4727272727272727
DAS1,2.5,4.363636363636363,7.108433734939759,0.0
NET1,0.0,0.0,2.4050632911392404,0.0
ELO1,0.0,4.195121951219512,3.788888888888889,2.4727272727272727
INO1,2.5,4.363636363636363,7.108433734939759,0.0
SNA3,2.5,4.363636363636363,7.108433734939759,0.0
PRY3,0.0,0.0,2.4050632911392404,0.0
NNK1,0.0,6.363636363636363,3.5802469135802473,2.291666666666667
HAP4,0.0,6.071428571428572,2.7777777777777777,0.0
SFK1,0.0,3.333333333333333,2.0833333333333335,0.0
PTR2,0.0,7.391304347826088,6.913580246913581,0.0
MNN4,0.0,6.134593993325918,2.410714285714286,0.0
PXA2,0.0,0.0,2.293577981651376,0.0
MCD4,0.0,0.0,2.345679012345679,0.0
ASK1,0.0,3.333333333333333,2.0833333333333335,0.0
FOX2,2.727272727272727,12.142857142857142,9.705882352941178,4.833333333333333
TPO1,0.0,3.0136986301369864,4.56140350877193,0.0
HSP104,0.0,2.7450980392156863,0.0,0.0
YLR112W,0.0,2.6666666666666665,2.126315789473684,0.0
HOG1,0.0,2.6666666666666665,2.126315789473684,0.0
RRN5,2.307692307692308,5.084745762711864,3.5294117647058822,3.7254901960784315
PUT1,2.307692307692308,5.084745762711864,3.5294117647058822,3.7254901960784315
HAP1,0.0,0.0,2.580246913580247,0.0
SFP1,2.4137931034482762,8.097560975609758,4.602150537634408,0.0
CCW12,0.0,2.6666666666666665,2.126315789473684,0.0
SLS1,2.307692307692308,5.084745762711864,3.5294117647058822,3.7254901960784315
YLR152C,0.0,4.214285714285714,4.158415841584159,0.0
DUS3,2.4137931034482762,8.097560975609758,4.602150537634408,0.0
CAT2,2.4742268041237114,4.523809523809524,6.25,2.6530612244897958
PEX9,0.0,3.4615384615384612,4.625,2.5
NAT4,0.0,2.888888888888889,2.0930232558139537,0.0
MOT3,0.0,2.888888888888889,2.0930232558139537,0.0
GAT2,0.0,5.0,2.742574257425743,0.0
MGL2,0.0,2.6666666666666665,2.710280373831776,2.978723404255319
GUA1,0.0,2.5454545454545454,4.77014517147065,0.0
DIA1,2.0689655172413794,4.468085106382978,3.625,3.7037037037037033
RRN11,2.4742268041237114,4.523809523809524,6.25,2.6530612244897958
MSN2,0.0,2.7450980392156863,3.4567901234567904,0.0
GID8,0.0,5.0,2.742574257425743,0.0
YMR209C,0.0,2.6666666666666665,2.710280373831776,2.978723404255319
SKY1,0.0,2.5454545454545454,4.77014517147065,0.0
SPS19,0.0,3.693877551020408,4.304878048780488,2.7659574468085104
YNL010W,5.0476190476190474,10.363636363636363,7.339449541284403,6.0
IDP3,5.0476190476190474,10.363636363636363,7.339449541284403,6.0
ZWF1,0.0,4.0476190476190474,3.173076923076923,0.0
PDR16,2.4302325581395348,6.355555555555556,5.629310344827586,2.1153846153846154
MRPL19,0.0,2.857142857142857,0.0,0.0
YNL144C,4.020618556701031,11.88679245283019,10.96774193548387,3.3846153846153846
CIT1,0.0,2.916666666666667,2.359550561797753,0.0
PSF3,0.0,3.2608695652173916,3.255813953488372,0.0
TRM13,0.0,9.39344262295082,19.03529411764706,0.0
PHM7,0.0,2.674418604651163,3.53448275862069,0.0
PEX15,0.0,2.0930232558139537,3.4567901234567904,0.0
PRE6,0.0,2.9454545454545453,0.0,0.0
YOL036W,0.0,2.9454545454545453,0.0,0.0
UTP23,2.5842696629213484,0.0,0.0,0.0
WHI5,0.0,5.813953488372094,4.464285714285714,4.0
LPX1,0.0,5.813953488372094,4.464285714285714,4.0
RAS1,3.4831460674157304,7.647058823529412,5.432098765432099,2.3076923076923075
RGS2,0.0,3.0232558139534884,2.8395061728395063,0.0
LAS17,0.0,3.1395348837209305,3.621052631578947,2.4035087719298245
MOD5,2.550561797752809,3.3559322033898304,7.223669467787115,2.7796610169491522
HSH49,0.0,2.8846153846153846,3.012048192771084,5.3061224489795915
PEX11,0.0,3.2608695652173916,3.255813953488372,0.0
MDH2,0.0,9.39344262295082,19.03529411764706,0.0
DDR2,0.0,0.0,2.5806451612903225,0.0
IZH2,2.3157894736842106,6.976744186046512,5.555555555555555,2.241379310344828
CRC1,3.4831460674157304,7.647058823529412,5.432098765432099,2.3076923076923075
DCI1,0.0,3.1395348837209305,3.621052631578947,2.4035087719298245
TPO4,2.550561797752809,3.3559322033898304,7.223669467787115,2.7796610169491522
PIP2,0.0,3.488372093023256,4.6,2.280701754385965
ISU1,0.0,2.5,2.4347826086956523,0.0
ROX1,0.0,4.404255319148936,6.296296296296296,0.0
SCD6,0.0,0.0,3.2048192771084336,3.3773584905660377
NCE102,0.0,3.094339622641509,2.657142857142857,0.0
QCR2,0.0,3.1914893617021276,0.0,0.0
YPR196W,0.0,3.333333333333333,2.0987654320987654,0.0
GIP3,0.0,2.5,2.4347826086956523,0.0
EEB1,8.208333333333334,15.857142857142856,11.830645161290322,14.280701754385966
SVL3,0.0,2.291666666666667,2.469135802469136,0.0
CMR3,0.0,4.285714285714286,2.2772277227722775,0.0
YPR063C,0.0,4.404255319148936,6.296296296296296,0.0
ANT1,0.0,0.0,3.2048192771084336,3.3773584905660377
YPR148C,0.0,3.094339622641509,2.657142857142857,0.0
RPC82,0.0,3.1914893617021276,0.0,0.0
KIP1,0.0,0.0,2.148148148148148,0.0
HSP26,0.0,3.3333333333333335,2.021276595744681,0.0
YBR137W,0.0,2.888888888888889,2.5974025974025974,0.0
IFA38,0.0,3.75,3.5185185185185186,0.0
PRX1,0.0,0.0,2.148148148148148,0.0
PMP1,0.0,4.285714285714286,2.9629629629629632,2.1818181818181817
UGA3,8.269230769230768,27.674418604651162,27.926829268292686,2.8915662650602405
SNQ2,0.0,2.302325581395349,2.3048780487804876,0.0
SNF11,2.4137931034482762,6.888888888888889,8.536585365853659,2.2448979591836733
ADR1,0.0,0.0,2.647058823529412,0.0
PEX5,0.0,6.538461538461538,6.41304347826087,2.9508196721311477
VHS1,3.218390804597701,14.651162790697676,12.298850574712645,3.4693877551020407
SUR2,0.0,5.116279069767442,4.2682926829268295,0.0
PDR15,2.7586206896551726,6.415094339622642,6.470588235294118,2.0689655172413794
IZH1,0.0,5.909090909090908,5.348837209302326,2.0408163265306123
SMT3,0.0,0.0,2.5,0.0
GLT1,8.269230769230768,27.674418604651162,27.926829268292686,2.8915662650602405
RRP42,3.9784946236559136,12.382608695652173,14.51219512195122,10.425531914893616
TMA17,3.9784946236559136,12.382608695652173,14.51219512195122,10.425531914893616
MDH3,0.0,8.13953488372093,7.586206896551725,3.787878787878788
TGL2,0.0,0.0,2.5301204819277108,0.0
UBC5,0.0,0.0,2.5301204819277108,0.0
IPT1,2.4137931034482762,6.888888888888889,8.536585365853659,2.2448979591836733
PRP28,0.0,6.538461538461538,6.41304347826087,2.9508196721311477
CTA1,0.0,5.6521739130434785,5.268817204301075,2.3636363636363638
PMP3,0.0,2.5396825396825395,0.0,0.0
PKH1,0.0,5.909090909090908,5.348837209302326,2.0408163265306123
GNP1,0.0,0.0,2.5,0.0
PCM1,0.0,4.666666666666667,4.470588235294118,0.0
FAA2,2.16,8.095238095238095,10.238095238095237,5.333333333333333
RPN3,0.0,2.7608695652173916,0.0,0.0
SRB4,0.0,2.7608695652173916,0.0,0.0
SPO73,0.0,2.727272727272727,3.2926829268292686,0.0
RPS26B,0.0,3.8596491228070176,3.4767441860465116,2.25
PRB1,0.0,4.666666666666667,4.470588235294118,0.0
SOM1,0.0,4.666666666666667,4.470588235294118,0.0
ICL1,0.0,2.8378378378378377,4.224137931034483,0.0
COM2,0.0,3.8596491228070176,3.4767441860465116,2.25
YER137C,0.0,0.0,2.6136363636363633,0.0
IRC7,5.208333333333334,9.523809523809524,9.25925925925926,6.538461538461538
HXK2,0.0,4.782608695652175,3.2051282051282053,0.0
POX1,0.0,4.7368421052631575,7.157894736842105,3.2203389830508473
TOS8,0.0,2.75,2.680412371134021,0.0
OLE1,0.0,6.829268292682928,3.928571428571429,0.0
FMP48,0.0,2.68,3.033333333333333,0.0
ERG25,0.0,4.217391304347826,3.08433734939759,0.0
MPC3,0.0,3.7254901960784315,2.2093023255813953,0.0
CHC1,0.0,4.7368421052631575,7.157894736842105,3.2203389830508473
SDS23,0.0,6.829268292682928,3.928571428571429,0.0
