,Ana,Eth,Glu,Nit
YAT1,2.202380952380952,3.0,3.277310924369748,0.0
SIP4,0.0,0.0,2.3211009174311927,0.0
YJL045W,0.0,2.0930232558139537,2.2752293577981653,0.0
RPL43B,2.142857142857143,4.708333333333333,5.878048780487806,0.0
SFC1,2.142857142857143,4.708333333333333,5.878048780487806,0.0
ATP2,0.0,0.0,2.068702290076336,0.0
IMA5,0.0,2.906976744186047,3.056074766355141,0.0
YJL107C,0.0,3.7441860465116283,0.0,0.0
NNK1,0.0,3.1538461538461533,4.00763358778626,0.0
HAP4,5.268518518518518,19.1183970856102,39.591028528528525,3.7848101265822782
CWP2,0.0,0.0,2.015267175572519,0.0
TFA1,6.8538461538461535,6.581757508342603,11.603053435114504,2.0135135135135136
PCK1,113.95375874125875,77.92103896103896,74.62707182320442,40.31193495934959
MNN4,0.0,2.983050847457627,0.0,0.0
MAE1,6.8538461538461535,6.581757508342603,11.603053435114504,2.0135135135135136
TPO1,0.0,0.0,3.0078125,0.0
ERG3,0.0,4.636363636363637,3.2681564245810057,0.0
YLR112W,0.0,2.6153846153846154,0.0,0.0
HOG1,0.0,2.6153846153846154,0.0,0.0
IDP2,0.0,4.630434782608696,2.381294964028777,0.0
YLR297W,0.0,2.533333333333333,0.0,0.0
MRPL15,0.0,4.673913043478262,2.617391304347826,0.0
SFP1,0.0,0.0,2.1327433628318584,0.0
PDC1,3.4952380952380957,3.3846153846153846,3.1851851851851856,0.0
SPT8,0.0,4.636363636363637,3.2681564245810057,0.0
CCW12,0.0,2.6153846153846154,0.0,0.0
YLR152C,0.0,0.0,2.471544715447154,0.0
ACS2,0.0,2.5818181818181816,0.0,0.0
RNH203,0.0,2.5818181818181816,0.0,0.0
ATG39,0.0,4.673913043478262,2.617391304347826,0.0
FBP1,8.333333333333332,47.51176470588236,51.645409317051104,2.2463768115942027
DUS3,0.0,0.0,2.1327433628318584,0.0
UFO1,6.5,0.0,3.576576576576577,0.0
NAT4,0.0,3.2173913043478266,2.4347826086956523,0.0
MOT3,0.0,3.2173913043478266,2.4347826086956523,0.0
GAT2,0.0,2.565217391304348,7.835454019664545,0.0
ICY1,2.7884615384615383,2.8636363636363638,2.7109375,0.0
HOR7,0.0,2.523076923076923,0.0,0.0
RPM2,6.5,0.0,3.576576576576577,0.0
RPL6A,0.0,0.0,2.1621621621621623,0.0
VPS71,0.0,0.0,2.1621621621621623,0.0
MSN2,0.0,3.508771929824561,3.273381294964029,0.0
GID8,0.0,2.565217391304348,7.835454019664545,0.0
CMC4,2.7884615384615383,2.8636363636363638,2.7109375,0.0
MEP2,0.0,0.0,0.0,2.394230769230769
MLS1,0.0,4.150943396226415,3.103448275862069,0.0
AQR1,124.54296979846742,11.395408163265309,18.755831000932957,8.369565217391305
