,Ana,Eth,Glu,Nit
YAT1,0,1,1,0
SIP4,0,0,1,0
YJL045W,0,0,1,0
RPL43B,0,1,1,0
SFC1,0,1,1,0
ATP2,0,0,1,0
IMA5,0,1,1,0
YJL107C,0,1,0,0
NNK1,0,1,1,0
HAP4,1,2,2,1
CWP2,0,0,1,0
TFA1,1,1,2,0
PCK1,3,3,3,3
MNN4,0,1,0,0
MAE1,1,1,2,0
TPO1,0,0,1,0
ERG3,0,1,1,0
YLR112W,0,1,0,0
HOG1,0,1,0,0
IDP2,0,1,1,0
YLR297W,0,1,0,0
MRPL15,0,1,1,0
SFP1,0,0,1,0
PDC1,1,1,1,0
SPT8,0,1,1,0
CCW12,0,1,0,0
YLR152C,0,0,1,0
ACS2,0,1,0,0
RNH203,0,1,0,0
ATG39,0,1,1,0
FBP1,3,3,3,0
DUS3,0,0,1,0
UFO1,1,0,1,0
NAT4,0,1,1,0
MOT3,0,1,1,0
GAT2,0,0,2,0
ICY1,1,1,1,0
HOR7,0,1,0,0
RPM2,1,0,1,0
RPL6A,0,0,1,0
VPS71,0,0,1,0
MSN2,0,1,1,0
GID8,0,0,2,0
CMC4,1,1,1,0
MEP2,0,0,0,1
MLS1,0,1,1,0
AQR1,3,2,2,2
NCE103,0,0,1,0
TIM23,0,0,1,0
RCF2,0,1,1,0
RHO5,0,1,1,0
YNL144C,0,0,1,0
DCP2,0,1,1,0
IDH1,0,0,1,0
ACC1,0,0,1,0
TRM13,0,2,1,0
MHF1,0,0,0,1
PHM7,0,0,1,0
PLB3,0,1,1,0
SFL1,0,0,1,0
PDR5,0,0,1,0
MDH2,0,2,1,0
DUF1,0,0,0,1
DDR2,0,1,0,0
HTZ1,0,1,1,0
RUP1,0,0,1,0
ATG40,0,0,1,0
PYK2,0,0,0,1
PUT4,0,1,0,0
YDC1,0,0,1,0
ALD6,1,1,0,0
RMI1,0,0,1,0
GLN1,0,0,1,0
SPO24,0,1,1,0
NCE102,0,0,1,0
AQY1,0,0,1,0
SUR1,0,0,2,0
SKS1,0,0,1,0
IRC15,0,1,1,0
KIP1,0,1,1,0
YBL029W,2,2,2,1
HSP26,0,1,0,0
SND3,1,1,1,1
COQ21,0,1,1,0
PRX1,0,1,1,0
YBL029C-A,2,2,2,1
QDR3,0,0,1,0
REG2,0,1,0,0
RFS1,0,1,0,0
TIP1,0,0,1,0
SPT7,0,0,1,0
VID24,1,1,1,1
ROT2,0,1,1,0
OM14,0,1,1,0
YCR006C,0,0,1,0
PMP1,0,1,0,0
SIT4,1,1,1,0
RSM10,0,0,1,0
HEM12,0,0,1,0
SNF11,0,0,1,0
GIS1,0,1,1,0
ADR1,1,2,2,0
BSC2,0,0,1,0
EFT2,0,0,1,0
PDR15,0,0,1,0
SNA2,0,2,2,0
RBA50,0,2,2,0
KNH1,0,0,1,0
STP4,1,1,1,0
RPN4,0,0,1,0
BAP3,0,0,1,0
IPT1,0,0,1,0
HXT6,0,1,0,0
ATO3,0,0,1,0
YDR524C-B,0,2,2,0
DLD3,1,0,0,0
NPR2,0,0,1,0
PCM1,1,2,2,0
IES6,1,1,1,0
UTR4,0,0,1,0
TIM9,0,1,1,0
GTT3,0,1,1,0
UBC8,0,1,0,0
RPS26B,0,0,1,0
SPI1,0,0,1,0
CAN1,0,0,1,0
PRB1,1,2,2,0
SOM1,1,2,2,0
GLY1,1,1,1,0
CYC7,0,0,1,0
PMP2,0,1,1,0
COM2,0,0,1,0
YER137C,1,0,1,1
PEA2,0,0,1,0
GAT1,0,1,1,0
HSP12,1,1,1,0
AQY3,0,0,1,0
FRS2,0,1,1,0
MDJ1,1,1,1,0
MIC19,0,0,1,0
SUT1,0,0,1,0
OLE1,1,1,1,0
GSC2,0,1,1,0
FMP48,1,1,1,0
SDS23,1,1,1,0
PMA1,1,1,1,0
YGR067C,0,1,0,0
LSC2,1,1,1,0
RIE1,0,1,1,0
RIM4,0,0,1,0
BCD1,1,0,0,0
FSH1,0,0,1,0
SMF2,0,0,1,0
RTC3,0,1,1,0
ERG11,0,1,0,0
MSC7,1,0,0,0
VMA10,1,0,0,0
HXT5,0,0,1,0
VHR1,1,1,1,0
BAR1,0,0,1,0
RGI2,1,1,1,0
