,Ana,Eth,Glu,Nit
CDC19,1,1,1,0
PEX2,0,1,1,0
MRS3,1,1,1,0
SET4,0,1,0,0
TAX4,0,1,1,0
IML2,0,2,0,0
IMA5,2,3,2,0
OPT1,0,1,1,0
DPI8,1,1,1,0
YJL107C,0,1,0,0
ALY2,0,1,1,0
RSF2,0,1,0,0
HAP4,0,1,1,0
MSN4,2,1,2,0
YKR041W,0,1,0,0
ECM4,1,1,1,0
PTR2,0,1,0,0
PCK1,1,1,1,0
BAS1,1,1,1,0
MNN4,0,1,0,0
YKL063C,1,1,1,0
YKR075C,2,2,2,1
UBP11,1,1,1,0
TPO1,0,1,0,0
GEP5,0,1,1,0
SUL2,0,1,1,0
AHP1,1,1,1,0
UCC1,1,1,1,0
AQY2,1,1,1,0
SSA2,1,1,1,0
YLR108C,1,1,1,0
YPS3,1,1,1,0
YLR122C,1,1,1,0
IFH1,1,1,1,0
UFO1,0,1,0,0
HXT2,3,3,3,1
GAT2,2,2,2,0
ICY1,1,2,1,0
HOR7,0,1,0,0
TDA1,1,2,1,0
RPM2,0,1,0,0
SOK2,1,1,1,0
ISF1,1,1,1,0
GID8,2,2,2,0
NDE1,1,2,0,0
CMC4,1,2,1,0
HAS1,1,2,1,0
YNL234W,1,1,1,0
RPS3,1,2,1,0
MLS1,0,1,0,0
SUN4,0,2,1,0
AQR1,1,2,1,0
BOP3,1,1,1,0
YNR014W,0,1,1,0
RCF2,0,1,0,0
ARE2,0,1,0,0
RHO5,2,2,2,0
DCP2,0,1,0,0
PHO91,0,1,1,0
GRE2,0,1,1,0
PSK2,1,1,1,0
RPL3,1,1,1,0
RGS2,0,1,0,0
PAC1,1,2,2,0
CIR2,0,1,1,0
PFK27,1,1,1,0
MED7,1,1,1,0
RRT8,0,0,1,0
CIN5,1,1,0,0
STD1,1,1,1,0
ETT1,1,1,1,0
YOR062C,1,1,1,0
GAC1,0,2,0,0
HRK1,1,2,2,0
TYE7,1,1,1,0
RMI1,2,2,2,0
GLN1,1,1,1,0
NCE102,0,1,0,0
PDR12,0,1,1,0
SKS1,2,2,2,0
YPR148C,0,1,0,0
TPO3,1,1,1,0
YBL029W,0,1,0,0
YRO2,1,2,1,0
SND3,2,2,2,0
YPC1,1,1,1,0
COS111,1,1,1,0
YBL029C-A,0,1,0,0
NTH2,0,1,0,0
QDR3,1,1,1,0
REG2,0,1,0,0
RFS1,0,1,0,0
TIP1,0,1,1,0
UBC4,0,1,0,0
VID24,2,2,2,0
YBR238C,1,1,1,0
ADY2,0,1,0,0
SIT4,1,1,1,0
GPD1,0,2,1,0
YDR222W,0,1,1,0
CTS2,0,1,0,0
STP4,1,1,1,0
YAP6,1,1,1,0
SWM1,1,1,1,0
MTH1,2,4,3,0
HXT7,2,2,2,0
HXT6,3,4,3,0
HXT3,4,4,4,0
DXO1,0,1,0,0
APT2,1,1,1,0
GTT3,0,1,1,0
PHM8,0,1,0,0
THO1,1,1,1,0
PMP2,0,1,1,0
MIG3,2,2,2,0
SMB1,1,1,1,0
ARB1,0,1,0,0
GPP2,1,1,1,0
YER158C,0,1,0,0
BUR6,0,1,0,0
AQY3,1,2,1,0
HXK1,2,2,2,0
HXK2,1,1,1,0
MIG2,3,3,3,0
ARI1,1,2,1,0
RIM8,0,1,0,0
FMP48,1,2,1,0
ASK10,0,1,1,0
MAL13,1,1,1,0
MAL12,0,1,0,0
TOS3,0,0,1,0
MIG1,1,2,2,0
PMA1,2,2,2,0
YGR035C,0,1,0,0
IMA1,1,1,1,0
MAL11,0,1,0,0
ROF1,0,1,0,0
HXT4,2,2,2,1
HXT1,2,2,2,1
SUC2,2,2,2,0
RHO3,0,1,0,0
VHR1,0,1,0,0
RPI1,0,2,0,0
RGI2,0,1,0,0
