,Ana,Eth,Glu,Nit
BDH1,2.6168224299065423,2.6368159203980097,4.452554744525548,0.0
FUN14,0.0,2.4018264840182653,2.1666666666666665,0.0
EFB1,2.03125,2.0179372197309418,3.3333333333333335,0.0
NUP60,0.0,2.9347826086956523,2.6724137931034484,0.0
YAT1,2.5981308411214954,3.092391304347826,3.646551724137931,2.1020408163265305
CLN3,0.0,0.0,2.6962025316455698,0.0
ERP2,0.0,2.4018264840182653,2.1666666666666665,0.0
SSA1,2.03125,2.0179372197309418,3.3333333333333335,0.0
TFC3,0.0,2.9347826086956523,2.6724137931034484,0.0
CDC6,0.0,0.0,2.269503546099291,0.0
MNN5,0.0,3.441860465116279,4.822695035460993,2.719298245614035
ERG20,0.0,2.6271186440677963,3.23943661971831,0.0
ASF1,0.0,2.125461254612546,2.5539215686274512,0.0
SIP4,2.9530201342281877,4.818840579710145,8.3125,3.582089552238806
IML2,0.0,0.0,2.765957446808511,0.0
NET1,0.0,2.153488372093023,2.8226950354609928,0.0
YJL045W,0.0,5.6109018204777446,9.078014184397162,3.06140350877193
MHP1,0.0,0.0,2.773049645390071,0.0
CYC1,0.0,2.372093023255814,0.0,0.0
RPL43B,0.0,4.683006535947713,3.6510791366906474,2.532051282051282
SFC1,0.0,27.431402547001422,23.794728158598403,5.299793217535153
ADO1,0.0,2.6325581395348836,4.678082191780822,2.167883211678832
BAT2,0.0,3.880733944954128,2.2582781456953644,0.0
IMA5,9.350427350427351,10.702325581395348,19.20567375886525,5.912280701754386
ELO1,0.0,0.0,2.269503546099291,0.0
SWE1,0.0,3.441860465116279,4.822695035460993,2.719298245614035
SET2,0.0,2.6271186440677963,3.23943661971831,0.0
INO1,0.0,0.0,2.0606060606060606,0.0
SNA3,0.0,0.0,2.0606060606060606,0.0
URA2,0.0,0.0,2.0394736842105265,0.0
MCO6,0.0,0.0,2.0567375886524824,0.0
NCA3,0.0,2.125461254612546,2.5539215686274512,0.0
YJL107C,0.0,2.590909090909091,4.8936170212765955,0.0
PRY3,0.0,2.153488372093023,2.8226950354609928,0.0
UTP18,0.0,0.0,0.0,2.4473684210526314
UBX6,0.0,0.0,2.978723404255319,0.0
YJL047C-A,0.0,0.0,2.978723404255319,0.0
VTC4,0.0,4.465116279069767,4.275862068965517,0.0
CTK2,0.0,0.0,2.4113475177304964,0.0
MDE1,4.017094017094017,3.2093023255813953,5.1063829787234045,5.614035087719298
BNA1,4.017094017094017,3.2093023255813953,5.1063829787234045,5.614035087719298
ANB1,0.0,2.372093023255814,0.0,0.0
SOD1,0.0,2.6325581395348836,4.678082191780822,2.167883211678832
JEN1,2.0454545454545454,2.5992779783393503,4.310344827586207,0.0
FAS1,0.0,0.0,2.4603174603174605,3.2
SNU114,0.0,2.407079646017699,2.342105263157895,0.0
NNK1,0.0,2.070796460176991,2.2039473684210527,0.0
OAC1,2.4964028776978417,2.4892703862660945,4.651315789473685,0.0
HAP4,5.373831775700935,4.922118380062305,5.59375,3.699421965317919
CWP2,2.1232876712328768,2.3529411764705883,2.555066079295154,0.0
SRX1,0.0,0.0,2.0789473684210527,0.0
MDH1,0.0,0.0,2.0789473684210527,0.0
YKL069W,0.0,2.4890829694323147,3.2335329341317367,2.578125
MNR2,2.074074074074074,2.787610619469026,3.333333333333333,0.0
MSN4,3.452380952380952,3.879598662207358,6.0476190476190474,2.142857142857143
MMO1,5.098039215686275,4.219269102990033,7.125,4.759358288770054
RGT1,0.0,2.754237288135593,3.2894736842105265,2.0168067226890756
TFA1,0.0,0.0,2.142857142857143,0.0
CAP1,2.962962962962963,5.707964601769911,7.834394904458599,2.671232876712329
YKR041W,2.096774193548387,6.813375350140056,8.421052631578949,0.0
UTH1,2.096774193548387,0.0,0.0,0.0
MET1,0.0,2.433628318584071,4.144736842105264,3.865546218487395
PTR2,3.225806451612903,3.2743362831858405,4.605263157894737,2.436974789915966
