,Ana,Eth,Glu,Nit
BDH1,1,1,1,0
FUN14,0,1,1,0
EFB1,1,1,1,0
NUP60,0,1,1,0
YAT1,1,1,1,1
CLN3,0,0,1,0
ERP2,0,1,1,0
SSA1,1,1,1,0
TFC3,0,1,1,0
CDC6,0,0,1,0
MNN5,0,1,1,1
ERG20,0,1,1,0
ASF1,0,1,1,0
SIP4,1,1,1,1
IML2,0,0,1,0
NET1,0,1,1,0
YJL045W,0,2,2,1
MHP1,0,0,1,0
CYC1,0,1,0,0
RPL43B,0,1,1,1
SFC1,0,3,3,2
ADO1,0,1,1,1
BAT2,0,1,1,0
IMA5,1,1,1,1
ELO1,0,0,1,0
SWE1,0,1,1,1
SET2,0,1,1,0
INO1,0,0,1,0
SNA3,0,0,1,0
URA2,0,0,1,0
MCO6,0,0,1,0
NCA3,0,1,1,0
YJL107C,0,1,1,0
PRY3,0,1,1,0
UTP18,0,0,0,1
UBX6,0,0,1,0
YJL047C-A,0,0,1,0
VTC4,0,1,1,0
CTK2,0,0,1,0
MDE1,1,1,1,2
BNA1,1,1,1,2
ANB1,0,1,0,0
SOD1,0,1,1,1
JEN1,1,1,1,0
FAS1,0,0,1,1
SNU114,0,1,1,0
NNK1,0,1,1,0
OAC1,1,1,1,0
HAP4,1,1,1,1
CWP2,1,1,1,0
SRX1,0,0,1,0
MDH1,0,0,1,0
YKL069W,0,1,1,1
MNR2,1,1,1,0
MSN4,1,1,1,1
MMO1,1,1,1,1
RGT1,0,1,1,1
TFA1,0,0,1,0
CAP1,1,1,1,1
YKR041W,1,2,2,0
UTH1,1,0,0,0
MET1,0,1,1,1
PTR2,1,1,1,1
PCK1,0,1,1,0
MNN4,1,2,2,0
PXA2,0,1,1,0
FAT3,0,1,1,0
TPO5,0,1,1,0
YET1,1,1,1,0
YKL063C,1,1,1,1
IXR1,1,1,1,1
MAE1,0,0,1,0
LAC1,1,1,1,1
MET14,1,1,1,1
FOX2,1,1,1,1
CAF4,0,0,0,1
SPC34,0,0,0,1
BET3,0,1,1,1
YKR075C,0,0,1,0
FRA1,0,0,1,0
TPO1,2,2,2,1
YEH1,0,1,1,0
ERG3,0,0,2,0
RPL10,0,1,1,0
GEP5,0,1,2,0
SUL2,0,1,1,0
MIM2,1,1,1,0
ERG27,1,1,1,0
YLR112W,1,1,1,1
HOG1,1,1,1,1
CFT2,0,0,1,0
STM1,0,1,1,0
IDP2,1,2,2,2
HAP1,0,0,2,0
YLR297W,0,1,1,0
ECM38,1,1,1,1
EXG1,1,1,1,0
CDA2,0,1,1,0
MID2,1,1,2,0
NUP2,0,0,1,0
STP3,1,1,1,1
CSR1,0,0,1,0
SFP1,3,3,3,1
YLR407W,2,2,2,2
CTR3,0,1,1,0
INA1,1,0,1,0
CRN1,0,0,1,0
MRPL4,0,0,0,1
AQY2,0,1,1,0
SDH2,0,1,1,1
GPI13,0,0,1,0
KNS1,1,1,1,1
COX19,1,1,1,1
PUF3,0,1,1,0
IZH3,0,1,1,0
YLR042C,0,1,1,0
TRX1,0,1,1,0
SPT8,0,0,2,0
RFU1,0,1,1,0
BUD20,0,1,1,0
ICT1,1,1,1,0
AVL9,0,0,1,0
YPS1,0,1,1,0
YLR149C,0,1,1,0
YLR152C,2,2,2,2
ACS2,1,1,1,0
RNH203,1,1,1,0
NDL1,0,0,1,0
YHC1,1,1,1,1
ACO1,1,1,1,1
YLR307C-A,0,1,1,0
RPS25B,0,0,1,0
TAL1,2,2,2,2
VID22,1,1,1,1
FBP1,1,1,1,1
SEC61,0,0,1,0
DUS3,3,3,3,1
RPL31B,2,2,2,2
ECM30,0,0,1,0
DIF1,0,0,1,0
LSM3,0,0,0,1
ATR1,1,0,1,1
UFO1,1,1,1,0
TDA9,0,1,1,0
HUG1,1,1,2,0
SML1,1,1,2,0
CMP2,0,0,1,0
CAT2,1,1,1,1
YAP1,1,1,1,1
ADI1,0,1,1,1
ANY1,0,1,1,1
HXT2,1,1,1,0
HOF1,1,1,1,0
YET2,1,1,1,0
FET3,0,0,1,0
NAT4,1,1,1,1
MOT3,1,1,1,1
RCO1,0,0,0,1
YMR090W,0,0,1,0
SNZ1,0,0,1,0
SPG4,0,1,1,0
NCW1,0,1,1,1
PKR1,0,0,1,0
LDO16,0,1,1,0
SWP1,0,1,1,0
DDR48,0,0,1,0
ICY1,0,0,1,0
CLN1,1,1,1,1
YMR206W,0,0,1,0
ERG8,0,0,1,0
HOR7,0,1,1,0
RSN1,1,1,1,0
GPI12,1,2,2,1
TDA1,1,1,2,1
UBP15,0,0,1,0
PRE5,1,1,1,1
YMR315W,1,1,1,1
RPM2,1,1,1,0
ATP18,0,1,1,0
HMG1,1,1,1,1
NTE1,1,1,2,0
RRN11,1,1,1,1
ERG6,1,1,1,1
PLB2,0,1,1,0
PLB1,0,1,1,1
ERG5,1,1,1,0
SOK2,1,1,1,0
EIS1,1,1,1,0
MSN2,0,1,1,0
SUB1,1,1,1,0
BUB2,0,1,1,0
AAC1,0,0,1,0
IRC21,0,0,0,1
SDD2,0,0,0,1
YTA12,0,0,1,0
RPL15B,0,1,1,1
NDE1,2,2,2,1
YMR181C,1,1,1,1
RGM1,2,2,2,2
CMC4,0,0,1,0
PFK2,0,0,1,0
YMR265C,1,1,1,0
SCS7,1,1,1,1
CAT8,1,2,2,1
HAS1,1,1,2,1
ADH2,0,0,1,0
SCW10,1,1,1,0
ADH6,1,2,2,1
POP3,1,1,1,1
TOF1,1,1,2,1
MGS1,1,1,1,0
SPS19,0,0,1,0
YNL190W,0,1,1,0
CUZ1,0,0,1,0
NCS2,1,1,1,1
SUN4,0,1,1,0
HHF2,1,1,1,1
TIM23,0,0,1,0
RCF2,1,1,1,1
ARE2,1,1,1,1
ALG12,0,1,1,0
MRPL10,0,0,1,1
WSC2,1,1,1,1
GOR1,1,1,2,1
NRD1,0,0,0,1
ZWF1,1,1,2,1
PDR16,0,0,2,1
ALG9,1,1,1,0
RHO5,0,1,1,0
PSD1,0,1,0,0
FMP41,0,1,0,0
YNL144C,1,1,1,0
FPR1,1,1,1,1
TOM70,1,1,1,1
EOS1,0,0,1,0
TPM1,0,0,1,0
POR1,2,2,1,1
HHT2,1,1,1,1
ACC1,0,0,1,0
YNR029C,0,1,1,0
RRP40,1,1,1,0
TRM13,0,1,1,0
SHR5,1,1,1,0
ZEO1,1,1,1,0
PHM7,1,1,1,1
ATG19,0,0,1,0
GPD2,0,1,1,1
TAT2,1,1,1,1
PLB3,0,1,1,0
RCL1,0,1,1,1
MSA1,0,0,1,0
RTS2,0,1,1,0
BUD21,0,1,1,0
YVC1,1,1,1,1
ECM3,1,1,1,0
RPS7A,2,1,2,2
KTR1,1,1,1,0
RGS2,1,1,1,0
GCY1,3,3,3,3
BAG7,0,0,1,0
DDP1,0,1,1,0
LAS17,0,1,0,1
SER1,1,1,1,1
PEX27,0,0,1,0
WTM2,0,1,1,0
WTM1,1,1,1,1
RBL2,0,0,1,1
PNT1,0,0,1,1
MOD5,1,1,1,1
CPA1,0,0,1,0
SFG1,2,2,2,1
FAA1,1,1,1,1
HSH49,1,1,1,1
HAP5,0,0,0,1
ALD4,1,1,1,1
FIT2,1,0,0,0
RIB4,1,1,1,0
MDH2,0,1,1,0
SMF1,0,1,1,0
RPS19A,1,1,1,1
MDY2,1,1,1,0
MAM3,0,1,1,1
DIS3,1,1,1,1
HTZ1,0,1,1,0
TOP1,0,0,0,1
IZH2,0,1,2,1
CIN5,0,0,1,0
STD1,0,0,1,0
SKI7,0,1,1,0
TCB1,1,1,1,1
RKI1,2,1,2,2
NUP1,1,1,1,0
RIO1,3,3,3,3
YOR131C,0,1,0,0
ELG1,0,1,1,1
PNO1,0,1,1,1
PNS1,1,1,1,1
YRR1,0,1,1,0
MPC54,0,0,1,1
GAC1,2,1,2,0
SYC1,0,1,1,0
DCI1,0,1,0,1
RPS30B,1,1,1,1
MCP1,0,1,1,0
TPO4,1,1,1,1
SPS4,1,1,1,0
COT1,2,2,2,2
YOR342C,3,3,3,1
TYE7,1,1,1,0
PUT4,0,2,2,1
MSC6,1,1,1,1
SNX3,0,0,0,1
RPS12,1,1,1,1
DIP5,1,0,0,0
USV1,0,1,1,0
FMP40,0,1,1,0
SAR1,0,0,1,0
DAP1,1,1,2,1
ATG5,1,1,1,1
PXA1,1,1,1,1
ISU1,1,1,1,1
CAR1,0,2,2,0
YPL108W,0,1,2,1
DPC25,0,1,1,1
RPL21B,1,1,1,1
RGL1,1,1,1,0
ALD6,2,3,3,3
LEE1,1,1,2,0
RMI1,1,2,2,1
ULA1,0,1,1,0
YOP1,0,1,1,0
NTO1,0,0,0,1
GLN1,1,1,1,1
SPO24,1,1,1,0
FCY1,0,1,0,0
ROX1,1,1,1,0
TEF1,1,1,1,0
RGC1,1,1,1,0
AXL1,0,1,1,1
NCE102,1,1,1,1
GPH1,0,0,1,0
DPB2,0,0,0,1
AOS1,1,1,1,1
GAL4,0,0,0,1
GRE1,0,1,1,0
UIP4,1,1,1,1
OYE3,1,1,2,1
PPT2,1,1,1,1
UME1,0,0,1,0
GIP3,1,1,1,1
PEX25,1,1,1,1
MCO76,0,0,1,0
YPL068C,1,1,1,0
HTC1,1,1,1,0
SUR1,1,0,1,0
LGE1,1,1,2,0
SKS1,1,2,2,1
IRC15,1,1,1,1
LSP1,0,1,1,0
CMR3,1,1,1,1
YPR015C,1,1,1,1
JID1,0,1,0,0
YPR063C,1,1,1,0
TKL1,1,2,2,2
YPR148C,1,1,1,1
YPR174C,0,0,0,1
HDA3,1,1,1,1
KIP1,0,0,1,0
ECM13,1,1,2,1
YBL029W,1,1,1,0
SCT1,0,0,1,0
HTB2,0,1,1,0
HHT1,1,1,1,0
CHS2,0,0,1,0
MNC1,0,0,1,0
HSP26,0,1,1,1
PBY1,0,1,1,0
YBR096W,0,1,1,1
SND3,1,1,1,0
YBR137W,1,1,1,1
ATG42,0,0,1,0
ARA1,1,1,1,1
APD1,0,1,1,0
SPP381,1,1,1,1
RIB7,1,1,1,1
AMN1,1,1,1,1
IFA38,1,1,1,1
COS111,1,1,1,0
ERV15,1,1,1,1
MAL33,1,1,1,0
ECM21,0,1,1,0
PRX1,0,0,1,0
COR1,1,1,2,1
YBL029C-A,1,1,1,0
HTA2,0,1,1,0
NTH2,0,1,1,0
HHF1,1,1,1,0
SCO1,0,0,1,0
NRG2,0,0,1,0
TIP1,0,1,1,0
RXT2,0,1,1,1
VID24,1,1,1,0
YBR138C,0,0,1,0
SUP45,1,1,1,1
TBS1,0,1,1,0
ICS2,0,1,1,0
FZO1,1,1,1,1
PGI1,0,0,0,1
CTP1,0,0,1,0
SAT4,1,1,1,1
RBK1,1,1,1,1
YCR061W,1,1,1,1
KIN82,0,0,1,0
YCP4,0,0,1,1
ADY2,0,1,1,0
PMP1,0,1,1,0
FEN2,0,0,0,1
RIM1,0,0,0,1
RRP43,1,1,1,1
RTN2,0,0,1,0
SEC31,0,0,1,0
LYS20,0,0,1,0
RGT2,1,1,1,1
LYS21,0,0,1,0
YDL124W,0,1,1,0
SIT4,1,1,1,0
RCR2,0,0,1,0
RAD57,0,0,1,0
SNQ2,1,1,1,1
MRH1,0,1,1,0
RSM10,1,1,1,0
PST1,1,1,1,1
YDR061W,1,1,1,1
SNF11,2,2,2,2
UBC13,0,1,1,0
GIS1,0,1,2,0
ARO1,0,0,1,0
RPA14,1,1,1,1
HOM2,1,1,1,1
MSS4,1,1,1,0
UPC2,1,0,1,0
ADR1,1,1,1,1
YDR222W,0,0,1,0
HEM1,2,2,2,2
LYS4,0,0,1,0
PEX5,0,1,1,1
VHS1,1,1,1,1
YDR262W,1,1,1,1
MRP1,1,1,1,1
EFT2,1,2,2,1
PDR15,1,1,1,0
IZH1,0,0,1,0
SMT3,1,1,1,0
STL1,0,1,1,0
SOR2,0,1,1,1
YPD1,1,1,1,1
FMP45,0,1,1,1
PRR2,1,1,1,1
NOP6,1,1,1,1
HEM3,0,0,1,0
GGC1,1,1,1,1
ASF2,0,0,1,0
