,Ana,Eth,Glu,Nit
BDH1,2.2236842105263155,0.0,0.0,0.0
YAT1,5.514285714285714,0.0,0.0,0.0
SWH1,2.4242424242424243,0.0,0.0,0.0
RPL39,2.7272727272727275,0.0,0.0,0.0
MRS3,2.5,2.6101694915254234,0.0,0.0
SET4,9.354838709677418,2.533333333333333,3.7634408602150535,0.0
SIP4,4.7384615384615385,0.0,2.197530864197531,0.0
ARG3,2.7027027027027026,0.0,2.0253164556962022,0.0
YJL045W,3.1538461538461537,0.0,0.0,0.0
RNR2,3.142857142857143,0.0,2.0930232558139537,0.0
TAH11,2.6153846153846154,0.0,0.0,0.0
ATP2,0.0,0.0,2.5,0.0
IMA5,5.046153846153846,0.0,0.0,0.0
RPS22A,2.7272727272727275,0.0,0.0,0.0
INO1,2.430769230769231,0.0,0.0,0.0
SNA3,2.430769230769231,0.0,0.0,0.0
DPI8,2.5,2.6101694915254234,0.0,0.0
YJL107C,6.182210031347963,0.0,2.6226415094339623,0.0
VPS53,3.142857142857143,0.0,2.0930232558139537,0.0
MDE1,2.5999999999999996,0.0,0.0,0.0
BNA1,2.5999999999999996,0.0,0.0,0.0
SSC1,2.6153846153846154,0.0,0.0,0.0
RSF2,3.5076923076923077,0.0,0.0,0.0
DAN1,2.814285714285714,0.0,0.0,0.0
DAN4,2.5384615384615383,0.0,0.0,0.0
JEN1,2.8666666666666667,0.0,0.0,0.0
URA1,2.830985915492958,0.0,2.478723404255319,0.0
AVT3,2.380281690140845,0.0,0.0,0.0
OAC1,2.732394366197183,0.0,0.0,0.0
HAP4,15.883061224489797,2.6197183098591554,5.764705882352941,2.0972222222222223
CWP2,6.300000000000001,0.0,2.696629213483146,0.0
CWP1,4.0625,2.2222222222222223,3.4090909090909087,0.0
SRX1,2.586206896551724,0.0,0.0,0.0
MDH1,2.586206896551724,0.0,0.0,0.0
MMO1,15.175027348023127,0.0,5.8161220043572985,0.0
PHD1,8.175027348023129,0.0,2.2235294117647055,0.0
YKR041W,12.032524391204603,3.0253164556962022,2.831683168316832,0.0
UTH1,5.0843373493975905,3.0253164556962022,2.831683168316832,0.0
AIM29,6.549295774647888,2.3968253968253967,2.602409638554217,0.0
PTR2,15.492957746478874,6.603174603174604,8.246913580246913,3.2214285714285715
PCK1,8.309859154929578,3.015873015873016,3.3333333333333335,0.0
MNN4,12.335985601278155,3.6507936507936507,4.153846153846153,0.0
PXA2,2.75,0.0,0.0,0.0
SDH1,2.380281690140845,0.0,0.0,0.0
FOX2,3.6986301369863015,0.0,0.0,0.0
SIS2,6.549295774647888,2.3968253968253967,2.602409638554217,0.0
YKR075C,4.591549295774648,0.0,2.3703703703703702,0.0
TPO1,11.384615384615385,4.835820895522388,6.420908110228498,0.0
ISA1,5.138888888888888,2.058823529411765,0.0,0.0
ERG3,3.7173913043478266,0.0,2.1794871794871797,0.0
AHP1,5.929292929292929,0.0,2.610526315789474,0.0
YLR112W,9.732075471698113,0.0,2.323232323232323,0.0
HOG1,9.732075471698113,0.0,2.323232323232323,0.0
RRN5,3.0,2.203125,0.0,0.0
PUT1,3.0,2.203125,0.0,0.0
THI7,4.461538461538462,0.0,0.0,0.0
HAP1,2.8987341772151898,0.0,0.0,0.0
EXG1,3.3037974683544302,0.0,0.0,0.0
MRPL15,6.153846153846154,0.0,2.2222222222222223,0.0
NMA1,2.7142857142857144,0.0,0.0,0.0
MID2,3.8615384615384616,0.0,0.0,0.0
FKS1,7.356164383561644,0.0,3.628205128205128,0.0
RPL26A,2.4050632911392404,0.0,0.0,0.0
SFP1,2.7384615384615385,0.0,0.0,0.0
INA1,3.5294117647058822,0.0,0.0,0.0
AQY2,5.046153846153846,2.4098360655737707,2.025641025641026,0.0
IZH3,5.337752525252525,0.0,0.0,0.0
SPT8,3.7173913043478266,0.0,2.1794871794871797,0.0
YLR108C,5.929292929292929,0.0,2.610526315789474,0.0
CCW12,7.632075471698114,0.0,2.323232323232323,0.0
SLS1,3.0,2.203125,0.0,0.0
ACS2,2.8703703703703702,0.0,0.0,0.0
RNH203,2.8703703703703702,0.0,0.0,0.0
NDL1,2.8987341772151898,0.0,0.0,0.0
ACO1,5.461538461538462,2.1515151515151514,3.1979166666666665,0.0
ATG39,6.153846153846154,0.0,2.2222222222222223,0.0
FBP1,8.076923076923077,0.0,2.829268292682927,0.0
DUS3,2.7384615384615385,0.0,0.0,0.0
UFO1,5.870726495726496,0.0,2.083333333333333,0.0
YML082W,6.805555555555555,0.0,0.0,0.0
CAT2,2.157142857142857,0.0,0.0,0.0
YAP1,6.314285714285714,0.0,0.0,0.0
HXT2,4.912621359223301,3.223684210526316,0.0,0.0
PEX9,3.070588235294118,0.0,0.0,0.0
FET3,3.3857142857142857,0.0,2.432098765432099,0.0
NAT4,12.902439024390244,0.0,3.7075471698113205,0.0
MOT3,12.902439024390244,0.0,3.7075471698113205,0.0
SPG4,3.142857142857143,0.0,2.6436781609195403,0.0
ILV2,0.0,0.0,2.6436781609195403,0.0
PKR1,2.8552631578947367,0.0,2.023529411764706,0.0
GAT2,14.193548387096772,2.287671232876712,7.41687925170068,0.0
DDR48,3.314285714285714,0.0,0.0,0.0
ERG2,3.7142857142857144,2.380952380952381,2.7160493827160495,0.0
TOM40,3.7142857142857144,2.380952380952381,2.7160493827160495,0.0
YMR244W,4.3999999999999995,0.0,0.0,0.0
HOR7,6.816091954022989,0.0,2.788888888888889,0.0
GPI12,2.64,0.0,2.0549450549450547,0.0
TDA1,4.128571428571428,0.0,0.0,0.0
RPM2,5.870726495726496,0.0,2.083333333333333,0.0
YML083C,6.805555555555555,0.0,0.0,0.0
RRN11,2.157142857142857,0.0,0.0,0.0
MRPL39,2.5714285714285716,0.0,0.0,0.0
ERG6,6.314285714285714,0.0,0.0,0.0
ERG5,2.986842105263158,0.0,0.0,0.0
SOK2,11.0,2.142857142857143,3.1728395061728394,0.0
MSN2,13.58974358974359,3.253968253968254,4.439024390243903,0.0
CCS1,2.358974358974359,0.0,0.0,0.0
AAC1,3.3857142857142857,0.0,2.432098765432099,0.0
ISF1,2.4352941176470586,0.0,0.0,0.0
GID8,14.193548387096772,2.287671232876712,7.41687925170068,0.0
NDE1,6.857142857142856,0.0,2.4719101123595504,0.0
RGM1,2.5,0.0,0.0,0.0
ZRC1,4.3999999999999995,0.0,0.0,0.0
HAS1,4.128571428571428,0.0,0.0,0.0
BSC4,2.857142857142857,0.0,0.0,0.0
LYP1,2.857142857142857,0.0,0.0,0.0
YNL234W,2.532258064516129,0.0,0.0,0.0
RPS3,4.215189873417721,0.0,0.0,0.0
YGP1,3.1176470588235294,0.0,0.0,0.0
MLS1,2.378787878787879,3.0508474576271185,2.707317073170732,0.0
MSK1,2.7903225806451615,0.0,0.0,0.0
RPL9B,2.2758620689655173,0.0,0.0,0.0
SUN4,2.2758620689655173,0.0,0.0,0.0
AQR1,3.563218390804598,2.2033898305084745,2.8915662650602405,0.0
YNR014W,5.5,0.0,3.1855670103092786,0.0
ALP1,2.857142857142857,0.0,0.0,0.0
PDR16,4.571428571428571,0.0,2.125,0.0
RHO5,7.727941176470588,2.025,2.765765765765766,0.0
YNL144C,3.611111111111111,0.0,2.261904761904762,0.0
DCP2,2.378787878787879,3.0508474576271185,2.707317073170732,0.0
CYB5,2.5,0.0,0.0,0.0
MLF3,2.7903225806451615,0.0,0.0,0.0
ATO2,2.307692307692308,0.0,0.0,0.0
PHO91,5.5,0.0,3.1855670103092786,0.0
TRM13,3.098591549295775,0.0,2.106382978723404,0.0
HRP1,4.225352112676057,2.6315789473684212,2.2093023255813953,0.0
ZEO1,0.0,2.794117647058824,0.0,0.0
PHM7,14.99537695590327,3.5806451612903225,5.150305250305251,0.0
YOL019W,3.1549295774647885,0.0,0.0,0.0
RPL3,4.247058823529412,0.0,0.0,0.0
TMA46,2.411111111111111,0.0,0.0,0.0
ECM3,2.411111111111111,0.0,0.0,0.0
RGS2,32.394366197183096,4.2898550724637685,7.54441763544637,0.0
IDH2,2.9577464788732395,0.0,2.469135802469136,0.0
PDR5,5.0,2.0294117647058827,2.602272727272727,0.0
STE4,2.5774647887323945,0.0,0.0,0.0
WTM1,0.0,0.0,2.814814814814815,0.0
CPA1,2.533333333333333,0.0,0.0,0.0
SFG1,4.530864197530865,0.0,2.217391304347826,0.0
FAA1,3.8705882352941177,0.0,0.0,0.0
HSH49,3.322222222222222,0.0,3.818181818181818,0.0
MDH2,3.098591549295775,0.0,2.106382978723404,0.0
TRM11,4.225352112676057,2.6315789473684212,2.2093023255813953,0.0
RPS19A,2.505747126436782,0.0,0.0,0.0
INO4,0.0,2.794117647058824,0.0,0.0
DDR2,2.2093023255813953,0.0,0.0,0.0
TIR2,2.1071428571428568,0.0,0.0,0.0
CIN5,14.44776119402985,5.967741935483871,7.604938271604939,0.0
HMS1,9.604395604395606,4.47887323943662,5.740740740740741,0.0
YOR062C,4.247058823529412,0.0,0.0,0.0
NRT1,2.2535211267605635,0.0,0.0,0.0
ATG40,5.0,2.0294117647058827,2.602272727272727,0.0
PNS1,5.211267605633803,0.0,0.0,0.0
GAC1,12.278809797797138,2.2916666666666665,4.035714285714286,0.0
SYC1,2.2658227848101262,0.0,0.0,0.0
MGM1,2.5774647887323945,0.0,0.0,0.0
SPS4,4.530864197530865,0.0,2.217391304347826,0.0
PUT4,5.590499248622475,0.0,3.164705882352941,0.0
GDH1,5.0,0.0,3.8271604938271606,0.0
USV1,6.542857142857143,0.0,4.3125,0.0
CBP3,2.579710144927536,0.0,0.0,0.0
ISU1,2.802469135802469,0.0,0.0,0.0
CAR1,2.27,0.0,0.0,0.0
YPL088W,2.753623188405797,0.0,0.0,0.0
ALD6,5.188888888888889,0.0,2.2884615384615383,0.0
RMI1,6.891891891891891,2.032258064516129,0.0,0.0
SUT2,5.257835497835497,0.0,0.0,0.0
SPO24,2.4,0.0,0.0,0.0
ROX1,18.405797101449274,2.5161290322580645,4.702620967741936,0.0
NCE102,6.946808510638298,2.242857142857143,2.056603773584906,0.0
AQY1,28.220056199508257,6.080645161290323,10.1125,0.0
CUP9,7.857142857142857,3.3802816901408455,3.548387096774193,0.0
PRM4,2.753623188405797,0.0,0.0,0.0
GIP3,2.802469135802469,0.0,0.0,0.0
RLM1,2.753623188405797,0.0,0.0,0.0
PDR12,5.478260869565217,0.0,4.787549407114625,0.0
SKS1,6.891891891891891,2.032258064516129,0.0,0.0
IRC15,2.898550724637681,0.0,0.0,0.0
CMR3,3.2349397590361444,0.0,0.0,0.0
YPR063C,18.405797101449274,2.5161290322580645,4.702620967741936,0.0
YPR148C,6.946808510638298,2.242857142857143,2.056603773584906,0.0
TPO3,3.4782608695652173,0.0,2.2195121951219514,0.0
ATP1,2.5588235294117645,0.0,0.0,0.0
KIP1,4.53125,0.0,0.0,0.0
TOD6,3.8906249999999996,0.0,0.0,0.0
ECM13,10.415417915417915,2.5064935064935066,3.6987951807228914,2.4155844155844157
PRE7,3.4687499999999996,2.1142857142857143,2.3855421686746987,0.0
YBL029W,15.601963063412114,4.415525114155251,6.8360064153969535,0.0
TEC1,4.0506329113924044,0.0,0.0,0.0
PBY1,3.4375,0.0,0.0,0.0
RAD16,3.7857142857142856,0.0,0.0,0.0
YPC1,5.920062695924765,0.0,0.0,0.0
MCM7,2.535211267605634,0.0,0.0,0.0
COS111,2.7187499999999996,0.0,0.0,0.0
PRX1,4.53125,0.0,0.0,0.0
YBL055C,3.8906249999999996,0.0,0.0,0.0
COR1,10.415417915417915,2.5064935064935066,3.6987951807228914,2.4155844155844157
FUI1,3.4687499999999996,2.1142857142857143,2.3855421686746987,0.0
YBL029C-A,15.601963063412114,4.415525114155251,6.8360064153969535,0.0
TIP1,2.5656565656565653,0.0,0.0,0.0
BAP2,3.1772151898734178,0.0,0.0,0.0
TAT1,2.3088235294117645,2.4347826086956523,0.0,0.0
UBC4,2.263157894736842,0.0,0.0,0.0
CYC8,3.7857142857142856,0.0,0.0,0.0
MIN7,2.535211267605634,0.0,0.0,0.0
THI2,3.4218749999999996,0.0,0.0,0.0
KCC4,6.056338028169014,2.295081967213115,3.4939759036144573,0.0
SAT4,4.193548387096774,0.0,0.0,0.0
SNT1,3.096774193548387,0.0,0.0,0.0
TAH1,5.54054054054054,0.0,0.0,0.0
YCR061W,5.54054054054054,0.0,0.0,0.0
AGP1,6.056338028169014,2.295081967213115,3.4939759036144573,0.0
ADY2,3.2666666666666666,0.0,2.3333333333333335,0.0
PMP1,2.7160493827160495,0.0,0.0,0.0
PAR32,4.0,0.0,0.0,0.0
RGT2,3.2857142857142856,0.0,2.7160493827160495,0.0
NDE2,3.130952380952381,0.0,2.197530864197531,0.0
SIT4,4.133333333333334,0.0,0.0,0.0
SNQ2,3.56,2.3134328358208953,2.322222222222222,0.0
RSM10,5.405063291139241,2.4615384615384617,2.2842105263157895,0.0
HEM13,2.558139534883721,0.0,0.0,0.0
HEM12,4.318840579710145,0.0,0.0,0.0
YDR061W,2.289855072463768,0.0,0.0,0.0
SNF11,2.8488372093023258,0.0,0.0,0.0
SED1,11.971014492753621,0.0,2.989130434782609,0.0
GIS1,3.3043478260869565,0.0,3.8271604938271606,0.0
ADR1,25.29937888198758,4.169078947368421,5.8061224489795915,2.53804347826087
YDR222W,2.898550724637681,0.0,0.0,0.0
TRS23,2.391304347826087,0.0,0.0,0.0
VHS1,2.391304347826087,0.0,0.0,0.0
EFT2,5.739130434782608,2.9682539682539684,3.1728395061728394,0.0
SMT3,5.814709595959595,2.031746031746032,2.816326530612245,0.0
SNA2,3.333333333333333,0.0,2.261904761904762,0.0
RBA50,3.333333333333333,0.0,2.261904761904762,0.0
STL1,7.391304347826086,0.0,3.7047619047619045,0.0
FMP45,2.2028985507246372,0.0,0.0,0.0
PRR2,6.292971352431712,0.0,2.515151515151515,0.0
