,Ana,Eth,Glu,Nit
BDH1,1,0,0,0
YAT1,1,0,0,0
SWH1,1,0,0,0
RPL39,1,0,0,0
MRS3,1,0,0,0
SET4,1,0,1,0
SIP4,1,0,0,0
ARG3,1,0,0,0
YJL045W,1,0,0,0
RNR2,1,0,0,0
TAH11,1,0,0,0
ATP2,0,0,1,0
IMA5,1,0,0,0
RPS22A,1,0,0,0
INO1,1,0,0,0
SNA3,1,0,0,0
DPI8,1,0,0,0
YJL107C,2,0,1,0
VPS53,1,0,0,0
MDE1,1,0,0,0
BNA1,1,0,0,0
SSC1,1,0,0,0
RSF2,1,0,0,0
DAN1,1,0,0,0
DAN4,1,0,0,0
JEN1,1,0,0,0
URA1,1,0,1,0
AVT3,1,0,0,0
OAC1,1,0,0,0
HAP4,2,1,1,0
CWP2,1,0,1,0
CWP1,1,0,1,0
SRX1,1,0,0,0
MDH1,1,0,0,0
MMO1,3,0,1,0
PHD1,2,0,0,0
YKR041W,3,1,1,0
UTH1,1,1,1,0
AIM29,2,0,1,0
PTR2,1,1,1,1
PCK1,1,1,1,0
MNN4,3,1,1,0
PXA2,1,0,0,0
SDH1,1,0,0,0
FOX2,1,0,0,0
SIS2,2,0,1,0
YKR075C,1,0,1,0
TPO1,2,1,2,0
ISA1,1,0,0,0
ERG3,1,0,0,0
AHP1,2,0,1,0
YLR112W,2,0,1,0
HOG1,2,0,1,0
RRN5,1,0,0,0
PUT1,1,0,0,0
THI7,1,0,0,0
HAP1,1,0,0,0
EXG1,1,0,0,0
MRPL15,1,0,1,0
NMA1,1,0,0,0
MID2,1,0,0,0
FKS1,1,0,1,0
RPL26A,1,0,0,0
SFP1,1,0,0,0
INA1,1,0,0,0
AQY2,1,0,0,0
IZH3,2,0,0,0
SPT8,1,0,0,0
YLR108C,2,0,1,0
CCW12,1,0,1,0
SLS1,1,0,0,0
ACS2,1,0,0,0
RNH203,1,0,0,0
NDL1,1,0,0,0
ACO1,1,0,1,0
ATG39,1,0,1,0
FBP1,1,0,1,0
DUS3,1,0,0,0
UFO1,2,0,0,0
YML082W,1,0,0,0
CAT2,1,0,0,0
YAP1,2,0,0,0
HXT2,1,1,0,0
PEX9,1,0,0,0
FET3,1,0,1,0
NAT4,1,0,1,0
MOT3,1,0,1,0
SPG4,1,0,1,0
ILV2,0,0,1,0
PKR1,1,0,0,0
GAT2,2,0,2,0
DDR48,1,0,0,0
ERG2,1,0,1,0
TOM40,1,0,1,0
YMR244W,1,0,0,0
HOR7,1,0,1,0
GPI12,1,0,0,0
TDA1,1,0,0,0
RPM2,2,0,0,0
YML083C,1,0,0,0
RRN11,1,0,0,0
MRPL39,1,0,0,0
ERG6,2,0,0,0
ERG5,1,0,0,0
SOK2,2,0,1,0
MSN2,2,1,1,0
CCS1,1,0,0,0
AAC1,1,0,1,0
ISF1,1,0,0,0
GID8,2,0,2,0
NDE1,2,0,1,0
RGM1,1,0,0,0
ZRC1,1,0,0,0
HAS1,1,0,0,0
BSC4,1,0,0,0
LYP1,1,0,0,0
YNL234W,1,0,0,0
RPS3,1,0,0,0
YGP1,1,0,0,0
MLS1,1,1,1,0
MSK1,1,0,0,0
RPL9B,1,0,0,0
SUN4,1,0,0,0
AQR1,1,0,1,0
YNR014W,2,0,1,0
ALP1,1,0,0,0
PDR16,1,0,0,0
RHO5,2,0,1,0
YNL144C,1,0,1,0
DCP2,1,1,1,0
CYB5,1,0,0,0
MLF3,1,0,0,0
ATO2,1,0,0,0
PHO91,2,0,1,0
TRM13,1,0,0,0
HRP1,1,1,0,0
ZEO1,0,1,0,0
PHM7,2,1,2,0
YOL019W,1,0,0,0
RPL3,1,0,0,0
TMA46,1,0,0,0
ECM3,1,0,0,0
RGS2,2,1,2,0
IDH2,1,0,1,0
PDR5,1,0,1,0
STE4,1,0,0,0
WTM1,0,0,1,0
CPA1,1,0,0,0
SFG1,1,0,1,0
FAA1,1,0,0,0
HSH49,1,0,1,0
MDH2,1,0,0,0
TRM11,1,1,0,0
RPS19A,1,0,0,0
INO4,0,1,0,0
DDR2,1,0,0,0
TIR2,1,0,0,0
CIN5,1,1,1,0
HMS1,1,1,1,0
YOR062C,1,0,0,0
NRT1,1,0,0,0
ATG40,1,0,1,0
PNS1,1,0,0,0
GAC1,2,0,1,0
SYC1,1,0,0,0
MGM1,1,0,0,0
SPS4,1,0,1,0
PUT4,2,0,1,0
GDH1,1,0,1,0
USV1,1,0,1,0
CBP3,1,0,0,0
ISU1,1,0,0,0
CAR1,1,0,0,0
YPL088W,1,0,0,0
ALD6,1,0,1,0
RMI1,2,0,0,0
SUT2,2,0,0,0
SPO24,1,0,0,0
ROX1,4,0,2,0
NCE102,1,0,0,0
AQY1,2,1,1,0
CUP9,1,1,1,0
PRM4,1,0,0,0
GIP3,1,0,0,0
RLM1,1,0,0,0
PDR12,2,0,2,0
SKS1,2,0,0,0
IRC15,1,0,0,0
CMR3,1,0,0,0
YPR063C,4,0,2,0
YPR148C,1,0,0,0
TPO3,1,0,1,0
ATP1,1,0,0,0
KIP1,1,0,0,0
TOD6,1,0,0,0
ECM13,2,1,1,1
PRE7,1,0,1,0
YBL029W,2,0,1,0
TEC1,1,0,0,0
PBY1,1,0,0,0
RAD16,1,0,0,0
YPC1,2,0,0,0
MCM7,1,0,0,0
COS111,1,0,0,0
PRX1,1,0,0,0
YBL055C,1,0,0,0
COR1,2,1,1,1
FUI1,1,0,1,0
YBL029C-A,2,0,1,0
TIP1,1,0,0,0
BAP2,1,0,0,0
TAT1,1,0,0,0
UBC4,1,0,0,0
CYC8,1,0,0,0
MIN7,1,0,0,0
THI2,1,0,0,0
KCC4,1,0,1,0
SAT4,1,0,0,0
SNT1,1,0,0,0
TAH1,1,0,0,0
YCR061W,1,0,0,0
AGP1,1,0,1,0
ADY2,1,0,1,0
PMP1,1,0,0,0
PAR32,1,0,0,0
RGT2,1,0,1,0
NDE2,1,0,0,0
SIT4,1,0,0,0
SNQ2,1,0,1,0
