,Ana,Eth,Glu,Nit
FLC2,1,1,1,0
CDC19,2,2,2,2
EFB1,0,0,1,0
YAT1,0,2,0,0
ACS1,1,1,1,0
CLN3,1,2,1,0
CYC3,0,1,0,0
SSA1,0,0,1,0
CDC6,1,1,1,0
DAS1,1,1,1,0
LCB3,0,0,1,0
MRS3,1,1,1,0
ASF1,0,2,2,0
LSB6,1,0,0,0
TDH1,1,2,2,1
MHP1,0,1,0,0
RNR2,1,2,2,0
MHO1,0,1,1,0
LSM8,0,1,0,0
PTK2,0,0,1,0
ADO1,0,1,0,0
YJR115W,1,1,1,0
ATP2,0,0,1,0
IML1,1,1,1,0
ELO1,1,1,1,0
CIS3,1,0,0,0
SNA3,1,1,1,0
RPS21B,0,0,1,0
DPI8,1,1,1,0
NCA3,0,2,2,0
GSH1,1,0,0,0
PRY1,0,2,0,0
UBX6,0,1,0,0
YJL047C-A,0,1,0,0
VPS53,0,1,1,0
APS3,0,0,1,0
TDH2,2,2,2,2
TES1,0,2,0,0
REC107,0,2,0,0
MDE1,0,1,0,0
BNA1,0,1,0,0
APS2,0,0,1,0
SOD1,0,1,0,0
RSM7,1,1,1,0
MET5,1,1,1,0
JEN1,0,1,1,0
EAP1,0,0,1,0
LOT5,0,1,1,0
FAS1,0,1,1,0
MCR1,0,1,1,0
CWP2,0,2,0,0
CWP1,0,2,0,0
SRX1,0,0,1,0
MDH1,0,0,1,0
VMA5,1,0,1,0
YKL068W-A,0,1,1,0
MMO1,1,2,1,0
PHD1,1,1,0,0
UGP1,0,0,1,0
TFA1,1,1,1,0
YKR041W,0,3,0,0
UTH1,0,2,0,0
MNN4,0,2,0,0
PTK1,0,1,1,0
FAT3,0,2,0,0
MTR2,0,1,0,0
GPM1,1,1,2,1
NNR2,0,1,1,0
FBA1,1,3,1,1
IXR1,1,1,1,0
MAE1,1,2,1,0
YCT1,0,2,1,0
FPS1,0,1,0,0
TPO1,1,1,1,0
YLR030W,1,1,1,0
RPS0B,1,0,1,0
YLR112W,0,1,1,0
HOG1,0,1,1,0
RRN5,0,1,1,0
THI7,0,0,1,0
BOP2,0,1,0,0
YLR283W,0,1,0,0
EXG1,0,1,1,0
HRI1,1,1,1,0
MET17,0,0,1,0
CDA2,0,1,1,0
NMA1,0,2,0,0
ORM2,0,1,0,0
CAR2,0,1,1,0
RPL6B,0,0,1,0
AQY2,0,1,0,0
IZH3,0,2,1,0
RPL15A,1,1,1,0
YLR042C,0,1,0,0
PDC1,1,3,2,1
RFU1,0,1,0,0
CCW12,0,1,1,0
YPS3,1,2,2,0
YLR122C,1,1,1,0
SLS1,0,1,1,0
ACS2,0,0,1,0
RNH203,0,0,1,0
UPS2,0,1,1,0
APS1,0,1,1,0
ADY4,0,1,0,0
YLR278C,0,1,0,0
RSO55,0,1,0,0
ATP14,0,1,1,0
YLR307C-A,0,1,1,0
TMA10,0,2,0,0
DIC1,0,1,0,0
TAL1,0,2,1,0
ECM30,0,1,1,0
DIF1,0,1,1,0
RPS1A,0,0,1,0
VMA6,0,0,1,0
UFO1,0,1,1,0
HXT2,0,1,0,0
FMS1,0,0,1,0
YET2,0,0,1,0
ADH3,1,1,1,0
SPG4,0,1,1,0
NCW1,1,1,1,0
GAT2,0,1,0,0
ICY1,2,2,2,0
YMR196W,1,1,1,0
YMR206W,1,2,2,1
YHM2,0,1,0,0
FAA4,0,1,1,0
HOR7,1,2,1,0
GFD1,1,0,1,0
RSN1,0,1,1,0
TDA1,0,1,1,0
UBP15,0,1,1,0
RPM2,0,1,1,0
HMG1,0,1,1,0
CYB2,0,1,1,0
ERG5,0,1,0,0
SOK2,0,2,1,0
MSN2,0,1,1,0
CCS1,0,1,1,0
SUB1,0,0,1,0
ISF1,0,2,1,0
GID8,0,1,0,0
NDE1,0,1,0,0
MSS11,0,1,0,0
CEP3,0,0,1,0
CMC4,1,1,1,0
PFK2,1,2,2,1
CUS1,0,1,0,0
COA6,0,1,1,0
YMR253C,1,0,1,0
YMR265C,0,1,1,0
HAS1,0,1,1,0
ATM1,0,0,1,0
ADH2,0,1,1,0
TOS6,0,1,0,0
PCL1,1,0,1,0
MET2,1,2,1,0
LAP3,1,1,0,0
CSL4,1,0,1,0
ADE12,1,1,1,0
YNL190W,0,1,0,0
RPS3,0,2,2,0
LSM7,0,1,1,0
YAF9,1,1,1,0
AVT4,0,1,1,0
NCE103,1,0,0,0
HHF2,0,1,0,0
PBI2,0,1,1,0
YNR014W,2,1,1,0
TIM23,0,1,0,0
EGO4,0,1,1,0
RPL18B,0,1,0,0
ZWF1,0,2,2,0
NAR1,1,1,0,0
POP1,1,1,1,0
RHO5,0,1,1,0
PGA2,0,1,1,0
ALF1,0,1,1,0
YNL108C,1,1,1,0
RAS2,0,1,1,0
RPS7B,1,1,1,0
POR1,1,2,1,0
IDH1,1,0,0,0
HHT2,0,1,0,0
PHO91,2,1,1,0
ACC1,0,1,0,0
SHR5,1,2,1,0
ZEO1,1,2,1,0
PHM7,0,2,1,0
GPD2,1,3,2,0
AIM39,1,0,1,0
PLB3,1,1,1,0
ECM3,1,1,1,0
PDR5,1,1,1,0
SER1,1,0,1,0
ULS1,0,1,1,0
PEX27,1,1,2,0
WTM1,1,1,1,0
PAC1,1,1,0,0
MOD5,0,1,0,0
BUD7,1,0,1,0
RAX1,0,1,0,0
CPA1,1,2,1,0
HSH49,2,3,2,0
ALD4,1,3,2,0
CSS3,1,0,1,0
MDY2,1,2,1,0
ADH1,2,2,2,1
MAM3,1,3,2,0
HTZ1,1,1,1,0
HMS1,1,1,0,0
VHS3,0,2,2,0
ATG40,1,1,1,0
PNS1,0,1,1,0
GAC1,0,2,1,0
RPS30B,1,0,1,0
HRK1,1,1,0,0
VPH1,1,0,1,0
TPO4,0,1,0,0
MBF1,1,0,1,0
YOR342C,0,1,0,0
TYE7,0,1,0,0
PYK2,1,2,1,0
PUT4,2,4,3,0
GDH1,1,1,1,0
FMP40,0,2,2,0
FLC1,0,1,0,0
ISU1,0,1,0,0
CAR1,0,2,0,0
YPL088W,1,1,1,0
YDC1,0,0,1,0
GCR1,1,3,1,1
RGL1,1,1,1,0
ALD6,0,2,1,0
PMA2,0,1,1,0
RMI1,1,2,1,0
HAA1,0,1,0,0
YME1,0,1,0,0
ATH1,0,1,0,0
YOP1,0,0,1,0
GLN1,0,1,0,0
SPO24,0,1,1,0
ROX1,1,1,1,0
NOT5,1,0,1,0
MRPL51,0,1,0,0
RGC1,1,0,1,0
MAY24,0,0,1,0
GPH1,0,1,0,0
ATG41,1,1,1,0
GRE1,0,2,2,0
CUP9,0,1,0,0
PRM4,0,1,0,0
GIP3,0,1,0,0
RLM1,1,1,1,0
YPL068C,1,1,1,0
HTC1,1,1,1,0
SUR1,1,1,1,0
EGD1,0,1,1,0
SKS1,1,2,1,0
IRC15,0,2,0,0
CMR3,1,1,1,0
EAF3,0,1,0,0
CCL1,0,1,0,0
YPR063C,1,1,1,0
TMH18,0,1,0,0
CLB5,1,0,0,0
SUE1,0,1,1,0
URN1,0,0,1,0
BOI1,0,0,1,0
ECM13,0,0,1,0
PRE7,1,0,0,0
YBL029W,0,2,1,0
FUS3,1,1,1,0
ACH1,1,2,1,0
HTB2,1,1,1,0
YRO2,0,1,1,0
HSP26,0,1,0,0
ECM33,0,1,1,0
TEC1,0,1,1,0
TEF2,0,1,1,0
CKS1,1,1,1,0
MEC1,1,1,1,0
ADH5,1,1,1,0
AMN1,0,2,1,0
YPC1,0,1,1,0
ERV15,1,1,0,0
SUL1,0,1,0,0
MAL33,0,1,0,0
YBL086C,0,0,1,0
COR1,0,0,1,0
FUI1,1,0,0,0
YBL036C,1,0,0,0
YBL029C-A,0,2,1,0
PEP1,1,1,1,0
HTA2,1,1,1,0
IPP1,0,0,1,0
NRG2,0,2,0,0
TIP1,0,2,1,0
UBC4,0,1,0,0
YBR085C-A,0,1,0,0
FES1,0,1,0,0
TKL2,0,1,1,0
HSL7,1,1,1,0
ICS2,0,1,0,0
PGI1,2,2,2,1
YBR197C,1,1,1,0
PHO89,0,2,0,0
GLK1,1,1,1,1
LSB5,1,0,1,0
PGK1,2,2,2,1
PDI1,1,1,1,1
GRX1,1,0,1,0
HIS4,1,1,1,0
CIT2,0,2,0,0
YCR006C,0,2,0,0
ADP1,2,2,2,1
PMP1,0,1,0,0
RHB1,0,1,0,0
LYS20,0,0,1,0
INH1,0,0,1,0
YDL180W,0,0,1,0
UGA3,0,0,1,0
ARF2,1,1,1,0
LYS21,1,1,0,0
PCL2,1,1,1,0
YDL086W,0,1,0,0
LHP1,0,0,1,0
SIT4,0,1,1,0
GPD1,2,3,3,0
GPM2,1,2,1,0
SNQ2,0,1,1,0
MRH1,0,1,1,0
PST1,0,1,1,0
YDR061W,0,1,1,0
SNF11,1,2,2,0
SED1,0,1,0,0
GIS1,0,2,0,0
HST4,0,0,1,0
ADR1,0,1,0,0
HEM1,0,1,1,0
LYS4,0,1,0,0
TRS23,1,1,1,0
VHS1,1,2,2,0
CHL4,1,0,0,0
YDR262W,1,1,1,0
CFT1,0,0,1,0
KEI1,1,1,1,0
YPR1,1,1,1,0
EFT2,0,1,1,0
HPT1,0,1,1,0
URH1,0,1,1,0
SIZ1,1,2,2,0
PPN1,1,0,0,0
SMT3,1,1,1,0
SDH7,1,1,1,0
GRH1,1,0,0,0
STL1,0,2,0,0
FMP45,0,1,1,0
YDL183C,0,0,1,0
GLT1,0,0,1,0
LUC7,0,1,0,0
MRK1,1,1,1,0
SLC1,0,0,1,0
KNH1,1,1,1,0
STP4,0,1,1,0
BSC1,1,0,0,0
