Gene;CommonName;Nit;Glu;Eth;Ana
15S_rRNA;15S_RRNA;734.0868545;1085.464631;1486.312933;1065.567763
21S_rRNA;21S_RRNA;376.8179354;533.1382745;764.1508726;831.6132658
HRA1;HRA1;40.23021952;26.05812086;25.08320363;38.7440966
ICR1;ICR1;12.61699618;11.3383611;8.413629072;14.87317506
LSR1;LSR1;28813.2919;26209.18007;25189.64805;26964.28424
NME1;NME1;4474.608784;4825.534955;4722.171438;6080.807338
PWR1;PWR1;12.56985725;11.57958361;8.650669514;16.43131703
Q0010;Q0010;1.176438531;3.047323196;2.068307124;1.611810455
Q0017;Q0017;1.323131343;3.382372529;2.126057631;1.974183497
Q0032;Q0032;0.670739531;0.793099137;0.851190373;1.097657312
Q0045;COX1;1465.096633;3943.300509;5042.971148;2637.010646
Q0050;AI1;3731.978255;8517.702241;10239.82192;3855.787372
Q0055;AI2;2915.981842;7407.672234;9489.097751;4100.800356
Q0060;AI3;2408.191491;6141.437955;7871.799466;3480.997724
Q0065;AI4;2067.517203;5370.249616;6925.374243;3353.833964
Q0070;AI5_ALPHA;1844.753372;4837.591153;6252.891494;3078.668786
Q0075;AI5_BETA;123.4368425;405.43825;438.0718913;443.3263697
Q0080;ATP8;17.67525286;53.26260494;64.6360272;29.48833933
Q0085;ATP6;694.8305789;2908.62931;3963.808568;2467.520783
Q0092;Q0092;0.460945796;1.21882888;0.310263943;0.723286436
Q0105;COB;374.0345682;735.6602474;942.3187998;984.7288093
Q0110;BI2;587.1175634;1184.876771;1439.563417;1588.008404
Q0115;BI3;365.4028959;733.7546168;902.9151413;977.5413731
Q0120;BI4;351.272549;689.7841232;870.2033886;923.5679889
Q0130;OLI1;7387.286759;16049.82601;22003.08293;15699.86109
Q0140;VAR1;29.75261676;53.65141222;57.84143934;77.37893428
Q0142;Q0142;7.773164098;12.40711202;7.805965891;12.86459547
Q0143;Q0143;6.076369089;13.09078317;7.377976701;12.02462043
Q0144;Q0144;0;0.485199271;0.206218506;0.070342908
Q0160;SCEI;192.7365031;382.7842459;261.823289;402.5484394
Q0182;Q0182;6.074688356;16.34086912;11.18849274;16.55937824
