,Gene,Chr,Pos,Strand,DistanceTSS,Strength,Condition
1,BDH1,chr1,23781,+,592,2.236842105263158,Ana
2,FLC2,chr1,34508,+,512,2.4242424242424243,Ana
3,FLC2,chr1,34508,+,512,2.1333333333333333,Glu
4,ACS1,chr1,34508,-,168,2.4242424242424243,Ana
5,ACS1,chr1,34508,-,168,2.1333333333333333,Glu
6,RPL39,chr10,64493,+,198,2.7272727272727275,Ana
7,RPS22A,chr10,64493,-,391,2.7272727272727275,Ana
8,YJL107C,chr10,203627,-,270,3.5930232558139537,Ana
9,YJL107C,chr10,203627,-,270,2.5047619047619047,Glu
10,YJL107C,chr10,203810,-,453,2.632183908045977,Ana
11,SET4,chr10,207373,+,766,9.354838709677418,Ana
12,SET4,chr10,207373,+,766,2.533333333333333,Eth
13,SET4,chr10,207373,+,766,3.7634408602150535,Glu
14,SIP4,chr10,249053,+,25,4.0540540540540535,Ana
15,SIP4,chr10,249053,+,25,2.2727272727272725,Glu
16,YJL045W,chr10,338758,+,492,3.230769230769231,Ana
17,MHP1,chr10,343988,+,442,3.5384615384615383,Ana
18,RNR2,chr10,375114,+,486,3.142857142857143,Ana
19,RNR2,chr10,375114,+,486,2.0930232558139537,Glu
20,VPS53,chr10,375114,-,954,3.142857142857143,Ana
21,VPS53,chr10,375114,-,954,2.0930232558139537,Glu
22,TAH11,chr10,511695,+,227,2.5757575757575757,Ana
23,SSC1,chr10,511695,-,51,2.5757575757575757,Ana
24,RSF2,chr10,658157,-,378,3.5076923076923077,Ana
25,DAN1,chr10,705058,-,344,2.757142857142857,Ana
26,JEN1,chr11,28138,+,565,2.888888888888889,Ana
27,URA1,chr11,31555,+,125,2.9577464788732395,Ana
28,URA1,chr11,31555,+,125,2.604166666666667,Glu
29,MNN4,chr11,74384,-,354,4.043103448275862,Ana
30,MNN4,chr11,74384,-,354,3.348484848484849,Eth
31,MNN4,chr11,74384,-,354,3.831578947368421,Glu
32,MNN4,chr11,74588,-,558,3.453781512605042,Ana
33,PXA2,chr11,95508,-,210,2.682926829268293,Ana
34,OAC1,chr11,223185,+,406,2.873239436619718,Ana
35,HAP4,chr11,237787,+,493,8.472222222222221,Ana
36,HAP4,chr11,237787,+,493,2.676056338028169,Eth
37,HAP4,chr11,237787,+,493,5.083333333333333,Glu
38,HAP4,chr11,237787,+,493,2.167832167832168,Nit
39,CWP2,chr11,264991,+,538,4.453125,Ana
40,CWP2,chr11,264991,+,538,2.0869565217391304,Glu
41,IXR1,chr11,388353,-,383,3.23943661971831,Ana
42,FOX2,chr11,463285,-,174,3.802816901408451,Ana
43,YKR041W,chr11,523227,+,893,2.815533980582524,Ana
44,YKR041W,chr11,524157,+,37,4.163265306122448,Ana
45,YKR041W,chr11,525097,+,977,5.120481927710843,Ana
46,YKR041W,chr11,525097,+,977,3.0253164556962022,Eth
47,YKR041W,chr11,525097,+,977,2.8415841584158414,Glu
48,UTH1,chr11,525097,+,139,5.120481927710843,Ana
49,UTH1,chr11,525097,+,139,3.0253164556962022,Eth
50,UTH1,chr11,525097,+,139,2.8415841584158414,Glu
51,AIM29,chr11,585029,+,85,6.056338028169014,Ana
52,AIM29,chr11,585029,+,85,3.9682539682539684,Eth
53,AIM29,chr11,585029,+,85,3.6470588235294117,Glu
54,SIS2,chr11,585029,-,819,6.056338028169014,Ana
55,SIS2,chr11,585029,-,819,3.9682539682539684,Eth
56,SIS2,chr11,585029,-,819,3.6470588235294117,Glu
57,ECM4,chr11,587280,+,936,3.9014084507042255,Ana
58,ECM4,chr11,587280,+,936,2.3703703703703702,Glu
59,YKR075C,chr11,587280,-,538,3.9014084507042255,Ana
60,YKR075C,chr11,587280,-,538,2.3703703703703702,Glu
61,PTR2,chr11,620693,+,710,6.028169014084507,Ana
62,PTR2,chr11,620693,+,710,2.1587301587301586,Eth
63,PTR2,chr11,620723,+,680,9.605633802816902,Ana
64,PTR2,chr11,620723,+,680,4.825396825396825,Eth
65,PTR2,chr11,620723,+,680,6.395061728395062,Glu
66,PTR2,chr11,620723,+,680,2.4714285714285715,Nit
67,PCK1,chr11,636502,+,259,8.169014084507042,Ana
68,PCK1,chr11,636502,+,259,2.6984126984126986,Eth
69,PCK1,chr11,636502,+,259,3.5802469135802473,Glu
70,AQY2,chr12,22039,-,719,4.630769230769231,Ana
71,AQY2,chr12,22039,-,719,2.3934426229508197,Eth
72,FRE6,chr12,24569,-,85,2.923076923076923,Ana
73,COF1,chr12,24569,-,793,2.923076923076923,Ana
74,TPO1,chr12,68925,+,661,6.962025316455696,Ana
75,TPO1,chr12,68925,+,661,3.75,Glu
76,ISA1,chr12,71903,+,202,4.730769230769231,Ana
77,AHP1,chr12,347331,+,427,2.815533980582524,Ana
78,AHP1,chr12,347331,+,427,2.7160493827160495,Eth
79,AHP1,chr12,347331,+,427,3.203125,Glu
80,YLR108C,chr12,347331,-,133,2.815533980582524,Ana
81,YLR108C,chr12,347331,-,133,2.7160493827160495,Eth
82,YLR108C,chr12,347331,-,133,3.203125,Glu
83,RRN5,chr12,403263,+,599,4.029850746268656,Ana
84,RRN5,chr12,403263,+,599,2.4615384615384617,Eth
85,RRN5,chr12,403263,+,599,2.1875,Glu
86,PUT1,chr12,403263,+,907,4.029850746268656,Ana
87,PUT1,chr12,403263,+,907,2.4615384615384617,Eth
88,PUT1,chr12,403263,+,907,2.1875,Glu
89,SLS1,chr12,403263,-,396,4.029850746268656,Ana
90,SLS1,chr12,403263,-,396,2.4615384615384617,Eth
91,SLS1,chr12,403263,-,396,2.1875,Glu
92,ACO1,chr12,697553,-,412,3.2615384615384615,Ana
93,ACO1,chr12,697553,-,412,2.9508196721311477,Eth
94,ACO1,chr12,697553,-,412,2.17,Glu
95,MRPL15,chr12,718768,+,254,5.015384615384615,Ana
96,MRPL15,chr12,718768,+,254,2.2151898734177213,Glu
97,ATG39,chr12,718768,-,281,5.015384615384615,Ana
98,ATG39,chr12,718768,-,281,2.2151898734177213,Glu
99,NMA1,chr12,744046,+,196,3.4210526315789473,Ana
100,MID2,chr12,749602,+,243,4.769230769230769,Ana
101,MID2,chr12,749602,+,243,2.298850574712644,Glu
102,FKS1,chr12,768928,+,352,7.631578947368421,Ana
103,FKS1,chr12,768928,+,352,3.5802469135802473,Glu
104,FBP1,chr12,834895,-,573,8.76923076923077,Ana
105,FBP1,chr12,834895,-,573,2.361111111111111,Eth
106,FBP1,chr12,834895,-,573,3.048780487804878,Glu
107,SFP1,chr12,884111,+,275,2.7384615384615385,Ana
108,DUS3,chr12,884111,-,163,2.7384615384615385,Ana
109,CAT2,chr13,181093,+,153,2.185714285714286,Ana
110,RRN11,chr13,181093,-,609,2.185714285714286,Ana
111,MRPL39,chr13,234638,-,319,2.5714285714285716,Ana
112,YAP1,chr13,235578,+,869,2.4285714285714284,Ana
113,ERG6,chr13,235578,-,207,2.4285714285714284,Ana
114,YAP1,chr13,236337,+,110,3.466666666666667,Ana
115,ERG6,chr13,236337,-,552,3.466666666666667,Ana
116,HXT2,chr13,270373,+,429,4.5673076923076925,Ana
117,HXT2,chr13,270373,+,429,3.3066666666666666,Eth
118,PEX9,chr13,292766,+,175,3.203125,Ana
119,MSN2,chr13,329575,-,137,2.4324324324324325,Ana
120,MSN2,chr13,329983,-,271,12.947368421052634,Ana
121,MSN2,chr13,329983,-,271,3.3333333333333335,Eth
122,MSN2,chr13,329983,-,271,5.716049382716049,Glu
123,FET3,chr13,359720,+,258,3.3714285714285714,Ana
124,FET3,chr13,359720,+,258,2.432098765432099,Glu
125,AAC1,chr13,359720,-,293,3.3714285714285714,Ana
126,AAC1,chr13,359720,-,293,2.432098765432099,Glu
127,NAT4,chr13,379828,+,839,6.930555555555555,Ana
128,MOT3,chr13,379828,+,322,6.930555555555555,Ana
129,NAT4,chr13,379891,+,902,8.222222222222223,Ana
130,NAT4,chr13,379891,+,902,4.209876543209877,Glu
131,MOT3,chr13,379891,+,259,8.222222222222223,Ana
132,MOT3,chr13,379891,+,259,4.209876543209877,Glu
133,ISF1,chr13,402788,-,350,2.0634920634920637,Eth
134,ISF1,chr13,402788,-,350,2.0238095238095237,Glu
135,SPG4,chr13,454149,+,374,3.142857142857143,Ana
136,SPG4,chr13,455197,+,674,4.428571428571429,Ana
137,SPG4,chr13,455197,+,674,2.804878048780488,Glu
138,ILV2,chr13,455197,+,238,4.428571428571429,Ana
139,ILV2,chr13,455197,+,238,2.804878048780488,Glu
140,PKR1,chr13,490919,+,108,3.0263157894736845,Ana
141,PKR1,chr13,490919,+,108,2.1176470588235294,Glu
142,GAT2,chr13,517998,+,534,7.731182795698925,Ana
143,GAT2,chr13,517998,+,534,3.3367346938775513,Glu
144,GID8,chr13,517998,-,458,7.731182795698925,Ana
145,GID8,chr13,517998,-,458,3.3367346938775513,Glu
146,GAT2,chr13,518226,+,306,6.354838709677419,Ana
147,GAT2,chr13,518226,+,306,2.263888888888889,Eth
148,GAT2,chr13,518226,+,306,3.868686868686868,Glu
149,GID8,chr13,518226,-,686,6.354838709677419,Ana
150,GID8,chr13,518226,-,686,2.263888888888889,Eth
