gene_id;gene_common;TATA_cen_pos;RNA.class;chrom;IIB_coor;TSS;strand;TATA_coor;mismatch;TBP;IIA;IIB;IID;IIE;IIF;IIH;IIK;Pol.II;gene_class_1;gene_class_2
YAL001C;TFC3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
YAL002W;VPS8;931;mRNA;chr01;143601;143572;W;143553;2_mis;24;19;169;106;354;68;237;156;245;TATA-less;TAF1-enriched
YAL003W;EFB1;917;mRNA;chr01;142129;142123;W;142076;1_mis;259;406;4348;578;3230;1026;747;3543;322;TATA-less;TAF1-depleted
YAL005C;SSA1;891;mRNA;chr01;141572;141508;C;141596;0_mis;357;350;3788;163;1425;699;301;1377;131;TATA-containing;TAF1-depleted
YAL007C;ERP2;932;mRNA;chr01;138451;138455;C;138479;2_mis;58;126;392;238;410;195;106;457;59;TATA-less;TAF1-enriched
YAL008W;FUN14;908;mRNA;chr01;136824;136859;W;136788;1_mis;26;48;81;105;147;52;47;152;34;TATA-less;TAF1-enriched
YAL009W;SPO7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
YAL010C;MDM10;927;mRNA;chr01;135752;135711;C;135769;2_mis;17;50;183;128;192;88;46;202;34;TATA-less;TAF1-enriched
YAL011W;SWC3;949;mRNA;chr01;132176;132195;W;132150;1_mis;18;146;161;289;237;117;131;244;153;TATA-less;TAF1-enriched
YAL012W;CYS3;932;mRNA;chr01;130697;130731;W;130673;1_mis;187;306;2390;344;2386;569;433;2282;160;TATA-less;TAF1-depleted
YAL013W;DEP1;947;mRNA;chr01;129212;129211;W;129189;1_mis;41;108;276;212;238;103;92;301;49;TATA-less;TAF1-enriched
YAL014C;SYN8;940;mRNA;chr01;129049;129079;C;129104;1_mis;30;148;187;295;224;111;80;215;67;TATA-less;TAF1-enriched
YAL015C;NTG1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
YAL016W;TPD3;NA;mRNA;chr01;124763;124787;W;0;3_mis;50;152;456;397;490;189;151;530;59;TATA-less;TAF1-enriched
YAL017W;PSK1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
YAL019W;FUN30;942;mRNA;chr01;114780;114811;W;114757;2_mis;40;97;138;223;334;124;105;374;30;TATA-less;TAF1-enriched
YAL020C;ATS1;982;mRNA;chr01;114597;114623;C;114631;1_mis;30;94;149;198;153;86;111;175;46;TATA-less;TAF1-depleted
YAL021C;CCR4;953;mRNA;chr01;113436;113423;C;113444;2_mis;34;69;232;280;352;162;139;315;90;TATA-less;TAF1-enriched
YAL022C;FUN26;876;mRNA;chr01;110487;110471;C;110564;1_mis;22;32;133;223;220;92;84;217;96;TATA-less;TAF1-enriched
YAL023C;PMT2;888;mRNA;chr01;108700;108679;C;108745;2_mis;69;112;495;392;601;206;139;655;86;TATA-less;TAF1-enriched
YAL024C;LTE1;962;mRNA;chr01;105989;105967;C;106008;2_mis;31;40;113;214;158;78;102;139;71;TATA-less;TAF1-enriched
YAL025C;MAK16;913;mRNA;chr01;101198;101175;C;101249;2_mis;68;96;557;259;442;163;185;571;57;TATA-less;TAF1-enriched
