,Gene,Chr,Pos,Strand,DistanceTSS,Strength,Condition
1,FLC2,chr1,34678,+,-342,8.0,Eth
2,FLC2,chr1,34678,+,-342,22.36842105263158,Glu
3,ACS1,chr1,34678,-,-338,8.0,Eth
4,ACS1,chr1,34678,-,-338,22.36842105263158,Glu
5,YAT1,chr1,173252,+,-185,2.3333333333333335,Eth
6,YAT1,chr1,173252,+,-185,3.3055555555555554,Glu
7,YAT1,chr1,173361,+,-76,10.666666666666666,Eth
8,YAT1,chr1,173361,+,-76,7.25,Glu
9,SIP4,chr10,248918,+,-160,2.096774193548387,Ana
10,SIP4,chr10,248918,+,-160,4.653061224489796,Eth
11,SIP4,chr10,248918,+,-160,6.315789473684211,Glu
12,MPS3,chr10,386679,+,645,4.666666666666667,Eth
13,BBC1,chr10,386679,-,-940,4.666666666666667,Eth
14,RPL43B,chr10,604097,+,823,4.69620253164557,Eth
15,RPL43B,chr10,604097,+,823,12.537037037037036,Glu
16,SFC1,chr10,604097,+,-517,4.69620253164557,Eth
17,SFC1,chr10,604097,+,-517,12.537037037037036,Glu
18,RPL43B,chr10,604152,+,878,10.907894736842106,Eth
19,RPL43B,chr10,604152,+,878,28.944444444444446,Glu
20,SFC1,chr10,604152,+,-462,10.907894736842106,Eth
21,SFC1,chr10,604152,+,-462,28.944444444444446,Glu
22,BAT2,chr10,700350,+,-303,3.658536585365854,Eth
23,BAT2,chr10,700350,+,-303,2.8947368421052633,Glu
24,UBA1,chr11,45123,+,-508,3.0,Glu
25,TRP3,chr11,45123,-,-408,3.0,Glu
26,PTM1,chr11,368310,+,-171,2.8,Glu
27,NFU1,chr11,368310,-,-402,2.8,Glu
28,RPS21A,chr11,557630,+,115,5.454545454545455,Eth
29,RPS21A,chr11,557630,+,115,2.5,Glu
30,GLG1,chr11,557630,+,-985,5.454545454545455,Eth
31,GLG1,chr11,557630,+,-985,2.5,Glu
32,PCK1,chr11,636354,+,-407,39.15151515151515,Eth
33,PCK1,chr11,636354,+,-407,35.11363636363636,Glu
34,PCK1,chr11,636354,+,-407,2.7500000000000004,Nit
35,PCK1,chr11,636391,+,-370,7.194444444444444,Ana
36,PCK1,chr11,636391,+,-370,25.878787878787882,Eth
37,PCK1,chr11,636391,+,-370,44.27272727272727,Glu
38,KNS1,chr12,93430,-,-338,10.21875,Eth
39,KNS1,chr12,93430,-,-338,11.571428571428571,Glu
40,COX19,chr12,93430,-,510,10.21875,Eth
41,COX19,chr12,93430,-,510,11.571428571428571,Glu
42,ACS2,chr12,427474,-,-854,4.909090909090909,Eth
43,ACS2,chr12,427474,-,-854,10.282051282051283,Glu
44,RNH203,chr12,427474,-,-91,4.909090909090909,Eth
45,RNH203,chr12,427474,-,-91,10.282051282051283,Glu
46,ACS2,chr12,427522,-,-902,10.666666666666668,Eth
47,ACS2,chr12,427522,-,-902,12.205128205128206,Glu
48,RNH203,chr12,427522,-,-139,10.666666666666668,Eth
