,Gene,Chr,Pos,Strand,DistanceTSS,Strength,Condition
1,BDH1,chr1,24172,+,-201,2.6168224299065423,Ana
2,BDH1,chr1,24172,+,-201,2.6368159203980097,Eth
3,BDH1,chr1,24172,+,-201,4.452554744525548,Glu
4,CLN3,chr1,57715,-,-610,2.6962025316455698,Glu
5,FUN14,chr1,126880,+,792,2.4018264840182653,Eth
6,FUN14,chr1,126880,+,792,2.1666666666666665,Glu
7,ERP2,chr1,126880,-,751,2.4018264840182653,Eth
8,ERP2,chr1,126880,-,751,2.1666666666666665,Glu
9,EFB1,chr1,131072,+,-295,2.03125,Ana
10,EFB1,chr1,131072,+,-295,2.0179372197309418,Eth
11,EFB1,chr1,131072,+,-295,3.3333333333333335,Glu
12,SSA1,chr1,131072,-,-365,2.03125,Ana
13,SSA1,chr1,131072,-,-365,2.0179372197309418,Eth
14,SSA1,chr1,131072,-,-365,3.3333333333333335,Glu
15,NUP60,chr1,140515,+,-905,2.9347826086956523,Eth
16,NUP60,chr1,140515,+,-905,2.6724137931034484,Glu
17,TFC3,chr1,140515,-,-98,2.9347826086956523,Eth
18,TFC3,chr1,140515,-,-98,2.6724137931034484,Glu
19,YAT1,chr1,173320,+,-117,2.5981308411214954,Ana
20,YAT1,chr1,173320,+,-117,3.092391304347826,Eth
21,YAT1,chr1,173320,+,-117,3.646551724137931,Glu
22,YAT1,chr1,173320,+,-117,2.1020408163265305,Nit
23,IMA5,chr10,15255,-,-347,9.350427350427351,Ana
24,IMA5,chr10,15255,-,-347,10.702325581395348,Eth
25,IMA5,chr10,15255,-,-347,19.20567375886525,Glu
26,IMA5,chr10,15255,-,-347,5.912280701754386,Nit
27,CDC6,chr10,57922,+,-160,2.269503546099291,Glu
28,ELO1,chr10,57922,-,-335,2.269503546099291,Glu
29,MNN5,chr10,68758,+,-158,3.441860465116279,Eth
30,MNN5,chr10,68758,+,-158,4.822695035460993,Glu
31,MNN5,chr10,68758,+,-158,2.719298245614035,Nit
32,SWE1,chr10,68758,-,-612,3.441860465116279,Eth
33,SWE1,chr10,68758,-,-612,4.822695035460993,Glu
34,SWE1,chr10,68758,-,-612,2.719298245614035,Nit
35,ERG20,chr10,93627,+,-109,2.6271186440677963,Eth
36,ERG20,chr10,93627,+,-109,3.23943661971831,Glu
37,SET2,chr10,93627,-,-326,2.6271186440677963,Eth
38,SET2,chr10,93627,-,-326,3.23943661971831,Glu
39,INO1,chr10,125019,-,-322,2.0606060606060606,Glu
40,SNA3,chr10,125019,-,546,2.0606060606060606,Glu
41,URA2,chr10,162009,-,-310,2.0394736842105265,Glu
42,MCO6,chr10,170790,-,-245,2.0567375886524824,Glu
43,ASF1,chr10,184106,+,-853,2.125461254612546,Eth
44,ASF1,chr10,184106,+,-853,2.5539215686274512,Glu
45,NCA3,chr10,184106,-,-278,2.125461254612546,Eth
46,NCA3,chr10,184106,-,-278,2.5539215686274512,Glu
47,YJL107C,chr10,203834,-,-477,2.590909090909091,Eth
48,YJL107C,chr10,203834,-,-477,4.8936170212765955,Glu
49,SIP4,chr10,248936,+,-142,2.9530201342281877,Ana
50,SIP4,chr10,248936,+,-142,4.818840579710145,Eth
51,SIP4,chr10,248936,+,-142,8.3125,Glu
52,SIP4,chr10,248936,+,-142,3.582089552238806,Nit
53,IML2,chr10,264092,+,-247,2.765957446808511,Glu
54,NET1,chr10,277987,+,-461,2.153488372093023,Eth
55,NET1,chr10,277987,+,-461,2.8226950354609928,Glu
56,PRY3,chr10,277987,-,-665,2.153488372093023,Eth
57,PRY3,chr10,277987,-,-665,2.8226950354609928,Glu
58,UTP18,chr10,295848,-,132,2.4473684210526314,Nit
59,UBX6,chr10,332111,-,-194,2.978723404255319,Glu
60,YJL047C-A,chr10,332111,-,537,2.978723404255319,Glu
61,YJL045W,chr10,338758,+,-492,2.276018099547511,Eth
62,YJL045W,chr10,338758,+,-492,3.219858156028369,Glu
63,YJL045W,chr10,339042,+,-208,3.334883720930233,Eth
64,YJL045W,chr10,339042,+,-208,5.858156028368794,Glu
65,YJL045W,chr10,339042,+,-208,3.06140350877193,Nit
66,MHP1,chr10,344321,+,-109,2.773049645390071,Glu
67,VTC4,chr10,396868,-,-185,4.465116279069767,Eth
68,VTC4,chr10,396868,-,-185,4.275862068965517,Glu
69,CTK2,chr10,407489,-,-84,2.4113475177304964,Glu
70,MDE1,chr10,461085,-,-106,2.1052631578947367,Nit
71,BNA1,chr10,461085,-,620,2.1052631578947367,Nit
72,MDE1,chr10,461867,-,-888,4.017094017094017,Ana
73,MDE1,chr10,461867,-,-888,3.2093023255813953,Eth
74,MDE1,chr10,461867,-,-888,5.1063829787234045,Glu
75,MDE1,chr10,461867,-,-888,3.508771929824561,Nit
76,BNA1,chr10,461867,-,-162,4.017094017094017,Ana
77,BNA1,chr10,461867,-,-162,3.2093023255813953,Eth
78,BNA1,chr10,461867,-,-162,5.1063829787234045,Glu
79,BNA1,chr10,461867,-,-162,3.508771929824561,Nit
80,CYC1,chr10,515879,+,-276,2.372093023255814,Eth
81,ANB1,chr10,515879,-,-571,2.372093023255814,Eth
82,RPL43B,chr10,604187,+,913,4.683006535947713,Eth
83,RPL43B,chr10,604187,+,913,3.6510791366906474,Glu
84,RPL43B,chr10,604187,+,913,2.532051282051282,Nit
85,SFC1,chr10,604187,+,-427,4.683006535947713,Eth
86,SFC1,chr10,604187,+,-427,3.6510791366906474,Glu
87,SFC1,chr10,604187,+,-427,2.532051282051282,Nit
88,SFC1,chr10,604279,+,-335,19.403448275862072,Eth
89,SFC1,chr10,604279,+,-335,15.88663967611336,Glu
90,SFC1,chr10,604448,+,-166,3.3449477351916377,Eth
91,SFC1,chr10,604448,+,-166,4.257009345794392,Glu
92,SFC1,chr10,604448,+,-166,2.767741935483871,Nit
93,ADO1,chr10,618160,+,-374,2.6325581395348836,Eth
94,ADO1,chr10,618160,+,-374,4.678082191780822,Glu
95,ADO1,chr10,618160,+,-374,2.167883211678832,Nit
96,SOD1,chr10,618160,-,-118,2.6325581395348836,Eth
97,SOD1,chr10,618160,-,-118,4.678082191780822,Glu
98,SOD1,chr10,618160,-,-118,2.167883211678832,Nit
99,BAT2,chr10,700482,+,-171,3.880733944954128,Eth
100,BAT2,chr10,700482,+,-171,2.2582781456953644,Glu
101,JEN1,chr11,28117,+,-586,2.0454545454545454,Ana
102,JEN1,chr11,28117,+,-586,2.5992779783393503,Eth
103,JEN1,chr11,28117,+,-586,4.310344827586207,Glu
104,MNN4,chr11,74469,-,-439,3.0242914979757085,Eth
105,MNN4,chr11,74469,-,-439,5.6923076923076925,Glu
106,MNN4,chr11,74932,-,-902,2.5806451612903225,Ana
107,MNN4,chr11,74932,-,-902,3.175182481751825,Eth
108,MNN4,chr11,74932,-,-902,4.5,Glu
109,PXA2,chr11,95487,-,-189,2.9957805907173,Eth
110,PXA2,chr11,95487,-,-189,2.738095238095238,Glu
111,FAT3,chr11,98333,-,-307,2.152317880794702,Eth
112,FAT3,chr11,98333,-,-307,2.9184549356223175,Glu
113,FAS1,chr11,107619,+,820,2.4603174603174605,Glu
114,FAS1,chr11,107619,+,820,3.2,Nit
115,SNU114,chr11,128846,+,-95,2.407079646017699,Eth
116,SNU114,chr11,128846,+,-95,2.342105263157895,Glu
117,TPO5,chr11,128846,-,-95,2.407079646017699,Eth
118,TPO5,chr11,128846,-,-95,2.342105263157895,Glu
119,NNK1,chr11,133683,+,-155,2.070796460176991,Eth
120,NNK1,chr11,133683,+,-155,2.2039473684210527,Glu
121,OAC1,chr11,223318,+,-273,2.4964028776978417,Ana
122,OAC1,chr11,223318,+,-273,2.4892703862660945,Eth
123,OAC1,chr11,223318,+,-273,4.651315789473685,Glu
124,HAP4,chr11,237925,+,-355,5.373831775700935,Ana
125,HAP4,chr11,237925,+,-355,4.922118380062305,Eth
126,HAP4,chr11,237925,+,-355,5.59375,Glu
127,HAP4,chr11,237925,+,-355,3.699421965317919,Nit
128,CWP2,chr11,265081,+,-448,2.1232876712328768,Ana
129,CWP2,chr11,265081,+,-448,2.3529411764705883,Eth
130,CWP2,chr11,265081,+,-448,2.555066079295154,Glu
131,SRX1,chr11,284595,+,378,2.0789473684210527,Glu
132,MDH1,chr11,284595,+,-453,2.0789473684210527,Glu
133,YKL069W,chr11,314152,+,841,2.4890829694323147,Eth
134,YKL069W,chr11,314152,+,841,3.2335329341317367,Glu
135,YKL069W,chr11,314152,+,841,2.578125,Nit
136,MNR2,chr11,323498,+,-103,2.074074074074074,Ana
137,MNR2,chr11,323498,+,-103,2.787610619469026,Eth
138,MNR2,chr11,323498,+,-103,3.333333333333333,Glu
139,YET1,chr11,323498,-,-371,2.074074074074074,Ana
140,YET1,chr11,323498,-,-371,2.787610619469026,Eth
141,YET1,chr11,323498,-,-371,3.333333333333333,Glu
142,MSN4,chr11,328507,+,-640,3.452380952380952,Ana
143,MSN4,chr11,328507,+,-640,3.879598662207358,Eth
144,MSN4,chr11,328507,+,-640,6.0476190476190474,Glu
145,MSN4,chr11,328507,+,-640,2.142857142857143,Nit
146,YKL063C,chr11,328507,-,-808,3.452380952380952,Ana
147,YKL063C,chr11,328507,-,-808,3.879598662207358,Eth
148,YKL063C,chr11,328507,-,-808,6.0476190476190474,Glu
149,YKL063C,chr11,328507,-,-808,2.142857142857143,Nit
150,MMO1,chr11,361697,+,-798,5.098039215686275,Ana
