,Gene,Chr,Pos,Strand,DistanceTSS,Strength,Condition
1,FLC2,chr1,34571,+,-449,3.557377049180328,Eth
2,ACS1,chr1,34571,-,-231,3.557377049180328,Eth
3,FLC2,chr1,34647,+,-373,4.133333333333334,Eth
4,FLC2,chr1,34647,+,-373,3.910891089108911,Glu
5,ACS1,chr1,34647,-,-307,4.133333333333334,Eth
6,ACS1,chr1,34647,-,-307,3.910891089108911,Glu
7,YAT1,chr1,173241,+,-196,8.947368421052632,Eth
8,YAT1,chr1,173241,+,-196,7.792207792207792,Glu
9,MRS3,chr10,148760,+,-525,3.2021276595744683,Eth
10,MRS3,chr10,148760,+,-525,2.1868131868131866,Glu
11,MRS3,chr10,148760,+,-525,2.1097560975609757,Nit
12,DPI8,chr10,148760,-,-133,3.2021276595744683,Eth
13,DPI8,chr10,148760,-,-133,2.1868131868131866,Glu
14,DPI8,chr10,148760,-,-133,2.1097560975609757,Nit
15,MRS3,chr10,148869,+,-416,2.235294117647059,Ana
16,MRS3,chr10,148869,+,-416,17.829787234042552,Eth
17,MRS3,chr10,148869,+,-416,5.717391304347827,Glu
18,DPI8,chr10,148869,-,-242,2.235294117647059,Ana
19,DPI8,chr10,148869,-,-242,17.829787234042552,Eth
20,DPI8,chr10,148869,-,-242,5.717391304347827,Glu
21,FAT3,chr11,98910,-,-884,3.1775700934579443,Eth
22,FAT3,chr11,98910,-,-884,3.6904761904761902,Glu
23,MTR2,chr11,98910,-,885,3.1775700934579443,Eth
24,MTR2,chr11,98910,-,885,3.6904761904761902,Glu
25,COY1,chr11,118608,-,362,2.278350515463918,Eth
26,ACO1,chr12,697566,-,-425,2.5461538461538464,Ana
27,ACO1,chr12,697566,-,-425,6.2980769230769225,Eth
28,ACO1,chr12,697566,-,-425,6.125,Glu
29,ADH3,chr13,405586,+,-376,2.2063492063492065,Eth
30,SPG4,chr13,454178,+,-345,12.73529411764706,Eth
31,SPG4,chr13,454178,+,-345,13.684782608695654,Glu
32,YHM2,chr13,728916,+,-277,2.3833333333333333,Eth
33,CUS1,chr13,728916,-,-240,2.3833333333333333,Eth
34,RPS3,chr14,291953,+,-602,4.296875,Eth
35,RPS3,chr14,291953,+,-602,3.4693877551020407,Glu
36,CIT1,chr14,621092,-,-232,5.928571428571429,Eth
