,Gene,Chr,Pos,Strand,DistanceTSS,Strength,Condition
1,BDH1,chr1,23956,+,417,2.765957446808511,Ana
2,BDH1,chr1,23956,+,417,2.2593320235756384,Glu
3,FLC2,chr1,34666,+,354,2.591549295774648,Eth
4,FLC2,chr1,34666,+,354,8.283752860411898,Glu
5,ACS1,chr1,34666,-,326,2.591549295774648,Eth
6,ACS1,chr1,34666,-,326,8.283752860411898,Glu
7,GCV3,chr1,47833,-,96,3.5057208237986264,Glu
8,CDC19,chr1,60631,+,354,2.5,Glu
9,FUN30,chr1,104801,+,780,3.3230769230769233,Ana
10,FUN30,chr1,104801,+,780,4.720823798627002,Glu
11,ATS1,chr1,104801,-,970,3.3230769230769233,Ana
12,ATS1,chr1,104801,-,970,4.720823798627002,Glu
13,PSK1,chr1,108958,+,112,2.0350877192982453,Ana
14,PSK1,chr1,108958,+,112,3.3409610983981692,Glu
15,EFB1,chr1,130963,+,404,2.0915032679738563,Ana
16,EFB1,chr1,130963,+,404,6.338672768878718,Glu
17,SSA1,chr1,130963,-,256,2.0915032679738563,Ana
18,SSA1,chr1,130963,-,256,6.338672768878718,Glu
19,NUP60,chr1,140453,+,967,3.102974828375286,Glu
20,TFC3,chr1,140453,-,36,3.102974828375286,Glu
21,ADE1,chr1,152435,+,165,2.2887323943661975,Ana
22,ADE1,chr1,152435,+,165,2.110803324099723,Eth
23,ADE1,chr1,152435,+,165,6.663615560640731,Glu
24,BUD14,chr1,152435,-,139,2.2887323943661975,Ana
25,BUD14,chr1,152435,-,139,2.110803324099723,Eth
26,BUD14,chr1,152435,-,139,6.663615560640731,Glu
27,YAT1,chr1,173144,+,293,2.707692307692308,Ana
28,YAT1,chr1,173144,+,293,5.605015673981192,Eth
29,YAT1,chr1,173144,+,293,10.780320366132724,Glu
30,YAT1,chr1,173290,+,147,2.9076923076923076,Ana
31,YAT1,chr1,173290,+,147,7.498432601880878,Eth
32,YAT1,chr1,173290,+,147,11.187643020594965,Glu
33,PEX2,chr10,25509,+,151,5.326633165829146,Ana
34,PEX2,chr10,25509,+,151,5.423728813559323,Eth
35,PEX2,chr10,25509,+,151,21.634241245136188,Glu
36,PEX2,chr10,25509,+,151,2.0930232558139537,Nit
37,OPT1,chr10,25509,-,434,5.326633165829146,Ana
38,OPT1,chr10,25509,-,434,5.423728813559323,Eth
39,OPT1,chr10,25509,-,434,21.634241245136188,Glu
40,OPT1,chr10,25509,-,434,2.0930232558139537,Nit
41,ECM25,chr10,43487,+,319,2.588845654993515,Glu
42,ACO2,chr10,47834,-,206,15.050251256281408,Ana
43,ACO2,chr10,47834,-,206,11.329297820823244,Eth
44,ACO2,chr10,47834,-,206,20.996108949416342,Glu
45,RPS14B,chr10,62911,+,371,2.9145728643216082,Ana
46,RPS14B,chr10,62911,+,371,2.3728813559322037,Eth
47,RPS14B,chr10,62911,+,371,2.6848249027237356,Glu
48,SOP4,chr10,62911,-,686,2.9145728643216082,Ana
49,SOP4,chr10,62911,-,686,2.3728813559322037,Eth
50,SOP4,chr10,62911,-,686,2.6848249027237356,Glu
51,GON7,chr10,72129,+,72,2.542153047989624,Glu
52,MNN11,chr10,72129,+,654,2.542153047989624,Glu
53,ATG36,chr10,72129,-,300,2.542153047989624,Glu
54,RPB4,chr10,139318,+,298,3.0194552529182883,Glu
55,YAK1,chr10,139318,-,91,3.0194552529182883,Glu
56,MRS3,chr10,148923,+,362,2.462311557788945,Ana
57,MRS3,chr10,148923,+,362,5.875486381322958,Glu
58,DPI8,chr10,148923,-,296,2.462311557788945,Ana
59,DPI8,chr10,148923,-,296,5.875486381322958,Glu
60,URA2,chr10,161570,-,129,2.0544747081712065,Glu
61,URA2,chr10,161962,-,263,15.402010050251258,Ana
62,URA2,chr10,161962,-,263,20.72397094430993,Eth
63,URA2,chr10,161962,-,263,33.75616083009079,Glu
64,PBS2,chr10,169782,-,705,2.6070038910505837,Glu
65,MCO6,chr10,169782,-,763,2.6070038910505837,Glu
66,MCO6,chr10,170560,-,15,2.361809045226131,Ana
67,MCO6,chr10,170560,-,15,2.0103761348897535,Glu
68,ASF1,chr10,184407,+,552,3.51089588377724,Eth
69,ASF1,chr10,184407,+,552,5.62905317769131,Glu
70,NCA3,chr10,184407,-,579,3.51089588377724,Eth
71,NCA3,chr10,184407,-,579,5.62905317769131,Glu
72,YJL107C,chr10,203710,-,353,2.663316582914573,Ana
73,YJL107C,chr10,203710,-,353,2.639225181598063,Eth
74,YJL107C,chr10,203710,-,353,4.993514915693904,Glu
75,LSB6,chr10,220012,+,462,4.45136186770428,Glu
76,GSH1,chr10,220012,-,229,4.45136186770428,Glu
77,SIP4,chr10,248850,+,228,2.7314814814814814,Ana
78,SIP4,chr10,248850,+,228,9.113082039911308,Eth
79,SIP4,chr10,248850,+,228,11.958495460440986,Glu
80,ARG3,chr10,251703,+,338,9.341379310344827,Ana
81,ARG3,chr10,251703,+,338,7.326653306613228,Eth
82,ARG3,chr10,251703,+,338,26.206243032329986,Glu
83,ARG3,chr10,251755,+,286,45.61986301369863,Ana
84,ARG3,chr10,251755,+,286,26.48360655737705,Eth
85,ARG3,chr10,251755,+,286,64.08661417322834,Glu
86,ARG3,chr10,251755,+,286,2.8371212121212124,Nit
87,PRY1,chr10,274488,-,282,4.703517587939698,Ana
