,Gene,Chr,Pos,Strand,DistanceTSS,Strength,Condition
1,CDC19,chr1,60271,+,-714,11.181434599156118,Ana
2,CDC19,chr1,60271,+,-714,30.490797546012267,Eth
3,CDC19,chr1,60271,+,-714,18.958990536277604,Glu
4,IMA5,chr10,14947,-,-39,3.7142857142857144,Eth
5,IMA5,chr10,15211,-,-303,19.622881355932204,Ana
6,IMA5,chr10,15211,-,-303,67.89795918367346,Eth
7,IMA5,chr10,15211,-,-303,19.94773519163763,Glu
8,IMA5,chr10,15475,-,-567,3.561475409836066,Ana
9,IMA5,chr10,15475,-,-567,9.612244897959183,Eth
10,IMA5,chr10,15475,-,-567,3.2229965156794425,Glu
11,PEX2,chr10,25406,+,-254,4.244897959183674,Eth
12,PEX2,chr10,25406,+,-254,2.7129337539432177,Glu
13,OPT1,chr10,25406,-,-331,4.244897959183674,Eth
14,OPT1,chr10,25406,-,-331,2.7129337539432177,Glu
15,MRS3,chr10,148773,+,-512,4.349137931034483,Ana
16,MRS3,chr10,148773,+,-512,13.66938775510204,Eth
17,MRS3,chr10,148773,+,-512,8.189873417721518,Glu
18,DPI8,chr10,148773,-,-146,4.349137931034483,Ana
19,DPI8,chr10,148773,-,-146,13.66938775510204,Eth
20,DPI8,chr10,148773,-,-146,8.189873417721518,Glu
21,YJL107C,chr10,203680,-,-323,2.6530612244897958,Eth
22,SET4,chr10,207530,+,-609,2.3446969696969697,Eth
23,TAX4,chr10,261523,+,-519,2.2448979591836733,Eth
24,TAX4,chr10,261523,+,-519,2.041522491349481,Glu
25,ALY2,chr10,261523,-,-112,2.2448979591836733,Eth
26,ALY2,chr10,261523,-,-112,2.041522491349481,Glu
27,IML2,chr10,264087,+,-252,3.3632653061224493,Eth
28,IML2,chr10,264319,+,-20,2.024489795918367,Eth
29,RSF2,chr10,658126,-,-347,2.420408163265306,Eth
30,MNN4,chr11,74488,-,-458,2.233009708737864,Eth
31,HAP4,chr11,237698,+,-582,7.213375796178345,Eth
32,HAP4,chr11,237698,+,-582,2.045845272206304,Glu
33,MSN4,chr11,328444,+,-703,2.0788381742738586,Ana
34,MSN4,chr11,328444,+,-703,6.9546925566343045,Eth
35,MSN4,chr11,328444,+,-703,4.84984984984985,Glu
36,YKL063C,chr11,328444,-,-745,2.0788381742738586,Ana
37,YKL063C,chr11,328444,-,-745,6.9546925566343045,Eth
