,Gene,Chr,Pos,Strand,DistanceTSS,Strength,Condition
1,FLC2,chr1,34412,+,-608,2.2476190476190476,Ana
2,ACS1,chr1,34412,-,-72,2.2476190476190476,Ana
3,CYC3,chr1,58170,-,690,2.0789473684210527,Ana
4,IMA5,chr10,15170,-,-262,5.504347826086956,Ana
5,IMA5,chr10,15170,-,-262,4.882591093117409,Glu
6,MRS3,chr10,148779,+,-506,2.5864661654135337,Ana
7,DPI8,chr10,148779,-,-152,2.5864661654135337,Ana
8,ASF1,chr10,184394,+,-565,2.456896551724138,Ana
9,NCA3,chr10,184394,-,-566,2.456896551724138,Ana
10,NET1,chr10,277925,+,-523,2.608695652173913,Ana
11,PRY3,chr10,277925,-,-603,2.608695652173913,Ana
12,YMR1,chr10,628107,+,-352,4.439024390243902,Ana
13,CPA2,chr10,628107,-,-118,4.439024390243902,Ana
14,DAN1,chr10,705112,-,-398,2.1714285714285713,Ana
15,URA1,chr11,31639,+,-41,2.0258064516129033,Ana
16,MNN4,chr11,74443,-,-413,3.868263473053892,Ana
17,FAT3,chr11,98363,-,-337,3.1962025316455693,Ana
18,HAP4,chr11,237455,+,-825,3.8811881188118815,Ana
19,HAP4,chr11,237705,+,-575,2.6476190476190475,Ana
20,CWP2,chr11,265098,+,-431,2.4078947368421053,Ana
21,MSN4,chr11,328557,+,-590,2.289473684210526,Ana
22,YKL063C,chr11,328557,-,-858,2.289473684210526,Ana
23,SFK1,chr11,346748,+,-419,5.730263157894737,Ana
24,ASK1,chr11,346748,-,-163,5.730263157894737,Ana
25,MMO1,chr11,361889,+,-606,4.846153846153846,Ana
26,PHD1,chr11,361889,+,-901,4.846153846153846,Ana
27,IXR1,chr11,388230,-,-260,2.217105263157895,Ana
28,TFA1,chr11,391170,+,-544,19.697142857142858,Ana
29,TFA1,chr11,391170,+,-544,4.833537331701346,Eth
30,TFA1,chr11,391170,+,-544,15.081699346405228,Glu
31,MAE1,chr11,391170,-,-396,19.697142857142858,Ana
32,MAE1,chr11,391170,-,-396,4.833537331701346,Eth
33,MAE1,chr11,391170,-,-396,15.081699346405228,Glu
34,YKR041W,chr11,523222,+,-898,3.2580645161290325,Ana
35,PTR2,chr11,620639,+,-764,2.842105263157895,Ana
36,SRP40,chr11,620639,-,-961,2.842105263157895,Ana
37,PCK1,chr11,636334,+,-427,75.9151515151515,Ana
38,PCK1,chr11,636334,+,-427,37.36401673640167,Eth
39,PCK1,chr11,636334,+,-427,58.67101303911735,Glu
40,PCK1,chr11,636334,+,-427,7.5098814229249005,Nit
41,PCK1,chr11,636414,+,-347,6.662756598240469,Ana
42,PCK1,chr11,636414,+,-347,6.886382623224728,Eth
43,PCK1,chr11,636414,+,-347,10.404020100502512,Glu
44,TPO1,chr12,69209,+,-377,8.708661417322835,Ana
45,TPO1,chr12,69209,+,-377,2.6252983293556085,Eth
46,TPO1,chr12,69209,+,-377,4.156015037593985,Glu
47,ISA1,chr12,71925,+,-180,2.0071942446043165,Ana
48,PDC1,chr12,213728,-,-515,27.296774193548387,Ana
49,PDC1,chr12,213728,-,-515,4.494252873563219,Eth
50,PDC1,chr12,213728,-,-515,11.987200000000001,Glu
51,ERG3,chr12,232560,+,-307,4.418439716312057,Ana
52,ERG3,chr12,232560,+,-307,2.667315175097276,Glu
53,SPT8,chr12,232560,-,-349,4.418439716312057,Ana
54,SPT8,chr12,232560,-,-349,2.667315175097276,Glu
55,CHA4,chr12,318577,-,-77,2.798507462686567,Ana
56,YLR112W,chr12,349561,+,-201,2.159090909090909,Ana
57,HOG1,chr12,349561,+,-935,2.159090909090909,Ana
58,CCW12,chr12,349561,-,-406,2.159090909090909,Ana
59,PUT1,chr12,403737,+,-433,3.256944444444444,Ana
60,SLS1,chr12,403737,-,-870,3.256944444444444,Ana
61,ECM22,chr12,562857,-,-568,2.6546762589928057,Ana
62,HAP1,chr12,605806,+,-130,4.92741935483871,Ana
63,NDL1,chr12,605806,-,-927,4.92741935483871,Ana
64,MRPL15,chr12,718509,+,-513,2.078125,Ana
65,ATG39,chr12,718509,-,-22,2.078125,Ana
66,NMA1,chr12,744087,+,-155,2.416666666666667,Ana
67,NUP2,chr12,756664,+,-276,2.16260162601626,Ana
68,RPS25B,chr12,756664,-,-757,2.16260162601626,Ana
69,FKS1,chr12,768804,+,-476,5.0,Ana
70,FBP1,chr12,834738,-,-416,2.5934959349593494,Ana
71,SFP1,chr12,884071,+,-315,3.089430894308943,Ana
72,DUS3,chr12,884071,-,-123,3.089430894308943,Ana
73,GTR1,chr13,20869,+,-575,2.1181102362204722,Ana
74,PHO84,chr13,20869,-,139,2.1181102362204722,Ana
75,UFO1,chr13,85813,+,-926,11.185628742514972,Ana
