,Gene,Chr,Pos,Strand,DistanceTSS,Strength,Condition
1,YAT1,chr1,173337,+,-100,2.202380952380952,Ana
2,YAT1,chr1,173337,+,-100,3.0,Eth
3,YAT1,chr1,173337,+,-100,3.277310924369748,Glu
4,IMA5,chr10,15197,-,-289,2.906976744186047,Eth
5,IMA5,chr10,15197,-,-289,3.056074766355141,Glu
6,YJL107C,chr10,203956,-,-599,3.7441860465116283,Eth
7,SIP4,chr10,248917,+,-161,2.3211009174311927,Glu
8,YJL045W,chr10,338755,+,-495,2.0930232558139537,Eth
9,YJL045W,chr10,338755,+,-495,2.2752293577981653,Glu
10,RPL43B,chr10,604179,+,905,2.142857142857143,Ana
11,RPL43B,chr10,604179,+,905,4.708333333333333,Eth
12,RPL43B,chr10,604179,+,905,5.878048780487806,Glu
13,SFC1,chr10,604179,+,-435,2.142857142857143,Ana
14,SFC1,chr10,604179,+,-435,4.708333333333333,Eth
15,SFC1,chr10,604179,+,-435,5.878048780487806,Glu
16,ATP2,chr10,642234,+,-146,2.068702290076336,Glu
17,MNN4,chr11,74382,-,-352,2.983050847457627,Eth
18,NNK1,chr11,133716,+,-122,3.1538461538461533,Eth
19,NNK1,chr11,133716,+,-122,4.00763358778626,Glu
20,HAP4,chr11,237556,+,-724,7.229508196721312,Eth
21,HAP4,chr11,237556,+,-724,12.368055555555555,Glu
22,HAP4,chr11,237790,+,-490,5.268518518518518,Ana
23,HAP4,chr11,237790,+,-490,11.88888888888889,Eth
24,HAP4,chr11,237790,+,-490,27.22297297297297,Glu
25,HAP4,chr11,237790,+,-490,3.7848101265822782,Nit
26,CWP2,chr11,265175,+,-354,2.015267175572519,Glu
27,TFA1,chr11,391176,+,-538,6.8538461538461535,Ana
28,TFA1,chr11,391176,+,-538,4.564516129032258,Eth
29,TFA1,chr11,391176,+,-538,8.992366412213741,Glu
30,TFA1,chr11,391176,+,-538,2.0135135135135136,Nit
31,MAE1,chr11,391176,-,-402,6.8538461538461535,Ana
32,MAE1,chr11,391176,-,-402,4.564516129032258,Eth
33,MAE1,chr11,391176,-,-402,8.992366412213741,Glu
34,MAE1,chr11,391176,-,-402,2.0135135135135136,Nit
35,TFA1,chr11,391266,+,-448,2.0172413793103448,Eth
36,TFA1,chr11,391266,+,-448,2.6106870229007635,Glu
37,MAE1,chr11,391266,-,-492,2.0172413793103448,Eth
38,MAE1,chr11,391266,-,-492,2.6106870229007635,Glu
39,PCK1,chr11,636322,+,-439,49.81818181818182,Ana
40,PCK1,chr11,636322,+,-439,35.29333333333333,Eth
41,PCK1,chr11,636322,+,-439,27.5,Glu
42,PCK1,chr11,636322,+,-439,6.84,Nit
43,PCK1,chr11,636338,+,-423,48.42307692307692,Ana
44,PCK1,chr11,636338,+,-423,14.666666666666666,Eth
45,PCK1,chr11,636338,+,-423,29.104972375690604,Glu
46,PCK1,chr11,636338,+,-423,23.976,Nit
47,PCK1,chr11,636372,+,-389,15.7125,Ana
48,PCK1,chr11,636372,+,-389,27.961038961038962,Eth
49,PCK1,chr11,636372,+,-389,18.02209944751381,Glu
50,PCK1,chr11,636372,+,-389,9.495934959349592,Nit
51,TPO1,chr12,69144,+,-442,3.0078125,Glu
52,PDC1,chr12,213743,-,-530,3.4952380952380957,Ana
53,PDC1,chr12,213743,-,-530,3.3846153846153846,Eth
54,PDC1,chr12,213743,-,-530,3.1851851851851856,Glu
55,ERG3,chr12,232598,+,-269,4.636363636363637,Eth
56,ERG3,chr12,232598,+,-269,3.2681564245810057,Glu
57,SPT8,chr12,232598,-,-387,4.636363636363637,Eth
58,SPT8,chr12,232598,-,-387,3.2681564245810057,Glu
59,YLR112W,chr12,349551,+,-211,2.6153846153846154,Eth
60,HOG1,chr12,349551,+,-945,2.6153846153846154,Eth
61,CCW12,chr12,349551,-,-396,2.6153846153846154,Eth
62,YLR152C,chr12,424230,-,-368,2.471544715447154,Glu
63,ACS2,chr12,427511,-,-891,2.5818181818181816,Eth
64,RNH203,chr12,427511,-,-128,2.5818181818181816,Eth
65,IDP2,chr12,464183,+,-254,4.630434782608696,Eth
66,IDP2,chr12,464183,+,-254,2.381294964028777,Glu
67,YLR297W,chr12,683028,+,-461,2.533333333333333,Eth
68,MRPL15,chr12,718690,+,-332,4.673913043478262,Eth
69,MRPL15,chr12,718690,+,-332,2.617391304347826,Glu
70,ATG39,chr12,718690,-,-203,4.673913043478262,Eth
71,ATG39,chr12,718690,-,-203,2.617391304347826,Glu
72,FBP1,chr12,834707,-,-385,2.5999999999999996,Ana
73,FBP1,chr12,834707,-,-385,19.16,Eth
74,FBP1,chr12,834707,-,-385,21.38059701492537,Glu
75,FBP1,chr12,834747,-,-425,3.088888888888889,Ana
76,FBP1,chr12,834747,-,-425,12.940000000000001,Eth
77,FBP1,chr12,834747,-,-425,15.022388059701493,Glu
78,FBP1,chr12,834747,-,-425,2.2463768115942027,Nit
79,FBP1,chr12,834782,-,-460,2.6444444444444444,Ana
80,FBP1,chr12,834782,-,-460,15.411764705882353,Eth
81,FBP1,chr12,834782,-,-460,15.242424242424242,Glu
82,SFP1,chr12,884181,+,-205,2.1327433628318584,Glu
83,DUS3,chr12,884181,-,-233,2.1327433628318584,Glu
84,UFO1,chr13,85807,+,-932,6.5,Ana
85,UFO1,chr13,85807,+,-932,3.576576576576577,Glu
86,RPM2,chr13,85807,-,304,6.5,Ana
87,RPM2,chr13,85807,-,304,3.576576576576577,Glu
88,RPL6A,chr13,118872,-,-143,2.1621621621621623,Glu
89,VPS71,chr13,184681,-,-327,2.1621621621621623,Glu
90,MSN2,chr13,330019,-,-307,3.508771929824561,Eth
91,MSN2,chr13,330019,-,-307,3.273381294964029,Glu
92,NAT4,chr13,379662,+,673,3.2173913043478266,Eth
93,NAT4,chr13,379662,+,673,2.4347826086956523,Glu
94,MOT3,chr13,379662,+,-488,3.2173913043478266,Eth
95,MOT3,chr13,379662,+,-488,2.4347826086956523,Glu
96,GAT2,chr13,517752,+,-780,2.565217391304348,Eth
97,GAT2,chr13,517752,+,-780,4.796992481203007,Glu
98,GID8,chr13,517752,-,-212,2.565217391304348,Eth
99,GID8,chr13,517752,-,-212,4.796992481203007,Glu
100,GAT2,chr13,518221,+,-311,3.0384615384615383,Glu
101,GID8,chr13,518221,-,-681,3.0384615384615383,Glu
102,ICY1,chr13,630538,+,-809,2.7884615384615383,Ana
103,ICY1,chr13,630538,+,-809,2.8636363636363638,Eth
104,ICY1,chr13,630538,+,-809,2.7109375,Glu
105,CMC4,chr13,630538,-,-235,2.7884615384615383,Ana
106,CMC4,chr13,630538,-,-235,2.8636363636363638,Eth
107,CMC4,chr13,630538,-,-235,2.7109375,Glu
108,HOR7,chr13,751284,+,-367,2.523076923076923,Eth
109,RHO5,chr14,291271,-,-540,3.888888888888889,Eth
110,RHO5,chr14,291271,-,-540,5.568862275449102,Glu
111,YNL144C,chr14,345592,-,-551,2.0576923076923075,Ana
112,YNL144C,chr14,345592,-,-551,2.6999999999999997,Glu
113,MEP2,chr14,347457,+,210,2.394230769230769,Nit
114,MLS1,chr14,395745,+,-384,4.150943396226415,Eth
115,MLS1,chr14,395745,+,-384,3.103448275862069,Glu
116,DCP2,chr14,395745,-,-284,4.150943396226415,Eth
117,DCP2,chr14,395745,-,-284,3.103448275862069,Glu
118,AQR1,chr14,492766,+,-583,2.6451612903225805,Ana
119,AQR1,chr14,493071,+,-278,59.12422360248446,Ana
120,AQR1,chr14,493071,+,-278,3.020408163265306,Eth
121,AQR1,chr14,493071,+,-278,11.78861788617886,Glu
122,AQR1,chr14,493071,+,-278,4.184782608695652,Nit
123,AQR1,chr14,493122,+,-227,62.77358490566038,Ana
124,AQR1,chr14,493122,+,-227,8.375000000000002,Eth
125,AQR1,chr14,493122,+,-227,6.967213114754099,Glu
126,AQR1,chr14,493122,+,-227,4.184782608695652,Nit
127,NCE103,chr14,549339,+,-136,2.1363636363636362,Glu
128,IDH1,chr14,549339,-,-520,2.1363636363636362,Glu
129,TIM23,chr14,651930,+,-478,2.5090909090909093,Glu
130,ACC1,chr14,651930,-,-330,2.5090909090909093,Glu
131,RCF2,chr14,653619,+,-322,3.3191489361702127,Eth
132,RCF2,chr14,653619,+,-322,3.1176470588235294,Glu
133,TRM13,chr15,83158,+,-462,4.630769230769231,Eth
134,TRM13,chr15,83158,+,-462,3.1555555555555554,Glu
135,MDH2,chr15,83158,-,-226,4.630769230769231,Eth
136,MDH2,chr15,83158,-,-226,3.1555555555555554,Glu
137,TRM13,chr15,83285,+,-335,2.753846153846154,Eth
138,MDH2,chr15,83285,-,-353,2.753846153846154,Eth
139,MHF1,chr15,153409,+,303,2.7027027027027026,Nit
140,DUF1,chr15,153409,-,-507,2.7027027027027026,Nit
141,PHM7,chr15,155823,+,-421,3.825174825174825,Glu
142,DDR2,chr15,226226,-,-482,3.0769230769230766,Eth
