,Gene,Chr,Pos,Strand,DistanceTSS,Strength,Condition
1,GDH3,chr1,20977,+,190,10.223443223443224,Ana
2,GDH3,chr1,20977,+,190,8.91171749598716,Eth
3,GDH3,chr1,20977,+,190,9.4859375,Glu
4,GDH3,chr1,20977,+,190,5.69247311827957,Nit
5,GDH3,chr1,21078,+,291,2.816849816849817,Ana
6,GDH3,chr1,21078,+,291,4.507223113964687,Eth
7,GDH3,chr1,21078,+,291,3.9515625,Glu
8,GDH3,chr1,21078,+,291,3.167741935483871,Nit
9,BDH1,chr1,24701,+,328,2.758241758241758,Ana
10,BDH1,chr1,24701,+,328,8.14446227929374,Eth
11,BDH1,chr1,24701,+,328,6.3,Glu
12,FLC2,chr1,34673,+,-347,16.725274725274726,Ana
13,FLC2,chr1,34673,+,-347,24.187800963081866,Eth
14,FLC2,chr1,34673,+,-347,34.3625,Glu
15,FLC2,chr1,34673,+,-347,3.703225806451613,Nit
16,ACS1,chr1,34673,-,-333,16.725274725274726,Ana
17,ACS1,chr1,34673,-,-333,24.187800963081866,Eth
18,ACS1,chr1,34673,-,-333,34.3625,Glu
19,ACS1,chr1,34673,-,-333,3.703225806451613,Nit
20,FLC2,chr1,34750,+,-270,7.816849816849817,Ana
21,FLC2,chr1,34750,+,-270,13.837881219903693,Eth
22,FLC2,chr1,34750,+,-270,11.6375,Glu
23,FLC2,chr1,34750,+,-270,3.7806451612903227,Nit
24,ACS1,chr1,34750,-,-410,7.816849816849817,Ana
25,ACS1,chr1,34750,-,-410,13.837881219903693,Eth
26,ACS1,chr1,34750,-,-410,11.6375,Glu
27,ACS1,chr1,34750,-,-410,3.7806451612903227,Nit
28,ERV46,chr1,50814,+,253,2.1978021978021975,Ana
29,ERV46,chr1,50814,+,253,4.991974317817014,Eth
30,ERV46,chr1,50814,+,253,4.265625,Glu
31,PTA1,chr1,50814,-,-470,2.1978021978021975,Ana
32,PTA1,chr1,50814,-,-470,4.991974317817014,Eth
33,PTA1,chr1,50814,-,-470,4.265625,Glu
34,CLN3,chr1,58082,-,-977,3.707865168539326,Eth
35,CLN3,chr1,58082,-,-977,2.1421875,Glu
36,CYC3,chr1,58082,-,778,3.707865168539326,Eth
37,CYC3,chr1,58082,-,778,2.1421875,Glu
38,CYC3,chr1,58332,-,528,2.161172161172161,Ana
39,CYC3,chr1,58332,-,528,3.4510433386837884,Eth
40,CDC19,chr1,60496,+,-489,2.1245421245421245,Ana
41,CDC19,chr1,60496,+,-489,2.520064205457464,Eth
42,CDC19,chr1,60496,+,-489,3.296875,Glu
43,DRS2,chr1,89105,-,-96,33.93040293040293,Ana
44,DRS2,chr1,89105,-,-96,19.499197431781703,Eth
45,DRS2,chr1,89105,-,-96,22.5640625,Glu
46,DRS2,chr1,89105,-,-96,27.52233009708738,Nit
47,DRS2,chr1,89379,-,-370,2.3333333333333335,Ana
48,DRS2,chr1,89379,-,-370,2.1968503937007875,Nit
49,PSK1,chr1,108963,+,-107,24.93040293040293,Ana
50,PSK1,chr1,108963,+,-107,18.38523274478331,Eth
51,PSK1,chr1,108963,+,-107,20.0921875,Glu
52,PSK1,chr1,108963,+,-107,11.095634095634097,Nit
53,PSK1,chr1,109106,+,36,3.567765567765568,Ana
54,PSK1,chr1,109106,+,36,2.754414125200642,Eth
55,PSK1,chr1,109106,+,36,3.1578125,Glu
56,PSK1,chr1,109106,+,36,2.296218487394958,Nit
57,CYS3,chr1,119653,+,-296,2.2637362637362637,Ana
58,CYS3,chr1,119653,+,-296,3.150882825040129,Eth
59,CYS3,chr1,119653,+,-296,3.18125,Glu
60,CYS3,chr1,119653,+,-296,2.804301075268817,Nit
61,CYS3,chr1,119798,+,-151,26.93040293040293,Ana
62,CYS3,chr1,119798,+,-151,26.447833065810595,Eth
63,CYS3,chr1,119798,+,-151,27.428125,Glu
64,CYS3,chr1,119798,+,-151,21.088172043010754,Nit
65,ERP2,chr1,127615,-,16,2.0224719101123596,Eth
66,EFB1,chr1,131080,+,-287,7.399267399267399,Ana
67,EFB1,chr1,131080,+,-287,9.181380417335474,Eth
68,EFB1,chr1,131080,+,-287,10.421875,Glu
69,EFB1,chr1,131080,+,-287,2.193548387096774,Nit
70,SSA1,chr1,131080,-,-373,7.399267399267399,Ana
71,SSA1,chr1,131080,-,-373,9.181380417335474,Eth
72,SSA1,chr1,131080,-,-373,10.421875,Glu
73,SSA1,chr1,131080,-,-373,2.193548387096774,Nit
74,NUP60,chr1,140600,+,-820,17.926739926739927,Ana
75,NUP60,chr1,140600,+,-820,10.617977528089888,Eth
76,NUP60,chr1,140600,+,-820,15.1734375,Glu
77,NUP60,chr1,140600,+,-820,21.746236559139785,Nit
78,TFC3,chr1,140600,-,-183,17.926739926739927,Ana
79,TFC3,chr1,140600,-,-183,10.617977528089888,Eth
80,TFC3,chr1,140600,-,-183,15.1734375,Glu
81,TFC3,chr1,140600,-,-183,21.746236559139785,Nit
82,NUP60,chr1,140836,+,-584,6.212454212454212,Ana
83,NUP60,chr1,140836,+,-584,3.0417335473515252,Eth
84,NUP60,chr1,140836,+,-584,3.7171875,Glu
85,NUP60,chr1,140836,+,-584,15.823655913978493,Nit
86,TFC3,chr1,140836,-,-419,6.212454212454212,Ana
87,TFC3,chr1,140836,-,-419,3.0417335473515252,Eth
88,TFC3,chr1,140836,-,-419,3.7171875,Glu
89,TFC3,chr1,140836,-,-419,15.823655913978493,Nit
90,YAT1,chr1,173134,+,-303,10.561797752808989,Eth
