,Gene,Chr,Pos,Strand,DistanceTSS,Strength,Condition
1,FLC2,chr1,34708,+,-312,2.583732057416268,Ana
2,FLC2,chr1,34708,+,-312,2.6315789473684212,Glu
3,ACS1,chr1,34708,-,-368,2.583732057416268,Ana
4,ACS1,chr1,34708,-,-368,2.6315789473684212,Glu
5,CYC3,chr1,59390,-,-530,5.046511627906977,Ana
6,CYC3,chr1,59390,-,-530,3.473684210526316,Eth
7,CYC3,chr1,59390,-,-530,3.6986301369863015,Glu
8,CYC3,chr1,59390,-,-530,3.10580204778157,Nit
9,CDC6,chr10,57706,+,-376,5.992366412213741,Ana
10,CDC6,chr10,57706,+,-376,6.0,Eth
11,CDC6,chr10,57706,+,-376,7.586206896551724,Glu
12,CDC6,chr10,57706,+,-376,5.251798561151079,Nit
13,ELO1,chr10,57706,-,-119,5.992366412213741,Ana
14,ELO1,chr10,57706,-,-119,6.0,Eth
15,ELO1,chr10,57706,-,-119,7.586206896551724,Glu
16,ELO1,chr10,57706,-,-119,5.251798561151079,Nit
17,RPL39,chr10,64425,+,-266,3.4333333333333336,Eth
18,RPS22A,chr10,64425,-,-323,3.4333333333333336,Eth
19,RPL39,chr10,64573,+,-118,4.8999999999999995,Eth
20,RPL39,chr10,64573,+,-118,2.8,Glu
21,RPS22A,chr10,64573,-,-471,4.8999999999999995,Eth
22,RPS22A,chr10,64573,-,-471,2.8,Glu
23,INO1,chr10,124940,-,-243,3.7441860465116283,Eth
24,SNA3,chr10,124940,-,625,3.7441860465116283,Eth
25,DAS1,chr10,125148,+,-936,17.31111111111111,Ana
26,DAS1,chr10,125148,+,-936,22.595238095238095,Eth
27,DAS1,chr10,125148,+,-936,33.84615384615385,Glu
28,DAS1,chr10,125148,+,-936,7.145833333333333,Nit
29,INO1,chr10,125148,-,-451,17.31111111111111,Ana
30,INO1,chr10,125148,-,-451,22.595238095238095,Eth
31,INO1,chr10,125148,-,-451,33.84615384615385,Glu
32,INO1,chr10,125148,-,-451,7.145833333333333,Nit
33,SNA3,chr10,125148,-,417,17.31111111111111,Ana
34,SNA3,chr10,125148,-,417,22.595238095238095,Eth
35,SNA3,chr10,125148,-,417,33.84615384615385,Glu
36,SNA3,chr10,125148,-,417,7.145833333333333,Nit
37,ASF1,chr10,184112,+,-847,4.615384615384615,Glu
