ensembl_gene_id;name_1006
YHR055C;cadmium ion binding
YHR055C;detoxification of copper ion
YHR055C;detoxification of cadmium ion
YHR055C;response to copper ion
YHR055C;superoxide dismutase activity
YHR055C;removal of superoxide radicals
YHR055C;copper ion binding
YHR055C;antioxidant activity
YHR055C;cytosol
YPR161C;ATP binding
YPR161C;transcription, DNA-templated
YPR161C;nucleus
YPR161C;regulation of cell cycle
YPR161C;protein kinase activity
YPR161C;phosphorylation of RNA polymerase II C-terminal domain
YPR161C;cyclin-dependent protein kinase holoenzyme complex
YPR161C;protein phosphorylation
YPR161C;RNA polymerase II carboxy-terminal domain kinase activity
YPR161C;cyclin-dependent protein serine/threonine kinase activity
YPR161C;positive regulation of histone H3-K4 methylation
YOL138C;zinc ion binding
YOL138C;protein transport
YOL138C;extrinsic component of fungal-type vacuolar membrane
YOL138C;Seh1-associated complex
YOL138C;protein binding
YDR395W;binding
YDR395W;intracellular protein transport
YDR395W;protein transporter activity
YDR395W;cytoplasm
YDR395W;nucleus
YDR395W;mRNA export from nucleus
YDR395W;nuclear pore
YDR395W;nucleocytoplasmic transport
YDR395W;Ran GTPase binding
YGR129W;cytosol
YGR129W;nucleus
YGR129W;Prp19 complex
YGR129W;U2-type catalytic step 1 spliceosome
YGR129W;mRNA splicing, via spliceosome
YGR129W;U2-type prespliceosome
YGR129W;U2-type post-mRNA release spliceosomal complex
YGR129W;U2-type catalytic step 2 spliceosome
YPR165W;GTPase activity
YPR165W;GTP binding
YPR165W;mating projection tip
YPR165W;endosome membrane
YPR165W;Golgi apparatus
YPR165W;peroxisomal membrane
YPR165W;cellular bud tip
YPR165W;small GTPase mediated signal transduction
YPR165W;cellular bud neck
YPR165W;incipient cellular bud site
YPR165W;regulation of fungal-type cell wall organization
YPR165W;obsolete GTP catabolic process
YPR165W;regulation of protein localization
YPR165W;actin cytoskeleton organization
YPR165W;peroxisome
YPR165W;budding cell bud growth
YPR165W;regulation of cell size
YPR165W;regulation of vacuole fusion, non-autophagic
YPR165W;regulation of cell wall (1->3)-beta-D-glucan biosynthetic process
YPR165W;1,3-beta-D-glucan synthase complex
YPR165W;actin cytoskeleton reorganization
YPR165W;positive regulation of endocytosis
YPR165W;regulation of exocyst localization
YPR165W;positive regulation of protein kinase C signaling
YPR098C;mitochondrial outer membrane
YPR098C;biological_process
YPR098C;molecular_function
YPR098C;integral component of membrane
YPR098C;membrane
YPR098C;mitochondrion
YPL015C;protein deacetylation
YPL015C;cytoplasm
YPL015C;zinc ion binding
YPL015C;transcription, DNA-templated
YPL015C;nucleus
YPL015C;NAD-dependent histone deacetylase activity
YPL015C;NAD+ binding
YPL015C;negative regulation of chromatin silencing at telomere
YPL015C;negative regulation of mitotic recombination
YPL015C;chromatin silencing at rDNA
YPL015C;chronological cell aging
YPL015C;NAD binding
YPL015C;NAD-dependent histone deacetylase activity (H4-K16 specific)
YPL015C;histone H4 deacetylation
YPL015C;hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
YCL050C;bis(5'-nucleosyl)-tetraphosphatase activity
YCL050C;sulfate adenylyltransferase (ADP) activity
YCL050C;nucleotidyltransferase activity
YCL050C;ATP adenylyltransferase activity
YCL050C;nucleotide binding
YCL050C;ATP binding
YCL050C;metabolic process
YCL050C;transferase activity
YCL050C;catalytic activity
YCL050C;hydrolase activity
YCL050C;nucleotide metabolic process
YCL050C;nucleus
YCL050C;cytoplasm
YCL050C;nucleoside catabolic process
YCL050C;nucleotide biosynthetic process
YAL069W;
YMR193W;mitochondrial large ribosomal subunit
YMR193W;mitochondrial translation
YMR193W;structural constituent of ribosome
YMR193W;intracellular ribonucleoprotein complex
YMR193W;ribosome
YMR193W;translation
YMR193W;intracellular
YMR193W;mitochondrion
YLR031W;biological_process
YLR031W;molecular_function
YLR031W;cellular_component
YIL014C-A;biological_process
YIL014C-A;molecular_function
YIL014C-A;cellular_component
YGR053C;biological_process
YGR053C;molecular_function
YGR053C;cellular_component
YCR101C;obsolete membrane fraction
YCR101C;biological_process
YCR101C;molecular_function
YCR101C;integral component of membrane
YCR101C;membrane
YER087C-B;intracellular protein transport
YER087C-B;integral component of membrane
YER087C-B;ARF guanyl-nucleotide exchange factor activity
YER087C-B;positive regulation of GTPase activity
YER087C-B;SRP-dependent cotranslational protein targeting to membrane, translocation
YER087C-B;posttranslational protein targeting to membrane, translocation
YER087C-B;Sec61 translocon complex
YOR280C;
YOR280C;biological_process
YOR280C;molecular_function
YOR280C;hydrolase activity
YOR280C;cellular_component
YOR280C;carboxylic ester hydrolase activity
YGR097W;positive regulation of glycerol transport
YGR097W;cellular response to oxidative stress
YGR097W;transcription, DNA-templated
YGR097W;DNA-directed RNA polymerase II, holoenzyme
YGR097W;cytoplasm
YGR097W;positive regulation of transcription from RNA polymerase II promoter
YGR097W;cellular protein catabolic process
YHR215W;dephosphorylation
YHR215W;phosphatase activity
YHR215W;acid phosphatase activity
YKL025C;ATP binding
YKL025C;DNA repair
YKL025C;metal ion binding
YKL025C;mRNA processing
YKL025C;nuclear-transcribed mRNA poly(A) tail shortening
YKL025C;protein kinase activity
YKL025C;PAN complex
YKL025C;postreplication repair
YKL025C;RNA phosphodiester bond hydrolysis, exonucleolytic
YKL025C;protein phosphorylation
YKL025C;
YKR011C;biological_process
YKR011C;molecular_function
YKR011C;nucleus
YEL004W;carbohydrate transport
YEL004W;fungal-type cell wall chitin biosynthetic process
YEL004W;endoplasmic reticulum
YEL004W;endoplasmic reticulum membrane
YEL004W;integral component of membrane
YEL004W;transmembrane transport
YEL004W;transport
YEL004W;membrane
YEL004W;nucleotide-sugar transport
YEL004W;nucleotide-sugar transmembrane transporter activity
YEL004W;UDP-N-acetylglucosamine transmembrane transporter activity
YEL004W;UDP-glucose transport
YEL004W;UDP-N-acetylglucosamine transport
YJL200C;iron-sulfur cluster binding
YJL200C;
YJL200C;isocitrate hydro-lyase (cis-aconitate-forming) activity
YJL200C;4 iron, 4 sulfur cluster binding
YJL200C;aconitate hydratase activity
YJL200C;tricarboxylic acid cycle
YJL200C;biological_process
YJL200C;lyase activity
YJL200C;metabolic process
YJL200C;metal ion binding
YJL200C;mitochondrion
YJL200C;lysine biosynthetic process via aminoadipic acid
YLL027W;iron-sulfur cluster assembly
YLL027W;structural molecule activity
YLL027W;iron ion binding
YLL027W;mitochondrial matrix
YLL027W;iron-sulfur cluster binding
YLL027W;biotin biosynthetic process
YOR024W;
YLR045C;binding
YLR045C;structural constituent of cytoskeleton
YLR045C;microtubule binding
YLR045C;spindle pole body
YLR045C;condensed nuclear chromosome kinetochore
YLR045C;kinetochore
YLR045C;mitotic spindle organization in nucleus
YLR045C;microtubule nucleation
YLR045C;cell cortex
YLR045C;spindle microtubule
YDR348C;cellular bud neck
YDR348C;plasma membrane
YDR348C;biological_process
YDR348C;mating projection tip
YDR348C;molecular_function
YDR348C;membrane
YDR348C;endocytosis
YDR348C;cell cortex
YPL183C;cytoplasm
YPL183C;tRNA processing
YPL183C;endosome
YPL183C;endocytic recycling
YPL183C;protein binding
YGR003W;Cul3-RING ubiquitin ligase complex
YGR003W;protein ubiquitination involved in ubiquitin-dependent protein catabolic process
YGR003W;ubiquitin-dependent protein catabolic process
YGR003W;cullin-RING ubiquitin ligase complex
YGR003W;ubiquitin-protein transferase activity
YGR003W;ubiquitin protein ligase binding
YGR003W;nucleus
YGR003W;cytoplasm
YEL008C-A;
YBL095W;biological_process
YBL095W;molecular_function
YBL095W;mitochondrion
YGL060W;CENP-A containing nucleosome
YGL060W;G2/M transition of mitotic cell cycle
YGL060W;condensed nuclear chromosome kinetochore
YGL060W;molecular_function
YGL060W;cytoplasm
YGL060W;mitotic spindle organization
YGL060W;cell cycle G2/M phase transition
YLL007C;biological_process
YLL007C;molecular_function
YLL007C;cytoplasm
YEL009C;positive regulation of transcription initiation from RNA polymerase II promoter
YEL009C;nitrogen catabolite activation of transcription from RNA polymerase II promoter
YEL009C;negative regulation of transcription by competitive promoter binding
YEL009C;negative regulation of ribosomal protein gene transcription from RNA polymerase II promoter in response to nutrient levels
YEL009C;transcriptional repressor activity, RNA polymerase II transcription factor binding
YEL009C;transcription factor activity, TFIID-class binding
YEL009C;transcription factor activity, RNA polymerase II transcription factor recruiting
YEL009C;positive regulation of RNA polymerase II transcriptional preinitiation complex assembly
YEL009C;transcriptional activator activity, RNA polymerase II transcription factor binding
YEL009C;cellular amino acid biosynthetic process
YEL009C;nucleic acid binding
YEL009C;protein dimerization activity
YEL009C;transcription factor activity, sequence-specific DNA binding
YEL009C;negative regulation of transcription from RNA polymerase II promoter
YEL009C;chromatin binding
YEL009C;DNA binding
YEL009C;sequence-specific DNA binding
YEL009C;transcription, DNA-templated
YEL009C;regulation of transcription, DNA-templated
YEL009C;nucleus
YEL009C;transcription from RNA polymerase II promoter
YEL009C;identical protein binding
YEL015W;cytoplasmic mRNA processing body assembly
YEL015W;deadenylation-independent decapping of nuclear-transcribed mRNA
YEL015W;P-body
YEL015W;molecular_function
YEL015W;cytoplasm
YEL015W;nucleus
YEL015W;mRNA binding
YEL015W;positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay
YOR083W;transcriptional repressor activity, RNA polymerase II transcription factor binding
YOR083W;transcription factor activity, RNA polymerase II transcription factor recruiting
YOR083W;regulation of cell size
YOR083W;cell cycle
YOR083W;transcription, DNA-templated
YOR083W;regulation of transcription, DNA-templated
YOR083W;nucleus
YOR083W;cytoplasm
YOR083W;RNA polymerase II regulatory region sequence-specific DNA binding
YOR083W;negative regulation of transcription involved in G1/S transition of mitotic cell cycle
YOR083W;RNA polymerase II transcription factor activity, sequence-specific DNA binding
YOR083W;SBF transcription complex
YOR083W;transcription from RNA polymerase II promoter
YBR252W;pyrimidine deoxyribonucleoside triphosphate catabolic process
YBR252W;dITP diphosphatase activity
YBR252W;dUTP metabolic process
YBR252W;dUTP catabolic process
YBR252W;dITP catabolic process
YBR252W;dUTP diphosphatase activity
YBR252W;metal ion binding
YBR252W;hydrolase activity
YBR252W;nucleotide metabolic process
YBR252W;nucleus
YBR252W;cytoplasm
YBR252W;dUMP biosynthetic process
YDR329C;integral component of peroxisomal membrane
YDR329C;peroxisomal membrane
YDR329C;endoplasmic reticulum
YDR329C;peroxisome organization
YDR329C;peroxisome
YDR329C;protein binding, bridging
YDR329C;peroxisome inheritance
YDR329C;ER-dependent peroxisome organization
YDR329C;protein import into peroxisome membrane
YDL202W;mitochondrial large ribosomal subunit
YDL202W;mitochondrial translation
YDL202W;structural constituent of ribosome
YDL202W;intracellular ribonucleoprotein complex
YDL202W;ribosome biogenesis
YDL202W;ribosome
YDL202W;intracellular
YDL202W;mitochondrion
YHR209W;lipid homeostasis
YHR209W;S-adenosylmethionine-dependent methyltransferase activity
YHR209W;mRNA binding
YHR209W;metabolic process
YHR209W;methyltransferase activity
