,Gene,Chr,Pos,Strand,DistanceTSS,Strength,Condition
1,FLC2,chr1,34514,+,-506,3.5083333333333333,Eth
2,ACS1,chr1,34514,-,-174,3.5083333333333333,Eth
3,FLC2,chr1,34667,+,-353,19.14406779661017,Eth
4,FLC2,chr1,34667,+,-353,14.440366972477065,Glu
5,ACS1,chr1,34667,-,-327,19.14406779661017,Eth
6,ACS1,chr1,34667,-,-327,14.440366972477065,Glu
7,YAT1,chr1,173103,+,-334,3.411764705882353,Eth
8,YAT1,chr1,173316,+,-121,6.183006535947712,Ana
9,YAT1,chr1,173316,+,-121,33.76470588235294,Eth
10,YAT1,chr1,173316,+,-121,17.636363636363637,Glu
11,YAT1,chr1,173316,+,-121,4.041095890410959,Nit
12,INO1,chr10,125014,-,-317,5.3619047619047615,Eth
13,INO1,chr10,125014,-,-317,2.970873786407767,Glu
14,SNA3,chr10,125014,-,551,5.3619047619047615,Eth
15,SNA3,chr10,125014,-,551,2.970873786407767,Glu
16,MRS3,chr10,148486,+,-799,2.0104712041884816,Ana
17,DPI8,chr10,148486,-,141,2.0104712041884816,Ana
18,MRS3,chr10,148795,+,-490,3.375,Eth
19,DPI8,chr10,148795,-,-168,3.375,Eth
20,URA2,chr10,161659,-,40,2.5301204819277108,Nit
21,ASF1,chr10,184366,+,-593,2.875,Eth
22,NCA3,chr10,184366,-,-538,2.875,Eth
23,YJL107C,chr10,204081,-,-724,5.0,Eth
24,YJL107C,chr10,204081,-,-724,3.902439024390244,Glu
25,YJL107C,chr10,204081,-,-724,2.307692307692308,Nit
26,SIP4,chr10,248921,+,-157,5.301204819277108,Ana
27,SIP4,chr10,248921,+,-157,12.436974789915967,Eth
28,SIP4,chr10,248921,+,-157,13.23076923076923,Glu
29,SIP4,chr10,248921,+,-157,4.102564102564103,Nit
30,RNR2,chr10,375170,+,-430,2.1787709497206706,Ana
31,RNR2,chr10,375170,+,-430,4.875,Eth
32,RNR2,chr10,375170,+,-430,4.814814814814815,Glu
33,RNR2,chr10,375170,+,-430,2.4489795918367343,Nit
34,MPS3,chr10,386685,+,651,2.855855855855856,Eth
35,BBC1,chr10,386685,-,-946,2.855855855855856,Eth
36,RPL43B,chr10,604122,+,848,4.8119266055045875,Ana
37,RPL43B,chr10,604122,+,848,16.03804347826087,Eth
38,RPL43B,chr10,604122,+,848,18.686746987951803,Glu
39,RPL43B,chr10,604122,+,848,5.126213592233009,Nit
40,SFC1,chr10,604122,+,-492,4.8119266055045875,Ana
41,SFC1,chr10,604122,+,-492,16.03804347826087,Eth
42,SFC1,chr10,604122,+,-492,18.686746987951803,Glu
43,SFC1,chr10,604122,+,-492,5.126213592233009,Nit
44,RPL43B,chr10,604178,+,904,18.36516853932584,Eth
45,RPL43B,chr10,604178,+,904,20.349397590361445,Glu
46,SFC1,chr10,604178,+,-436,18.36516853932584,Eth
