,Gene,Chr,Pos,Strand,DistanceTSS,Strength,Condition
1,FLC2,chr1,34666,+,-354,2.591549295774648,Eth
2,FLC2,chr1,34666,+,-354,8.283752860411898,Glu
3,ACS1,chr1,34666,-,-326,2.591549295774648,Eth
4,ACS1,chr1,34666,-,-326,8.283752860411898,Glu
5,GCV3,chr1,47833,-,-96,3.5057208237986264,Glu
6,CLN3,chr1,57594,-,-489,4.03747870528109,Glu
7,CDC19,chr1,60631,+,-354,2.6779661016949152,Glu
8,FUN30,chr1,104801,+,780,3.353846153846154,Ana
9,FUN30,chr1,104801,+,780,4.878718535469107,Glu
10,ATS1,chr1,104801,-,-970,3.353846153846154,Ana
11,ATS1,chr1,104801,-,-970,4.878718535469107,Glu
12,PSK1,chr1,108958,+,-112,3.0274599542334095,Glu
13,EFB1,chr1,130963,+,-404,2.4615384615384617,Ana
14,EFB1,chr1,130963,+,-404,2.0625,Eth
15,EFB1,chr1,130963,+,-404,6.338672768878718,Glu
16,SSA1,chr1,130963,-,-256,2.4615384615384617,Ana
17,SSA1,chr1,130963,-,-256,2.0625,Eth
18,SSA1,chr1,130963,-,-256,6.338672768878718,Glu
19,NUP60,chr1,140453,+,-967,3.102974828375286,Glu
20,TFC3,chr1,140453,-,-36,3.102974828375286,Glu
21,ADE1,chr1,152435,+,-165,2.1666666666666665,Ana
22,ADE1,chr1,152435,+,-165,2.0455764075067027,Eth
23,ADE1,chr1,152435,+,-165,6.665903890160183,Glu
24,BUD14,chr1,152435,-,-139,2.1666666666666665,Ana
25,BUD14,chr1,152435,-,-139,2.0455764075067027,Eth
26,BUD14,chr1,152435,-,-139,6.665903890160183,Glu
27,YAT1,chr1,173144,+,-293,2.430769230769231,Ana
28,YAT1,chr1,173144,+,-293,4.539184952978057,Eth
29,YAT1,chr1,173144,+,-293,8.645308924485125,Glu
30,YAT1,chr1,173290,+,-147,3.1846153846153844,Ana
31,YAT1,chr1,173290,+,-147,8.564263322884013,Eth
32,YAT1,chr1,173290,+,-147,13.322654462242562,Glu
33,PEX2,chr10,25509,+,-151,5.326633165829146,Ana
34,PEX2,chr10,25509,+,-151,5.423728813559323,Eth
35,PEX2,chr10,25509,+,-151,21.634241245136188,Glu
36,PEX2,chr10,25509,+,-151,2.0930232558139537,Nit
37,OPT1,chr10,25509,-,-434,5.326633165829146,Ana
38,OPT1,chr10,25509,-,-434,5.423728813559323,Eth
39,OPT1,chr10,25509,-,-434,21.634241245136188,Glu
40,OPT1,chr10,25509,-,-434,2.0930232558139537,Nit
41,ECM25,chr10,43487,+,319,2.4111543450064854,Glu
42,ACO2,chr10,47834,-,-206,15.045226130653266,Ana
43,ACO2,chr10,47834,-,-206,11.319612590799032,Eth
44,ACO2,chr10,47834,-,-206,20.979247730220493,Glu
45,RPS14B,chr10,62911,+,371,2.9145728643216082,Ana
46,RPS14B,chr10,62911,+,371,2.3728813559322037,Eth
47,RPS14B,chr10,62911,+,371,2.6848249027237356,Glu
48,SOP4,chr10,62911,-,-686,2.9145728643216082,Ana
49,SOP4,chr10,62911,-,-686,2.3728813559322037,Eth
50,SOP4,chr10,62911,-,-686,2.6848249027237356,Glu
51,GON7,chr10,72129,+,-72,2.376134889753567,Glu
52,MNN11,chr10,72129,+,-654,2.376134889753567,Glu
53,ATG36,chr10,72129,-,-300,2.376134889753567,Glu
54,RPB4,chr10,139318,+,-298,3.0194552529182883,Glu
55,YAK1,chr10,139318,-,-91,3.0194552529182883,Glu
56,MRS3,chr10,148814,+,-471,2.4306095979247733,Glu
57,DPI8,chr10,148814,-,-187,2.4306095979247733,Glu
58,MRS3,chr10,148879,+,-406,2.7185473411154346,Glu
59,DPI8,chr10,148879,-,-252,2.7185473411154346,Glu
60,URA2,chr10,161962,-,-263,15.427135678391961,Ana
61,URA2,chr10,161962,-,-263,20.774818401937047,Eth
62,URA2,chr10,161962,-,-263,33.83916990920882,Glu
63,PBS2,chr10,169782,-,-705,2.6070038910505837,Glu
64,MCO6,chr10,169782,-,763,2.6070038910505837,Glu
65,MCO6,chr10,170564,-,-19,2.311557788944724,Ana
66,MCO6,chr10,170564,-,-19,2.023346303501946,Glu
67,ASF1,chr10,184407,+,-552,2.871670702179177,Eth
68,ASF1,chr10,184407,+,-552,4.378728923476006,Glu
69,NCA3,chr10,184407,-,-579,2.871670702179177,Eth
70,NCA3,chr10,184407,-,-579,4.378728923476006,Glu
71,YJL107C,chr10,203708,-,-351,2.4070351758793973,Ana
72,YJL107C,chr10,203708,-,-351,2.0460048426150124,Eth
73,YJL107C,chr10,203708,-,-351,3.9403372243839176,Glu
74,LSB6,chr10,220012,+,-462,4.45136186770428,Glu
75,GSH1,chr10,220012,-,-229,4.45136186770428,Glu
76,SIP4,chr10,248850,+,-228,2.9648241206030153,Ana
77,SIP4,chr10,248850,+,-228,9.113082039911308,Eth
78,SIP4,chr10,248850,+,-228,11.958495460440986,Glu
79,ARG3,chr10,251703,+,-338,13.599173553719009,Ana
80,ARG3,chr10,251703,+,-338,9.552106430155211,Eth
81,ARG3,chr10,251703,+,-338,35.25680933852141,Glu
82,ARG3,chr10,251755,+,-286,48.95473251028806,Ana
83,ARG3,chr10,251755,+,-286,25.972727272727273,Eth
84,ARG3,chr10,251755,+,-286,63.32555123216602,Glu
85,ARG3,chr10,251755,+,-286,2.376404494382023,Nit
86,ARG3,chr10,251882,+,-159,5.330612244897959,Ana
87,ARG3,chr10,251882,+,-159,2.9631336405529956,Eth
88,ARG3,chr10,251882,+,-159,7.543450064850844,Glu
89,PRY1,chr10,274488,-,-282,4.703517587939698,Ana
90,PRY1,chr10,274488,-,-282,3.302663438256659,Eth
91,PRY1,chr10,274488,-,-282,5.297016861219196,Glu
92,NET1,chr10,278245,+,-203,2.191958495460441,Glu
93,PRY3,chr10,278245,-,-923,2.191958495460441,Glu
94,ARG2,chr10,289288,+,-67,12.859296482412061,Ana
95,ARG2,chr10,289288,+,-67,11.702179176755449,Eth
96,ARG2,chr10,289288,+,-67,20.382619974059665,Glu
97,PSF2,chr10,289288,-,-121,12.859296482412061,Ana
98,PSF2,chr10,289288,-,-121,11.702179176755449,Eth
99,PSF2,chr10,289288,-,-121,20.382619974059665,Glu
100,BNA3,chr10,306561,+,-100,2.4383916990920884,Glu
101,UBX6,chr10,332137,-,-220,3.739299610894942,Glu
102,YJL047C-A,chr10,332137,-,511,3.739299610894942,Glu
103,UBX6,chr10,332404,-,-487,2.4604409857328147,Glu
104,YJL047C-A,chr10,332404,-,244,2.4604409857328147,Glu
105,AIM22,chr10,335528,+,-89,2.1517509727626463,Glu
106,RTT101,chr10,335528,-,-91,2.1517509727626463,Glu
107,RPC17,chr10,398233,-,-186,2.261306532663317,Ana
108,RPC17,chr10,398233,-,-186,2.639225181598063,Eth
109,RPC17,chr10,398233,-,-186,4.876783398184177,Glu
110,SUI2,chr10,441946,+,994,2.108958837772397,Eth
111,SUI2,chr10,441946,+,994,4.19325551232166,Glu
112,MHO1,chr10,441946,+,-508,2.108958837772397,Eth
113,MHO1,chr10,441946,+,-508,4.19325551232166,Glu
114,MET3,chr10,445837,+,-387,4.625162127107653,Glu
115,ILV3,chr10,456352,-,-116,15.175879396984925,Ana
116,ILV3,chr10,456352,-,-116,13.075060532687653,Eth
117,ILV3,chr10,456352,-,-116,28.482490272373543,Glu
118,ESS1,chr10,456352,-,716,15.175879396984925,Ana
119,ESS1,chr10,456352,-,716,13.075060532687653,Eth
120,ESS1,chr10,456352,-,716,28.482490272373543,Glu
121,MDE1,chr10,461793,-,-814,42.1105527638191,Ana
