,Gene,Chr,Pos,Strand,DistanceTSS,Strength,Condition
1,ACS1,chr1,33652,-,688,2.857142857142857,Eth
2,AIM2,chr1,41980,-,-68,3.1452991452991452,Glu
3,CLN3,chr1,57523,-,-418,2.5217391304347823,Ana
4,CLN3,chr1,57523,-,-418,8.424242424242426,Eth
5,CLN3,chr1,57523,-,-418,4.321167883211679,Glu
6,CLN3,chr1,58023,-,-918,2.121212121212121,Eth
7,CLN3,chr1,58023,-,-918,2.0394736842105265,Glu
8,CYC3,chr1,58023,-,837,2.121212121212121,Eth
9,CYC3,chr1,58023,-,837,2.0394736842105265,Glu
10,CYC3,chr1,59350,-,-490,5.733108108108108,Ana
11,CYC3,chr1,59350,-,-490,9.545454545454547,Eth
12,CYC3,chr1,59350,-,-490,9.979166666666666,Glu
13,CYC3,chr1,59350,-,-490,3.3131313131313127,Nit
14,YJL213W,chr10,19616,+,-996,2.0737327188940093,Ana
15,YJL118W,chr10,180245,+,-182,2.7272727272727275,Eth
16,YJL118W,chr10,180245,+,-182,2.1475409836065573,Glu
17,PHO86,chr10,180245,+,-986,2.7272727272727275,Eth
18,PHO86,chr10,180245,+,-986,2.1475409836065573,Glu
19,RPE1,chr10,180245,-,-392,2.7272727272727275,Eth
20,RPE1,chr10,180245,-,-392,2.1475409836065573,Glu
21,ASF1,chr10,184103,+,-856,2.2572614107883817,Ana
22,ASF1,chr10,184103,+,-856,4.545454545454546,Eth
23,ASF1,chr10,184103,+,-856,8.040650406504065,Glu
24,NCA3,chr10,184103,-,-275,2.2572614107883817,Ana
25,NCA3,chr10,184103,-,-275,4.545454545454546,Eth
26,NCA3,chr10,184103,-,-275,8.040650406504065,Glu
27,ASF1,chr10,184655,+,-304,2.6824034334763946,Ana
28,ASF1,chr10,184655,+,-304,4.151515151515151,Eth
29,ASF1,chr10,184655,+,-304,5.549180327868853,Glu
30,NCA3,chr10,184655,-,-827,2.6824034334763946,Ana
31,NCA3,chr10,184655,-,-827,4.151515151515151,Eth
32,NCA3,chr10,184655,-,-827,5.549180327868853,Glu
33,MDV1,chr10,188428,+,-132,2.4780701754385963,Ana
34,MDV1,chr10,188428,+,-132,3.3333333333333335,Eth
35,MDV1,chr10,188428,+,-132,4.229508196721312,Glu
36,YJL107C,chr10,203674,-,-317,2.292682926829268,Glu
37,SET4,chr10,207497,+,-642,2.2622950819672134,Glu
38,LSB6,chr10,220418,+,-56,6.641114982578397,Ana
39,LSB6,chr10,220418,+,-56,10.636363636363637,Eth
40,LSB6,chr10,220418,+,-56,12.504065040650406,Glu
41,LSB6,chr10,220418,+,-56,3.693548387096774,Nit
42,GSH1,chr10,220418,-,-635,6.641114982578397,Ana
43,GSH1,chr10,220418,-,-635,10.636363636363637,Eth
44,GSH1,chr10,220418,-,-635,12.504065040650406,Glu
45,GSH1,chr10,220418,-,-635,3.693548387096774,Nit
46,LSB6,chr10,220657,+,183,2.2205882352941178,Ana
47,LSB6,chr10,220657,+,183,2.323529411764706,Eth
48,GSH1,chr10,220657,-,-874,2.2205882352941178,Ana
49,GSH1,chr10,220657,-,-874,2.323529411764706,Eth
50,SIP4,chr10,248897,+,-181,3.3636363636363638,Eth
51,PRY1,chr10,274567,-,-361,2.8571428571428568,Eth
52,PRY1,chr10,274567,-,-361,3.3098591549295775,Glu
53,NET1,chr10,277757,+,-691,2.953307392996109,Ana
54,NET1,chr10,277757,+,-691,3.6521739130434785,Eth
55,NET1,chr10,277757,+,-691,2.447852760736196,Glu
56,PRY3,chr10,277757,-,-435,2.953307392996109,Ana
57,PRY3,chr10,277757,-,-435,3.6521739130434785,Eth
58,PRY3,chr10,277757,-,-435,2.447852760736196,Glu
