,Gene,Chr,Pos,Strand,DistanceTSS,Strength,Condition
1,CLN3,chr1,57650,-,-545,2.560150375939849,Eth
2,CDC19,chr1,60350,+,-635,10.362880886426593,Ana
3,CDC19,chr1,60350,+,-635,21.88086642599278,Eth
4,CDC19,chr1,60350,+,-635,15.934523809523808,Glu
5,CDC19,chr1,60350,+,-635,9.821643286573147,Nit
6,CDC19,chr1,60442,+,-543,21.975476839237057,Ana
7,CDC19,chr1,60442,+,-543,45.0374531835206,Eth
8,CDC19,chr1,60442,+,-543,36.90119760479042,Glu
9,CDC19,chr1,60442,+,-543,19.597959183673467,Nit
10,CDC19,chr1,60535,+,-450,12.53804347826087,Ana
11,CDC19,chr1,60535,+,-450,26.230978260869566,Eth
12,CDC19,chr1,60535,+,-450,31.449631449631447,Glu
13,CDC19,chr1,60535,+,-450,7.645652173913043,Nit
14,CDC19,chr1,60814,+,-171,2.6342710997442453,Glu
15,YAT1,chr1,172987,+,-450,2.121212121212121,Eth
16,CDC6,chr10,57893,+,-189,2.64,Eth
17,ELO1,chr10,57893,-,-306,2.64,Eth
18,NET1,chr10,277893,+,-555,2.64,Eth
19,NET1,chr10,277893,+,-555,2.0091743119266052,Glu
20,PRY3,chr10,277893,-,-571,2.64,Eth
21,PRY3,chr10,277893,-,-571,2.0091743119266052,Glu
22,TDH1,chr10,321083,+,-382,3.36,Eth
23,TDH1,chr10,321083,+,-382,16.385650224215244,Glu
24,TDH1,chr10,321083,+,-382,2.2181818181818183,Nit
25,TDH1,chr10,321150,+,-315,2.047138047138047,Ana
26,TDH1,chr10,321150,+,-315,4.434285714285714,Eth
27,TDH1,chr10,321150,+,-315,17.93805309734513,Glu
28,TDH1,chr10,321150,+,-315,2.18018018018018,Nit
29,TDH1,chr10,321359,+,-106,2.3261802575107295,Glu
30,RNR2,chr10,375000,+,-600,2.1135646687697163,Ana
31,RNR2,chr10,375000,+,-600,11.6,Eth
32,RNR2,chr10,375000,+,-600,13.711790393013102,Glu
33,RNR2,chr10,375000,+,-600,2.2093023255813953,Nit
34,VPS53,chr10,375000,-,-840,2.1135646687697163,Ana
35,VPS53,chr10,375000,-,-840,11.6,Eth
36,VPS53,chr10,375000,-,-840,13.711790393013102,Glu
37,VPS53,chr10,375000,-,-840,2.2093023255813953,Nit
38,TDH2,chr10,444993,-,-236,3.6220930232558137,Ana
39,TDH2,chr10,444993,-,-236,13.174603174603174,Eth
40,TDH2,chr10,444993,-,-236,14.452662721893493,Glu
41,TDH2,chr10,444993,-,-236,4.678663239074551,Nit
42,TDH2,chr10,445112,-,-355,6.65606936416185,Ana
43,TDH2,chr10,445112,-,-355,22.438095238095237,Eth
44,TDH2,chr10,445112,-,-355,26.621621621621625,Glu
45,TDH2,chr10,445112,-,-355,3.7165354330708658,Nit
46,TDH2,chr10,445164,-,-407,5.30635838150289,Ana
47,TDH2,chr10,445164,-,-407,20.251592356687897,Eth
48,TDH2,chr10,445164,-,-407,20.009063444108758,Glu
49,TDH2,chr10,445164,-,-407,6.672774869109947,Nit
50,MET3,chr10,445273,+,-951,4.6875,Ana
51,MET3,chr10,445273,+,-951,7.376175548589343,Eth
52,MET3,chr10,445273,+,-951,5.91238670694864,Glu
53,MET3,chr10,445273,+,-951,4.720744680851063,Nit
54,TDH2,chr10,445273,-,-516,4.6875,Ana
55,TDH2,chr10,445273,-,-516,7.376175548589343,Eth
56,TDH2,chr10,445273,-,-516,5.91238670694864,Glu
57,TDH2,chr10,445273,-,-516,4.720744680851063,Nit
58,BNA1,chr10,462472,-,-767,2.9345454545454546,Ana
59,BNA1,chr10,462472,-,-767,7.101694915254238,Eth
60,BNA1,chr10,462472,-,-767,2.1605504587155964,Glu
61,MNN4,chr11,74483,-,-453,2.624548736462094,Eth
62,PTK1,chr11,77236,-,-331,2.4229249011857705,Glu
63,PTK1,chr11,77510,-,-605,2.438735177865613,Glu
64,GPM1,chr11,171125,-,-281,25.004683840749415,Ana
65,GPM1,chr11,171125,-,-281,52.13063063063063,Eth
66,GPM1,chr11,171125,-,-281,41.55941499085923,Glu
67,GPM1,chr11,171125,-,-281,21.031634446397188,Nit
68,GPM1,chr11,171271,-,-427,4.8217592592592595,Ana
69,GPM1,chr11,171271,-,-427,9.254988913525498,Eth
70,GPM1,chr11,171271,-,-427,5.609174311926605,Glu
71,GPM1,chr11,171271,-,-427,7.078397212543554,Nit
72,CWP2,chr11,264944,+,-585,2.7049180327868854,Eth
73,CWP2,chr11,264944,+,-585,4.124087591240876,Glu
74,FBA1,chr11,333839,-,-306,11.121126760563381,Ana
