,Gene,Chr,Pos,Strand,DistanceTSS,Strength,Condition
1,FLC2,chr1,34606,+,-414,3.159235668789809,Eth
2,FLC2,chr1,34606,+,-414,2.608,Glu
3,ACS1,chr1,34606,-,-266,3.159235668789809,Eth
4,ACS1,chr1,34606,-,-266,2.608,Glu
5,FLC2,chr1,34787,+,-233,2.263157894736842,Eth
6,ACS1,chr1,34787,-,-447,2.263157894736842,Eth
7,CYS3,chr1,120072,+,123,2.290076335877863,Eth
8,CYS3,chr1,120072,+,123,2.736842105263158,Glu
9,EFB1,chr1,131077,+,-290,7.899159663865546,Eth
10,SSA1,chr1,131077,-,-370,7.899159663865546,Eth
11,EFB1,chr1,131084,+,-283,3.2666666666666666,Ana
12,EFB1,chr1,131084,+,-283,4.968421052631579,Glu
13,SSA1,chr1,131084,-,-377,3.2666666666666666,Ana
14,SSA1,chr1,131084,-,-377,4.968421052631579,Glu
15,YAT1,chr1,173202,+,-235,2.08955223880597,Ana
16,YAT1,chr1,173202,+,-235,4.016064257028113,Eth
17,PHO11,chr1,203091,+,-606,2.0491803278688527,Eth
18,PEX2,chr10,25522,+,-138,2.5866666666666664,Eth
19,OPT1,chr10,25522,-,-447,2.5866666666666664,Eth
20,NUC1,chr10,30167,-,-137,2.0869565217391304,Glu
21,PRP21,chr10,43035,+,936,2.226086956521739,Glu
22,ECM25,chr10,43035,+,-133,2.226086956521739,Glu
23,RPL39,chr10,64456,+,-235,2.3133333333333335,Eth
24,RPS22A,chr10,64456,-,-354,2.3133333333333335,Eth
25,ERG20,chr10,93372,+,-364,4.170940170940171,Ana
26,ERG20,chr10,93372,+,-364,9.313333333333333,Eth
27,ERG20,chr10,93372,+,-364,9.715447154471544,Glu
28,SET2,chr10,93372,-,-71,4.170940170940171,Ana
29,SET2,chr10,93372,-,-71,9.313333333333333,Eth
30,SET2,chr10,93372,-,-71,9.715447154471544,Glu
31,CIS3,chr10,112071,-,-312,2.1284403669724767,Ana
32,CIS3,chr10,112071,-,-312,6.48,Eth
33,CIS3,chr10,112071,-,-312,4.104347826086957,Glu
34,INO1,chr10,124963,-,-266,14.944444444444446,Ana
35,INO1,chr10,124963,-,-266,46.99130434782609,Eth
36,INO1,chr10,124963,-,-266,36.31137724550898,Glu
37,INO1,chr10,124963,-,-266,10.070093457943926,Nit
38,SNA3,chr10,124963,-,602,14.944444444444446,Ana
39,SNA3,chr10,124963,-,602,46.99130434782609,Eth
40,SNA3,chr10,124963,-,602,36.31137724550898,Glu
41,SNA3,chr10,124963,-,602,10.070093457943926,Nit
42,DAS1,chr10,125210,+,-874,9.91891891891892,Eth
43,DAS1,chr10,125210,+,-874,5.496932515337423,Glu
44,INO1,chr10,125210,-,-513,9.91891891891892,Eth
45,INO1,chr10,125210,-,-513,5.496932515337423,Glu
46,SNA3,chr10,125210,-,355,9.91891891891892,Eth
47,SNA3,chr10,125210,-,355,5.496932515337423,Glu
48,DAS1,chr10,125702,+,-382,2.127659574468085,Ana
49,DAS1,chr10,125702,+,-382,2.0528846153846154,Eth
50,DAS1,chr10,125702,+,-382,2.4203821656050954,Glu
51,SNA3,chr10,125702,-,-137,2.127659574468085,Ana
52,SNA3,chr10,125702,-,-137,2.0528846153846154,Eth
53,SNA3,chr10,125702,-,-137,2.4203821656050954,Glu
54,IDS2,chr10,131835,+,-81,5.733333333333333,Eth
55,IDS2,chr10,131835,+,-81,5.426086956521739,Glu
56,MRX5,chr10,131835,-,-451,5.733333333333333,Eth
57,MRX5,chr10,131835,-,-451,5.426086956521739,Glu
58,RPB4,chr10,139160,+,-456,4.2,Ana
59,RPB4,chr10,139160,+,-456,7.066666666666666,Eth
60,RPB4,chr10,139160,+,-456,7.217391304347826,Glu
61,RPB4,chr10,139160,+,-456,3.1176470588235294,Nit
62,YAK1,chr10,139160,-,67,4.2,Ana
63,YAK1,chr10,139160,-,67,7.066666666666666,Eth
64,YAK1,chr10,139160,-,67,7.217391304347826,Glu
65,YAK1,chr10,139160,-,67,3.1176470588235294,Nit
66,MRS3,chr10,148749,+,-536,4.946666666666667,Eth
67,MRS3,chr10,148749,+,-536,3.808695652173913,Glu
68,DPI8,chr10,148749,-,-122,4.946666666666667,Eth
69,DPI8,chr10,148749,-,-122,3.808695652173913,Glu
70,MRS3,chr10,148880,+,-405,3.015873015873016,Ana
71,MRS3,chr10,148880,+,-405,3.606666666666667,Eth
72,MRS3,chr10,148880,+,-405,2.608695652173913,Glu
73,DPI8,chr10,148880,-,-253,3.015873015873016,Ana
74,DPI8,chr10,148880,-,-253,3.606666666666667,Eth
75,DPI8,chr10,148880,-,-253,2.608695652173913,Glu
76,YJL118W,chr10,181096,+,669,2.75,Ana
77,YJL118W,chr10,181096,+,669,7.133333333333334,Eth
78,YJL118W,chr10,181096,+,669,9.043478260869565,Glu
79,PHO86,chr10,181096,+,-135,2.75,Ana
80,PHO86,chr10,181096,+,-135,7.133333333333334,Eth
81,PHO86,chr10,181096,+,-135,9.043478260869565,Glu
82,ASF1,chr10,184228,+,-731,2.6213592233009706,Ana
83,ASF1,chr10,184228,+,-731,6.733333333333333,Eth
84,ASF1,chr10,184228,+,-731,4.695652173913044,Glu
85,NCA3,chr10,184228,-,-400,2.6213592233009706,Ana
86,NCA3,chr10,184228,-,-400,6.733333333333333,Eth
87,NCA3,chr10,184228,-,-400,4.695652173913044,Glu
88,LSB6,chr10,220147,+,-327,3.1933333333333334,Eth
89,LSB6,chr10,220147,+,-327,2.6,Glu
90,GSH1,chr10,220147,-,-364,3.1933333333333334,Eth
91,GSH1,chr10,220147,-,-364,2.6,Glu
92,GWT1,chr10,245894,-,-58,2.6,Ana
93,GWT1,chr10,245894,-,-58,5.786666666666666,Eth
94,GWT1,chr10,245894,-,-58,5.626086956521739,Glu
95,ARG3,chr10,251763,+,-278,2.066666666666667,Eth
96,NET1,chr10,277739,+,-709,5.121951219512195,Eth
97,NET1,chr10,277739,+,-709,3.741007194244604,Glu
98,PRY3,chr10,277739,-,-417,5.121951219512195,Eth
99,PRY3,chr10,277739,-,-417,3.741007194244604,Glu
100,LOG1,chr10,316154,+,-443,2.608695652173913,Glu
101,ZAP1,chr10,316154,-,195,2.608695652173913,Glu
102,TDH1,chr10,321002,+,-463,2.9133333333333336,Eth
103,TDH1,chr10,321002,+,-463,2.6869565217391305,Glu
104,TDH1,chr10,321288,+,-177,2.4166666666666665,Ana
105,TDH1,chr10,321288,+,-177,3.1533333333333333,Eth
106,TDH1,chr10,321288,+,-177,4.008695652173913,Glu
107,CHM7,chr10,328504,+,-697,2.8866666666666663,Eth
108,CHM7,chr10,328504,+,-697,3.5217391304347827,Glu
109,UBX6,chr10,332129,-,-212,9.6,Ana
110,UBX6,chr10,332129,-,-212,23.066666666666666,Eth
111,UBX6,chr10,332129,-,-212,25.652173913043477,Glu
112,UBX6,chr10,332129,-,-212,8.138297872340425,Nit
113,YJL047C-A,chr10,332129,-,519,9.6,Ana
114,YJL047C-A,chr10,332129,-,519,23.066666666666666,Eth
115,YJL047C-A,chr10,332129,-,519,25.652173913043477,Glu
116,YJL047C-A,chr10,332129,-,519,8.138297872340425,Nit
117,YJL045W,chr10,338843,+,-407,2.4347826086956523,Glu
118,MHP1,chr10,343781,+,-649,2.146666666666667,Eth
119,GYP6,chr10,343781,-,-822,2.146666666666667,Eth
120,MHP1,chr10,344031,+,-399,2.0188679245283017,Ana
121,MHP1,chr10,344031,+,-399,6.1866666666666665,Eth
122,MHP1,chr10,344031,+,-399,5.086956521739131,Glu
123,RNR2,chr10,374872,+,-728,3.0973451327433628,Ana
124,RNR2,chr10,374872,+,-728,10.866666666666667,Eth
125,RNR2,chr10,374872,+,-728,6.260869565217392,Glu
126,VPS53,chr10,374872,-,-712,3.0973451327433628,Ana
127,VPS53,chr10,374872,-,-712,10.866666666666667,Eth
128,VPS53,chr10,374872,-,-712,6.260869565217392,Glu
129,RNR2,chr10,375270,+,-330,2.675675675675676,Ana
130,RNR2,chr10,375270,+,-330,9.373333333333333,Eth
131,RNR2,chr10,375270,+,-330,8.565217391304348,Glu
132,VTC4,chr10,396761,-,-78,2.6666666666666665,Eth
133,VTC4,chr10,396761,-,-78,2.260869565217391,Glu
134,MPP10,chr10,428790,+,-73,2.3899999999999997,Ana
135,MPP10,chr10,428790,+,-73,5.833333333333333,Eth
136,MPP10,chr10,428790,+,-73,4.139130434782609,Glu
137,MHO1,chr10,442166,+,-288,2.606666666666667,Eth
138,MHO1,chr10,442166,+,-288,2.991304347826087,Glu
139,MHO1,chr10,442323,+,-131,3.7,Eth
140,MHO1,chr10,442323,+,-131,5.460869565217391,Glu
141,TMA22,chr10,452577,+,782,3.2666666666666666,Eth
142,TMA22,chr10,452577,+,782,2.5217391304347827,Glu
143,YJR015W,chr10,452577,+,-186,3.2666666666666666,Eth
144,YJR015W,chr10,452577,+,-186,2.5217391304347827,Glu
145,ESS1,chr10,458041,-,-973,2.6666666666666665,Eth
146,ESS1,chr10,458041,-,-973,3.3333333333333335,Glu
