,Gene,Chr,Pos,Strand,DistanceTSS,Strength,Condition
1,CYC3,chr1,59386,-,-526,2.5510204081632653,Ana
2,CYC3,chr1,59386,-,-526,4.901960784313726,Eth
3,CYC3,chr1,59386,-,-526,4.954128440366972,Glu
4,CDC6,chr10,57687,+,-395,4.195121951219512,Eth
5,CDC6,chr10,57687,+,-395,3.788888888888889,Glu
6,CDC6,chr10,57687,+,-395,2.4727272727272727,Nit
7,ELO1,chr10,57687,-,-100,4.195121951219512,Eth
8,ELO1,chr10,57687,-,-100,3.788888888888889,Glu
9,ELO1,chr10,57687,-,-100,2.4727272727272727,Nit
10,DAS1,chr10,125112,+,-972,2.5,Ana
11,DAS1,chr10,125112,+,-972,4.363636363636363,Eth
12,DAS1,chr10,125112,+,-972,7.108433734939759,Glu
13,INO1,chr10,125112,-,-415,2.5,Ana
14,INO1,chr10,125112,-,-415,4.363636363636363,Eth
15,INO1,chr10,125112,-,-415,7.108433734939759,Glu
16,SNA3,chr10,125112,-,453,2.5,Ana
17,SNA3,chr10,125112,-,453,4.363636363636363,Eth
18,SNA3,chr10,125112,-,453,7.108433734939759,Glu
19,NET1,chr10,277807,+,-641,2.4050632911392404,Glu
20,PRY3,chr10,277807,-,-485,2.4050632911392404,Glu
21,MNN4,chr11,74475,-,-445,2.586206896551724,Eth
22,MNN4,chr11,75009,-,-979,3.5483870967741935,Eth
23,MNN4,chr11,75009,-,-979,2.410714285714286,Glu
24,PXA2,chr11,95502,-,-204,2.293577981651376,Glu
25,NNK1,chr11,133669,+,-169,6.363636363636363,Eth
26,NNK1,chr11,133669,+,-169,3.5802469135802473,Glu
27,NNK1,chr11,133669,+,-169,2.291666666666667,Nit
28,MCD4,chr11,147450,-,-284,2.345679012345679,Glu
29,HAP4,chr11,237794,+,-486,6.071428571428572,Eth
30,HAP4,chr11,237794,+,-486,2.7777777777777777,Glu
31,SFK1,chr11,346799,+,-368,3.333333333333333,Eth
32,SFK1,chr11,346799,+,-368,2.0833333333333335,Glu
33,ASK1,chr11,346799,-,-214,3.333333333333333,Eth
34,ASK1,chr11,346799,-,-214,2.0833333333333335,Glu
35,FOX2,chr11,463291,-,-180,2.727272727272727,Ana
36,FOX2,chr11,463291,-,-180,12.142857142857142,Eth
37,FOX2,chr11,463291,-,-180,9.705882352941178,Glu
38,FOX2,chr11,463291,-,-180,4.833333333333333,Nit
39,PTR2,chr11,620701,+,-702,7.391304347826088,Eth
40,PTR2,chr11,620701,+,-702,6.913580246913581,Glu
41,TPO1,chr12,68792,+,-794,3.0136986301369864,Eth
42,TPO1,chr12,68792,+,-794,4.56140350877193,Glu
43,HSP104,chr12,73786,+,311,2.7450980392156863,Eth
44,YLR112W,chr12,349856,+,94,2.6666666666666665,Eth
45,YLR112W,chr12,349856,+,94,2.126315789473684,Glu
46,HOG1,chr12,349856,+,-640,2.6666666666666665,Eth
47,HOG1,chr12,349856,+,-640,2.126315789473684,Glu
48,CCW12,chr12,349856,-,-701,2.6666666666666665,Eth
49,CCW12,chr12,349856,-,-701,2.126315789473684,Glu
50,RRN5,chr12,403247,+,583,2.307692307692308,Ana
51,RRN5,chr12,403247,+,583,5.084745762711864,Eth
52,RRN5,chr12,403247,+,583,3.5294117647058822,Glu
53,RRN5,chr12,403247,+,583,3.7254901960784315,Nit
54,PUT1,chr12,403247,+,-923,2.307692307692308,Ana
55,PUT1,chr12,403247,+,-923,5.084745762711864,Eth
56,PUT1,chr12,403247,+,-923,3.5294117647058822,Glu
57,PUT1,chr12,403247,+,-923,3.7254901960784315,Nit
58,SLS1,chr12,403247,-,-380,2.307692307692308,Ana
59,SLS1,chr12,403247,-,-380,5.084745762711864,Eth
60,SLS1,chr12,403247,-,-380,3.5294117647058822,Glu
61,SLS1,chr12,403247,-,-380,3.7254901960784315,Nit
62,YLR152C,chr12,424168,-,-306,4.214285714285714,Eth
63,YLR152C,chr12,424168,-,-306,4.158415841584159,Glu
64,HAP1,chr12,605901,+,-35,2.580246913580247,Glu
65,SFP1,chr12,884087,+,-299,2.4137931034482762,Ana
66,SFP1,chr12,884087,+,-299,8.097560975609758,Eth
67,SFP1,chr12,884087,+,-299,4.602150537634408,Glu
68,DUS3,chr12,884087,-,-139,2.4137931034482762,Ana
69,DUS3,chr12,884087,-,-139,8.097560975609758,Eth
70,DUS3,chr12,884087,-,-139,4.602150537634408,Glu
71,CAT2,chr13,181084,+,-162,2.4742268041237114,Ana
72,CAT2,chr13,181084,+,-162,4.523809523809524,Eth
73,CAT2,chr13,181084,+,-162,6.25,Glu
74,CAT2,chr13,181084,+,-162,2.6530612244897958,Nit
75,RRN11,chr13,181084,-,-600,2.4742268041237114,Ana
76,RRN11,chr13,181084,-,-600,4.523809523809524,Eth
77,RRN11,chr13,181084,-,-600,6.25,Glu
78,RRN11,chr13,181084,-,-600,2.6530612244897958,Nit
79,PEX9,chr13,292760,+,-181,3.4615384615384612,Eth
80,PEX9,chr13,292760,+,-181,4.625,Glu
81,PEX9,chr13,292760,+,-181,2.5,Nit
82,MSN2,chr13,330051,-,-339,2.7450980392156863,Eth
83,MSN2,chr13,330051,-,-339,3.4567901234567904,Glu
84,NAT4,chr13,379848,+,859,2.888888888888889,Eth
85,NAT4,chr13,379848,+,859,2.0930232558139537,Glu
86,MOT3,chr13,379848,+,-302,2.888888888888889,Eth
87,MOT3,chr13,379848,+,-302,2.0930232558139537,Glu
88,GAT2,chr13,517743,+,-789,5.0,Eth
89,GAT2,chr13,517743,+,-789,2.742574257425743,Glu
90,GID8,chr13,517743,-,-203,5.0,Eth
91,GID8,chr13,517743,-,-203,2.742574257425743,Glu
92,MGL2,chr13,664788,+,-99,2.6666666666666665,Eth
93,MGL2,chr13,664788,+,-99,2.710280373831776,Glu
94,MGL2,chr13,664788,+,-99,2.978723404255319,Nit
95,YMR209C,chr13,664788,-,-97,2.6666666666666665,Eth
96,YMR209C,chr13,664788,-,-97,2.710280373831776,Glu
97,YMR209C,chr13,664788,-,-97,2.978723404255319,Nit
98,GUA1,chr13,678616,+,-508,2.2959183673469385,Glu
99,SKY1,chr13,678616,-,-17,2.2959183673469385,Glu
100,GUA1,chr13,678736,+,-388,2.5454545454545454,Eth
101,GUA1,chr13,678736,+,-388,2.4742268041237114,Glu
102,SKY1,chr13,678736,-,-137,2.5454545454545454,Eth
103,SKY1,chr13,678736,-,-137,2.4742268041237114,Glu
104,DIA1,chr13,881221,+,-408,2.0689655172413794,Ana
105,DIA1,chr13,881221,+,-408,4.468085106382978,Eth
106,DIA1,chr13,881221,+,-408,3.625,Glu
107,DIA1,chr13,881221,+,-408,3.7037037037037033,Nit
108,ZWF1,chr14,188218,-,-273,4.0476190476190474,Eth
109,ZWF1,chr14,188218,-,-273,3.173076923076923,Glu
110,PDR16,chr14,207423,-,-323,2.4302325581395348,Ana
111,PDR16,chr14,207423,-,-323,6.355555555555556,Eth
112,PDR16,chr14,207423,-,-323,5.629310344827586,Glu
113,PDR16,chr14,207423,-,-323,2.1153846153846154,Nit
114,SPS19,chr14,249322,+,-138,3.693877551020408,Eth
115,SPS19,chr14,249322,+,-138,4.304878048780488,Glu
116,SPS19,chr14,249322,+,-138,2.7659574468085104,Nit
117,MRPL19,chr14,283341,-,-672,2.857142857142857,Eth
118,YNL144C,chr14,345460,-,-419,4.020618556701031,Ana
119,YNL144C,chr14,345460,-,-419,11.88679245283019,Eth
120,YNL144C,chr14,345460,-,-419,10.96774193548387,Glu
121,YNL144C,chr14,345460,-,-419,3.3846153846153846,Nit
122,YNL010W,chr14,604214,+,919,5.0476190476190474,Ana
123,YNL010W,chr14,604214,+,919,10.363636363636363,Eth
124,YNL010W,chr14,604214,+,919,7.339449541284403,Glu
125,YNL010W,chr14,604214,+,919,6.0,Nit
126,IDP3,chr14,604214,+,-272,5.0476190476190474,Ana
127,IDP3,chr14,604214,+,-272,10.363636363636363,Eth
128,IDP3,chr14,604214,+,-272,7.339449541284403,Glu
129,IDP3,chr14,604214,+,-272,6.0,Nit
130,CIT1,chr14,621403,-,-543,2.916666666666667,Eth
131,CIT1,chr14,621403,-,-543,2.359550561797753,Glu
132,PSF3,chr15,48647,+,-150,3.2608695652173916,Eth
133,PSF3,chr15,48647,+,-150,3.255813953488372,Glu
134,PEX11,chr15,48647,-,-36,3.2608695652173916,Eth
135,PEX11,chr15,48647,-,-36,3.255813953488372,Glu
136,TRM13,chr15,83217,+,-403,9.39344262295082,Eth
137,TRM13,chr15,83217,+,-403,19.03529411764706,Glu
138,MDH2,chr15,83217,-,-285,9.39344262295082,Eth
139,MDH2,chr15,83217,-,-285,19.03529411764706,Glu
140,PHM7,chr15,155814,+,-430,2.674418604651163,Eth
141,PHM7,chr15,155814,+,-430,3.53448275862069,Glu
142,DDR2,chr15,226250,-,-506,2.5806451612903225,Glu
143,PEX15,chr15,240972,+,-78,2.0930232558139537,Eth
144,PEX15,chr15,240972,+,-78,3.4567901234567904,Glu
145,PRE6,chr15,250202,+,946,2.9454545454545453,Eth
146,YOL036W,chr15,250202,+,-100,2.9454545454545453,Eth
147,IZH2,chr15,324345,-,-153,2.3157894736842106,Ana
148,IZH2,chr15,324345,-,-153,6.976744186046512,Eth
149,IZH2,chr15,324345,-,-153,5.555555555555555,Glu
150,IZH2,chr15,324345,-,-153,2.241379310344828,Nit
151,UTP23,chr15,334135,+,801,2.5842696629213484,Ana
152,WHI5,chr15,480357,+,1000,5.813953488372094,Eth
153,WHI5,chr15,480357,+,1000,4.464285714285714,Glu
154,WHI5,chr15,480357,+,1000,4.0,Nit
155,LPX1,chr15,480357,+,-109,5.813953488372094,Eth
156,LPX1,chr15,480357,+,-109,4.464285714285714,Glu
157,LPX1,chr15,480357,+,-109,4.0,Nit
158,RAS1,chr15,514489,+,-580,3.4831460674157304,Ana
159,RAS1,chr15,514489,+,-580,7.647058823529412,Eth
160,RAS1,chr15,514489,+,-580,5.432098765432099,Glu
161,RAS1,chr15,514489,+,-580,2.3076923076923075,Nit
162,CRC1,chr15,514489,-,-284,3.4831460674157304,Ana
163,CRC1,chr15,514489,-,-284,7.647058823529412,Eth
164,CRC1,chr15,514489,-,-284,5.432098765432099,Glu
165,CRC1,chr15,514489,-,-284,2.3076923076923075,Nit
166,RGS2,chr15,520667,+,-307,3.0232558139534884,Eth
167,RGS2,chr15,520667,+,-307,2.8395061728395063,Glu
168,LAS17,chr15,669643,+,-568,3.1395348837209305,Eth
169,LAS17,chr15,669643,+,-568,3.621052631578947,Glu
170,LAS17,chr15,669643,+,-568,2.4035087719298245,Nit
171,DCI1,chr15,669643,-,-109,3.1395348837209305,Eth
172,DCI1,chr15,669643,-,-109,3.621052631578947,Glu
173,DCI1,chr15,669643,-,-109,2.4035087719298245,Nit
174,MOD5,chr15,831061,+,-941,2.550561797752809,Ana
175,MOD5,chr15,831061,+,-941,3.211764705882353,Glu
176,MOD5,chr15,831061,+,-941,2.7796610169491522,Nit
177,TPO4,chr15,831061,-,316,2.550561797752809,Ana
178,TPO4,chr15,831061,-,316,3.211764705882353,Glu
179,TPO4,chr15,831061,-,316,2.7796610169491522,Nit
180,MOD5,chr15,831212,+,-790,3.3559322033898304,Eth
181,MOD5,chr15,831212,+,-790,4.011904761904762,Glu
182,TPO4,chr15,831212,-,165,3.3559322033898304,Eth
183,TPO4,chr15,831212,-,165,4.011904761904762,Glu
184,HSH49,chr15,906784,+,-332,2.8846153846153846,Eth
185,HSH49,chr15,906784,+,-332,3.012048192771084,Glu
186,HSH49,chr15,906784,+,-332,5.3061224489795915,Nit
187,PIP2,chr15,1017602,-,-108,3.488372093023256,Eth
188,PIP2,chr15,1017602,-,-108,4.6,Glu
189,PIP2,chr15,1017602,-,-108,2.280701754385965,Nit
190,ISU1,chr16,305576,+,-231,2.5,Eth
191,ISU1,chr16,305576,+,-231,2.4347826086956523,Glu
192,GIP3,chr16,305576,-,-549,2.5,Eth
193,GIP3,chr16,305576,-,-549,2.4347826086956523,Glu
194,EEB1,chr16,377968,-,-176,8.208333333333334,Ana
195,EEB1,chr16,377968,-,-176,15.857142857142856,Eth
196,EEB1,chr16,377968,-,-176,11.830645161290322,Glu
197,EEB1,chr16,377968,-,-176,14.280701754385966,Nit
198,SVL3,chr16,500190,-,-435,2.291666666666667,Eth
199,SVL3,chr16,500190,-,-435,2.469135802469136,Glu
200,CMR3,chr16,594444,-,-552,4.285714285714286,Eth
201,CMR3,chr16,594444,-,-552,2.2772277227722775,Glu
202,ROX1,chr16,687049,+,-733,2.308641975308642,Glu
203,YPR063C,chr16,687049,-,-557,2.308641975308642,Glu
204,ROX1,chr16,687286,+,-496,4.404255319148936,Eth
205,ROX1,chr16,687286,+,-496,3.9876543209876543,Glu
206,YPR063C,chr16,687286,-,-794,4.404255319148936,Eth
207,YPR063C,chr16,687286,-,-794,3.9876543209876543,Glu
208,SCD6,chr16,800478,+,-289,3.2048192771084336,Glu
209,SCD6,chr16,800478,+,-289,3.3773584905660377,Nit
210,ANT1,chr16,800478,-,-112,3.2048192771084336,Glu
211,ANT1,chr16,800478,-,-112,3.3773584905660377,Nit
212,NCE102,chr16,836975,+,-896,3.094339622641509,Eth
213,NCE102,chr16,836975,+,-896,2.657142857142857,Glu
214,YPR148C,chr16,836975,-,-659,3.094339622641509,Eth
215,YPR148C,chr16,836975,-,-659,2.657142857142857,Glu
216,QCR2,chr16,921220,+,-103,3.1914893617021276,Eth
217,RPC82,chr16,921220,-,-147,3.1914893617021276,Eth
218,YPR196W,chr16,932597,+,-801,3.333333333333333,Eth
219,YPR196W,chr16,932597,+,-801,2.0987654320987654,Glu
220,KIP1,chr2,101572,+,-578,2.148148148148148,Glu
221,PRX1,chr2,101572,-,-105,2.148148148148148,Glu
222,HSP26,chr2,371188,+,-402,3.3333333333333335,Eth
223,HSP26,chr2,371188,+,-402,2.021276595744681,Glu
224,YBR137W,chr2,500609,+,-128,2.888888888888889,Eth
225,YBR137W,chr2,500609,+,-128,2.5974025974025974,Glu
226,IFA38,chr2,546229,+,-170,3.75,Eth
227,IFA38,chr2,546229,+,-170,3.5185185185185186,Glu
228,PMP1,chr3,171644,-,-418,4.285714285714286,Eth
229,PMP1,chr3,171644,-,-418,2.9629629629629632,Glu
230,PMP1,chr3,171644,-,-418,2.1818181818181817,Nit
231,UGA3,chr4,156009,+,-145,8.269230769230768,Ana
232,UGA3,chr4,156009,+,-145,27.674418604651162,Eth
233,UGA3,chr4,156009,+,-145,27.926829268292686,Glu
234,UGA3,chr4,156009,+,-145,2.8915662650602405,Nit
235,GLT1,chr4,156009,-,-521,8.269230769230768,Ana
236,GLT1,chr4,156009,-,-521,27.674418604651162,Eth
237,GLT1,chr4,156009,-,-521,27.926829268292686,Glu
238,GLT1,chr4,156009,-,-521,2.8915662650602405,Nit
239,RRP42,chr4,264025,-,-143,4.782608695652175,Eth
240,RRP42,chr4,264025,-,-143,5.731707317073171,Glu
241,RRP42,chr4,264025,-,-143,2.127659574468085,Nit
242,TMA17,chr4,264025,-,699,4.782608695652175,Eth
243,TMA17,chr4,264025,-,699,5.731707317073171,Glu
244,TMA17,chr4,264025,-,699,2.127659574468085,Nit
245,RRP42,chr4,264618,-,-736,3.9784946236559136,Ana
246,RRP42,chr4,264618,-,-736,7.6,Eth
247,RRP42,chr4,264618,-,-736,8.78048780487805,Glu
248,RRP42,chr4,264618,-,-736,8.297872340425531,Nit
249,TMA17,chr4,264618,-,106,3.9784946236559136,Ana
250,TMA17,chr4,264618,-,106,7.6,Eth
251,TMA17,chr4,264618,-,106,8.78048780487805,Glu
252,TMA17,chr4,264618,-,106,8.297872340425531,Nit
253,MDH3,chr4,316426,-,-262,8.13953488372093,Eth
254,MDH3,chr4,316426,-,-262,7.586206896551725,Glu
255,MDH3,chr4,316426,-,-262,3.787878787878788,Nit
256,SNQ2,chr4,465074,+,-170,2.302325581395349,Eth
257,SNQ2,chr4,465074,+,-170,2.3048780487804876,Glu
258,TGL2,chr4,555238,-,-281,2.5301204819277108,Glu
259,UBC5,chr4,555238,-,771,2.5301204819277108,Glu
260,SNF11,chr4,577984,+,-607,2.4137931034482762,Ana
261,SNF11,chr4,577984,+,-607,6.888888888888889,Eth
262,SNF11,chr4,577984,+,-607,8.536585365853659,Glu
263,SNF11,chr4,577984,+,-607,2.2448979591836733,Nit
264,IPT1,chr4,577984,-,-286,2.4137931034482762,Ana
265,IPT1,chr4,577984,-,-286,6.888888888888889,Eth
266,IPT1,chr4,577984,-,-286,8.536585365853659,Glu
267,IPT1,chr4,577984,-,-286,2.2448979591836733,Nit
268,ADR1,chr4,873736,+,-390,2.647058823529412,Glu
269,PEX5,chr4,929982,+,-137,6.538461538461538,Eth
270,PEX5,chr4,929982,+,-137,6.41304347826087,Glu
271,PEX5,chr4,929982,+,-137,2.9508196721311477,Nit
272,PRP28,chr4,929982,-,-88,6.538461538461538,Eth
