Gene	GeneName	Chromosome	TSS	Strand	DistanceTSStoORF
GDH3	YAL062W	chr1	20787	+	46
BDH2	YAL061W	chr1	22628	+	86
BDH1	YAL060W	chr1	24373	+	48
ECM1	YAL059W	chr1	25791	+	-16
CNE1	YAL058W	chr1	26681	+	49
GPB2	YAL056W	chr1	28471	+	54
PEX22	YAL055W	chr1	31421	+	22
ACS1	YAL054C	chr1	34340	-	52
FLC2	YAL053W	chr1	35020	+	140
OAF1	YAL051W	chr1	37800	+	25
AIM2	YAL049C	chr1	41912	-	56
SPC72	YAL047C	chr1	46147	-	29
BOL3	YAL046C	chr1	46644	-	-2
BOL1	YAL044W-A	chr1	46767	+	12
GCV3	YAL044C	chr1	47737	-	14
PTA1	YAL043C	chr1	50344	-	31
ERV46	YAL042W	chr1	50561	+	16
CDC24	YAL041W	chr1	52037	+	64
CLN3	YAL040C	chr1	57105	-	324
CYC3	YAL039C	chr1	58860	-	75
CDC19	YAL038W	chr1	60985	+	27
YAL037W	YAL037W	chr1	63162	+	84
RBG1	YAL036C	chr1	65410	-	32
FUN12	YAL035W	chr1	65627	+	26
MTW1	YAL034W-A	chr1	68915	+	29
FUN19	YAL034C	chr1	71788	-	611
POP5	YAL033W	chr1	71927	+	5
PRP45	YAL032C	chr1	73720	-	20
GIP4	YAL031C	chr1	76304	-	47
SNC1	YAL030W	chr1	76490	+	22
MYO4	YAL029C	chr1	81748	-	252
FRT2	YAL028W	chr1	82078	+	48
SAW1	YAL027W	chr1	83833	+	80
DRS2	YAL026C	chr1	89009	-	86
MAK16	YAL025C	chr1	90394	-	23
LTE1	YAL024C	chr1	95188	-	104
PMT2	YAL023C	chr1	97851	-	88
FUN26	YAL022C	chr1	99658	-	16
CCR4	YAL021C	chr1	102615	-	44
ATS1	YAL020C	chr1	103831	-	4
FUN30	YAL019W	chr1	104021	+	110
PSK1	YAL017W	chr1	109070	+	367
TPD3	YAL016W	chr1	113994	+	97
NTG1	YAL015C	chr1	117293	-	-23
SYN8	YAL014C	chr1	118264	-	31
DEP1	YAL013W	chr1	118450	+	34
CYS3	YAL012W	chr1	119949	+	64
SWC3	YAL011W	chr1	121409	+	4
MDM10	YAL010C	chr1	124916	-	37
SPO7	YAL009W	chr1	125043	+	25
FUN14	YAL008W	chr1	126088	+	40
ERP2	YAL007C	chr1	127631	-	72
SSA1	YAL005C	chr1	130707	-	62
EFB1	YAL003W	chr1	131367	+	21
VPS8	YAL002W	chr1	132830	+	91
TFC3	YAL001C	chr1	140417	-	37
NUP60	YAR002W	chr1	141420	+	42
ERP1	YAR002C-A	chr1	143945	-	16
SWD1	YAR003W	chr1	144163	+	47
RFA1	YAR007C	chr1	147887	-	63
SEN34	YAR008W	chr1	148069	+	102
BUD14	YAR014C	chr1	152296	-	150
ADE1	YAR015W	chr1	152600	+	50
KIN3	YAR018C	chr1	154986	-	8
PAU7	YAR020C	chr1	160330	-	32
YAR023C	YAR023C	chr1	163326	-	231
YAR028W	YAR028W	chr1	168150	+	16
MST28	YAR033W	chr1	171329	+	52
YAT1	YAR035W	chr1	173437	+	30
SWH1	YAR042W	chr1	175844	+	52
PHO11	YAR071W	chr1	203697	+	307
MIX23	YBL107C	chr2	10865	-	0
SRO77	YBL106C	chr2	14245	-	52
PKC1	YBL105C	chr2	18279	-	269
SEA4	YBL104C	chr2	21627	-	20
RTG3	YBL103C	chr2	24116	-	266
SFT2	YBL102W	chr2	24324	+	88
ECM21	YBL101C	chr2	28911	-	298
ATP1	YBL099W	chr2	37070	+	296
BNA4	YBL098W	chr2	39428	+	30
MRX3	YBL095W	chr2	43563	+	10
ROX3	YBL093C	chr2	45294	-	80
RPL32	YBL092W	chr2	45868	+	406
SCS22	YBL091C-A	chr2	47489	-	13
MAP2	YBL091C	chr2	48946	-	22
MRP21	YBL090W	chr2	49090	+	31
AVT5	YBL089W	chr2	49854	+	16
TEL1	YBL088C	chr2	59887	-	209
RPL23A	YBL087C	chr2	61058	-	23
YBL086C	YBL086C	chr2	62979	-	81
BOI1	YBL085W	chr2	63981	+	191
CDC27	YBL084C	chr2	69856	-	121
ALG3	YBL082C	chr2	71449	-	32
YBL081W	YBL081W	chr2	71842	+	314
PET112	YBL080C	chr2	75001	-	16
NUP170	YBL079W	chr2	75486	+	63
ATG8	YBL078C	chr2	81065	-	44
ILS1	YBL076C	chr2	84580	-	29
SSA3	YBL075C	chr2	86767	-	29
AAR2	YBL074C	chr2	88345	-	266
RPS8A	YBL072C	chr2	89782	-	375
KTI11	YBL071W-A	chr2	90224	+	35
AST1	YBL069W	chr2	90946	+	76
PRS4	YBL068W	chr2	92663	+	32
UBP13	YBL067C	chr2	96392	-	229
SEF1	YBL066C	chr2	100435	-	41
PRX1	YBL064C	chr2	101467	-	32
KIP1	YBL063W	chr2	102150	+	17
SKT5	YBL061C	chr2	107787	-	100
YEL1	YBL060W	chr2	108178	+	35
CMC2	YBL059C-A	chr2	110851	-	32
IAI11	YBL059W	chr2	110984	+	-110
SHP1	YBL058W	chr2	111687	+	28
PTH2	YBL057C	chr2	113728	-	20
PTC3	YBL056W	chr2	113997	+	46
YBL055C	YBL055C	chr2	117098	-	-2
TOD6	YBL054W	chr2	117743	+	115
SAS3	YBL052C	chr2	122410	-	267
PIN4	YBL051C	chr2	125088	-	63
SEC17	YBL050W	chr2	125314	+	77
MOH1	YBL049W	chr2	126871	+	222
EDE1	YBL047C	chr2	132460	-	156
PSY4	YBL046W	chr2	132675	+	13
COR1	YBL045C	chr2	135986	-	186
ECM13	YBL043W	chr2	136835	+	135
