,Gene,Chr,Pos,Strand,DistanceTSS,Strength,Condition
1,MRX12,chr10,432850,-,-258,2.5490196078431375,Eth
2,ILV3,chr10,456287,-,-51,2.3253968253968256,Eth
3,ILV3,chr10,456287,-,-51,2.1181102362204722,Glu
4,ESS1,chr10,456287,-,781,2.3253968253968256,Eth
5,ESS1,chr10,456287,-,781,2.1181102362204722,Glu
6,ILV3,chr10,456390,-,-154,9.166666666666666,Eth
7,ILV3,chr10,456390,-,-154,4.964566929133858,Glu
8,ESS1,chr10,456390,-,678,9.166666666666666,Eth
9,ESS1,chr10,456390,-,678,4.964566929133858,Glu
10,ILV3,chr10,456455,-,-219,3.7952755905511815,Glu
11,ESS1,chr10,456455,-,613,3.7952755905511815,Glu
12,OAC1,chr11,223237,+,-354,13.563492063492065,Eth
13,OAC1,chr11,223237,+,-354,8.420382165605096,Glu
14,OAC1,chr11,223317,+,-274,4.531468531468531,Ana
15,OAC1,chr11,223317,+,-274,24.057851239669425,Eth
16,OAC1,chr11,223317,+,-274,8.825806451612904,Glu
17,TFA1,chr11,390853,+,-861,3.1836734693877546,Eth
18,MAE1,chr11,390853,-,-79,3.1836734693877546,Eth
19,PCC1,chr11,631536,+,-61,4.310924369747899,Eth
20,ESL2,chr11,631536,+,-771,4.310924369747899,Eth
21,TPO1,chr12,69191,+,-395,3.0210526315789474,Eth
22,TPO1,chr12,69191,+,-395,2.1297071129707112,Glu
23,ACS2,chr12,426958,-,-338,3.031578947368421,Eth
24,RNH203,chr12,426958,-,425,3.031578947368421,Eth
25,ACS2,chr12,427602,-,-982,2.3684210526315788,Eth
26,RNH203,chr12,427602,-,-219,2.3684210526315788,Eth
27,ORM2,chr12,787575,+,-605,6.327102803738319,Eth
28,DIC1,chr12,787575,-,-167,6.327102803738319,Eth
29,ATG33,chr12,799104,+,-676,4.077669902912621,Ana
30,ATG33,chr12,799104,+,-676,13.606557377049182,Eth
31,ATG33,chr12,799104,+,-676,9.961538461538462,Glu
32,ILV5,chr12,799104,-,-282,4.077669902912621,Ana
33,ILV5,chr12,799104,-,-282,13.606557377049182,Eth
34,ILV5,chr12,799104,-,-282,9.961538461538462,Glu
35,CAR2,chr12,966093,+,-192,2.7473684210526317,Eth
36,CAR2,chr12,966093,+,-192,3.112449799196787,Glu
37,ECM30,chr12,966093,-,-962,2.7473684210526317,Eth
38,ECM30,chr12,966093,-,-962,3.112449799196787,Glu
39,DIF1,chr12,966093,-,-174,2.7473684210526317,Eth
40,DIF1,chr12,966093,-,-174,3.112449799196787,Glu
41,YPT7,chr13,250828,+,986,3.030612244897959,Eth
42,YPT7,chr13,250828,+,986,2.217021276595745,Glu
43,MSN2,chr13,330098,-,-386,3.0252100840336134,Eth
44,MSN2,chr13,330098,-,-386,2.735042735042735,Glu
45,CCS1,chr13,330098,-,954,3.0252100840336134,Eth
46,CCS1,chr13,330098,-,954,2.735042735042735,Glu
47,TVP18,chr13,381630,-,901,3.5,Eth
48,SPG4,chr13,455170,+,647,4.884892086330936,Ana
49,SPG4,chr13,455170,+,647,21.524193548387096,Eth
