,Gene,Chr,Pos,Strand,DistanceTSS,Strength,Condition
1,BDH1,chr1,23733,+,-640,2.2236842105263155,Ana
2,YAT1,chr1,173573,+,136,5.514285714285714,Ana
3,SWH1,chr1,175723,+,-121,2.4242424242424243,Ana
4,IMA5,chr10,15149,-,-241,5.046153846153846,Ana
5,RPL39,chr10,64492,+,-199,2.7272727272727275,Ana
6,RPS22A,chr10,64492,-,-390,2.7272727272727275,Ana
7,INO1,chr10,124948,-,-251,2.430769230769231,Ana
8,SNA3,chr10,124948,-,617,2.430769230769231,Ana
9,MRS3,chr10,148569,+,-716,2.5,Ana
10,MRS3,chr10,148569,+,-716,2.6101694915254234,Eth
11,DPI8,chr10,148569,-,58,2.5,Ana
12,DPI8,chr10,148569,-,58,2.6101694915254234,Eth
13,YJL107C,chr10,203628,-,-271,4.03448275862069,Ana
14,YJL107C,chr10,203628,-,-271,2.6226415094339623,Glu
15,YJL107C,chr10,203835,-,-478,2.1477272727272725,Ana
16,SET4,chr10,207372,+,-767,9.354838709677418,Ana
17,SET4,chr10,207372,+,-767,2.533333333333333,Eth
18,SET4,chr10,207372,+,-767,3.7634408602150535,Glu
19,SIP4,chr10,248979,+,-99,4.7384615384615385,Ana
20,SIP4,chr10,248979,+,-99,2.197530864197531,Glu
21,ARG3,chr10,251901,+,-140,2.7027027027027026,Ana
22,ARG3,chr10,251901,+,-140,2.0253164556962022,Glu
23,YJL045W,chr10,338774,+,-476,3.1538461538461537,Ana
24,RNR2,chr10,375120,+,-480,3.142857142857143,Ana
25,RNR2,chr10,375120,+,-480,2.0930232558139537,Glu
26,VPS53,chr10,375120,-,-960,3.142857142857143,Ana
27,VPS53,chr10,375120,-,-960,2.0930232558139537,Glu
28,MDE1,chr10,461775,-,-796,2.5999999999999996,Ana
29,BNA1,chr10,461775,-,-70,2.5999999999999996,Ana
30,TAH11,chr10,511696,+,-226,2.6153846153846154,Ana
31,SSC1,chr10,511696,-,-52,2.6153846153846154,Ana
32,ATP2,chr10,642235,+,-145,2.5,Glu
33,RSF2,chr10,658158,-,-379,3.5076923076923077,Ana
34,DAN1,chr10,705059,-,-345,2.814285714285714,Ana
35,DAN4,chr10,711077,-,-287,2.5384615384615383,Ana
36,JEN1,chr11,28139,+,-564,2.8666666666666667,Ana
37,URA1,chr11,31562,+,-118,2.830985915492958,Ana
38,URA1,chr11,31562,+,-118,2.478723404255319,Glu
39,MNN4,chr11,74383,-,-353,5.395604395604396,Ana
40,MNN4,chr11,74383,-,-353,3.6507936507936507,Eth
41,MNN4,chr11,74383,-,-353,4.153846153846153,Glu
42,MNN4,chr11,74587,-,-557,4.138297872340425,Ana
43,MNN4,chr11,74962,-,-932,2.8020833333333335,Ana
44,PXA2,chr11,95507,-,-209,2.75,Ana
45,AVT3,chr11,177807,+,-343,2.380281690140845,Ana
46,SDH1,chr11,177807,-,-140,2.380281690140845,Ana
47,OAC1,chr11,223173,+,-418,2.732394366197183,Ana
48,HAP4,chr11,237531,+,-749,4.153061224489796,Ana
49,HAP4,chr11,237789,+,-491,11.73,Ana
50,HAP4,chr11,237789,+,-491,2.6197183098591554,Eth
51,HAP4,chr11,237789,+,-491,5.764705882352941,Glu
52,HAP4,chr11,237789,+,-491,2.0972222222222223,Nit
53,CWP2,chr11,265044,+,-485,6.300000000000001,Ana
54,CWP2,chr11,265044,+,-485,2.696629213483146,Glu
55,CWP1,chr11,267116,+,-293,4.0625,Ana
56,CWP1,chr11,267116,+,-293,2.2222222222222223,Eth
57,CWP1,chr11,267116,+,-293,3.4090909090909087,Glu
58,SRX1,chr11,284813,+,596,2.586206896551724,Ana
59,MDH1,chr11,284813,+,-235,2.586206896551724,Ana
60,MMO1,chr11,361558,+,-937,6.999999999999999,Ana
61,MMO1,chr11,361558,+,-937,3.592592592592593,Glu
62,MMO1,chr11,361864,+,-631,5.088607594936709,Ana
63,MMO1,chr11,361864,+,-631,2.2235294117647055,Glu
64,PHD1,chr11,361864,+,-926,5.088607594936709,Ana
